basis,name,position,base_value,mult_flat,mult_curve,value_flat,value_curve,divergence,rank_flat,rank_curve,rank_shift
ktc,Bijan Robinson,RB,9999,1.296,1.604,12959,16040,+23.8%,1,1,0
ktc,Jahmyr Gibbs,RB,9999,1.296,1.604,12959,16040,+23.8%,2,2,0
ktc,Josh Allen,QB,9992,0.967,0.826,9662,8250,-14.6%,4,10,-6
ktc,Ja'Marr Chase,WR,9975,0.853,0.848,8509,8461,-0.6%,9,7,2
ktc,Jaxon Smith-Njigba,WR,9314,0.853,0.85,7945,7917,-0.4%,13,12,1
ktc,Drake Maye,QB,9216,0.967,0.837,8912,7718,-13.4%,7,13,-6
ktc,Puka Nacua,WR,8891,0.853,0.851,7584,7568,-0.2%,15,14,1
ktc,Brock Bowers,TE,9071,0.936,0.903,8490,8187,-3.6%,10,11,-1
ktc,Amon-Ra St. Brown,WR,7898,0.853,0.854,6737,6747,+0.1%,27,23,4
ktc,Caleb Williams,QB,7898,0.967,0.86,7637,6795,-11.0%,14,21,-7
ktc,Ashton Jeanty,RB,7586,1.296,1.458,9831,11063,+12.5%,3,3,0
ktc,Justin Jefferson,WR,7546,0.853,0.855,6437,6455,+0.3%,31,27,4
ktc,Lamar Jackson,QB,7545,0.967,0.867,7296,6543,-10.3%,17,25,-8
ktc,Jayden Daniels,QB,7524,0.967,0.868,7276,6528,-10.3%,19,26,-7
ktc,Jeremiyah Love,RB,7414,1.296,1.447,9609,10727,+11.6%,5,4,1
ktc,Joe Burrow,QB,7401,0.967,0.87,7157,6440,-10.0%,21,28,-7
ktc,Malik Nabers,WR,7332,0.853,0.856,6254,6277,+0.4%,33,31,2
ktc,Trey McBride,TE,8098,0.936,0.917,7580,7426,-2.0%,16,15,1
ktc,CeeDee Lamb,WR,7174,0.853,0.857,6119,6146,+0.4%,36,34,2
ktc,Justin Herbert,QB,7098,0.967,0.877,6864,6222,-9.4%,24,33,-9
ktc,Omarion Hampton,RB,7043,1.296,1.421,9128,10011,+9.7%,6,5,1
ktc,Drake London,WR,6962,0.853,0.857,5939,5970,+0.5%,42,36,6
ktc,De'Von Achane,RB,6829,1.296,1.406,8850,9604,+8.5%,8,6,2
ktc,Tetairoa McMillan,WR,6356,0.853,0.86,5422,5465,+0.8%,49,44,5
