year,archetype_id,archetype_label,build_index,variant,stack_class,max_n,n_groups,season_total,weekly_std,roster_value,primary_team,shape,names,all_groups
2021,2024_1,2024 #1 — Let James Cook (16-2),1,natural,none,0,0,2295,23.45,54001,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),1,none,none,0,0,2295,23.45,54001,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),1,double,double,2,1,2394.8,27.25,54119,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),1,triple,triple,3,1,2242.4,25.78,55336,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),2,natural,none,0,0,2046.3,32.93,54506,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),2,none,none,0,0,2046.3,32.93,54506,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),2,double,double,2,1,2092.8,33.5,54758,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),2,triple,triple,3,1,2113.3,32.26,55358,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),3,natural,none,0,0,2214.1,20.65,55672,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),3,none,none,0,0,2214.1,20.65,55672,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),3,double,double,2,1,2279.2,21.74,55877,MIA,TE/WR,Mike Gesicki/Jaylen Waddle,MIA:TE/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),3,triple,triple,3,1,2033.2,23.26,57300,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),4,natural,none,0,0,1774.1,25.92,56927,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),4,none,none,0,0,1774.1,25.92,56927,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),4,double,double,2,1,1960.8,28.33,57048,CIN,WR/WR,Ja'Marr Chase/Tyler Boyd,CIN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),4,triple,triple,3,1,1805.9,25.85,58265,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),5,natural,double,2,1,2242.7,22.2,55587,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),5,none,none,0,0,2338.4,21.6,57651,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),5,double,double,2,1,2242.7,22.2,55587,PHI,WR/TE,DeVonta Smith/Dallas Goedert,PHI:WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),5,triple,triple,3,1,2223.5,21.46,56314,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),6,natural,none,0,0,2105.8,23.21,59104,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),6,none,none,0,0,2105.8,23.21,59104,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),6,double,double,2,1,1943.5,22.47,59205,DEN,WR/WR,Jerry Jeudy/Courtland Sutton,DEN:WR/WR
2021,2024_1,2024 #1 — Let James Cook (16-2),6,triple,triple,3,1,1931,26.54,59461,DEN,WR/WR/TE,Jerry Jeudy/Courtland Sutton/Noah Fant,DEN:WR/WR/TE
2021,2024_1,2024 #1 — Let James Cook (16-2),7,natural,none,0,0,2038.8,20.06,57052,,,,
2021,2024_1,2024 #1 — Let James Cook (16-2),7,none,none,0,0,2038.8,20.06,57052,,,,
