year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_qb_stack,any_qb_rb_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),1,natural,single,1,1,1,2147.6,28.52,53372,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,none,none,0,0,0,2162.9,31.4,52997,,,Derrick Henry,TEN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,single,single,1,1,1,2147.6,28.52,53372,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,multi,multi,2,1,1,2221,27.1,53291,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),2,natural,none,0,0,1,2265.6,22.68,57557,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),2,none,none,0,0,1,2265.6,22.68,57557,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),2,single,single,1,0,1,2297.3,23.93,57320,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),2,multi,multi,2,1,1,2505.1,17.5,55326,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),3,natural,none,0,0,0,1769.6,20.85,58073,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),3,none,none,0,0,0,1769.6,20.85,58073,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),3,single,single,1,0,1,2048.3,14.89,58326,CIN,Joe Burrow/Joe Mixon (CIN),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),3,multi,multi,2,0,1,1943.3,19.82,58560,CIN|CHI,Joe Burrow/Joe Mixon (CIN); Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),4,natural,multi,2,1,1,1762.3,18.82,54985,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),4,none,none,0,0,1,1878.8,22.44,54522,,,Ezekiel Elliott,DAL
2021,2024_1,2024 #1 — Let James Cook (16-2),4,single,single,1,0,1,1915.4,22.93,54285,CHI,Justin Fields/David Montgomery (CHI),Ezekiel Elliott,DAL
2021,2024_1,2024 #1 — Let James Cook (16-2),4,multi,multi,2,1,1,1762.3,18.82,54985,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),5,natural,none,0,0,1,2079.1,23.08,55108,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),5,none,none,0,0,1,2079.1,23.08,55108,,,Alvin Kamara,NO
2021,2024_1,2024 #1 — Let James Cook (16-2),5,single,single,1,1,1,2081.6,23.21,55222,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),5,multi,multi,2,1,1,2154.8,21.66,55141,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),6,natural,single,1,1,1,2260.9,23.53,54960,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),6,none,none,0,0,0,2192.2,24.1,57026,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),6,single,single,1,1,1,2260.9,23.53,54960,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),6,multi,multi,2,1,1,2224.1,25.22,55247,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),7,natural,none,0,0,0,2096.4,25.53,54073,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),7,none,none,0,0,0,2096.4,25.53,54073,,,Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),7,single,single,1,1,1,2294.3,22.49,54145,MIN,Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),7,multi,multi,2,1,1,2286.1,22.78,54195,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),8,natural,single,1,0,1,2199.8,22.47,55863,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),8,none,none,0,0,0,2196.4,24.11,55522,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),8,single,single,1,0,1,2199.8,22.47,55863,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),8,multi,multi,2,1,1,2322.9,26.76,54441,CHI|MIN,Justin Fields/David Montgomery (CHI); Kirk Cousins/Dalvin Cook (MIN),Dalvin Cook,MIN
2021,2024_1,2024 #1 — Let James Cook (16-2),9,natural,none,0,0,0,2226.4,25.57,57383,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),9,none,none,0,0,0,2226.4,25.57,57383,,,Christian McCaffrey,CAR
2021,2024_1,2024 #1 — Let James Cook (16-2),9,single,single,1,0,1,2187.2,21.74,57223,CHI,Justin Fields/David Montgomery (CHI),Christian McCaffrey,CAR
