year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_rb1_rb2_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_rb1_name,roster_rb2_name,roster_rb2_adp
2021,2024_1,2024 #1 — Let James Cook (16-2),1,natural,none,0,0,2475.7,27.91,55356,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),1,none,none,0,0,2475.7,27.91,55356,,,Dalvin Cook,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),1,single,single,1,0,2286.4,17.26,55381,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),2,natural,none,0,0,2154.6,27.11,55547,,,Alvin Kamara,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),2,none,none,0,0,2154.6,27.11,55547,,,Alvin Kamara,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),2,single,single,1,0,2225.8,33.81,54792,CLE,Nick Chubb/Kareem Hunt (CLE),Nick Chubb,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),3,natural,none,0,0,1997.5,23.95,54818,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),3,none,none,0,0,1997.5,23.95,54818,,,Dalvin Cook,Austin Ekeler,11
2021,2024_1,2024 #1 — Let James Cook (16-2),3,single,single,1,0,1972.5,21.85,54692,GB,Aaron Jones/AJ Dillon (GB),Dalvin Cook,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),3,multi,multi,2,0,1977.3,21.11,57777,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),4,natural,none,0,0,1896.4,21.03,52352,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),4,none,none,0,0,1896.4,21.03,52352,,,Dalvin Cook,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),4,single,single,1,0,1889.2,20.42,55345,CAR,Christian McCaffrey/Chuba Hubbard (CAR),Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),4,multi,multi,2,0,1821.6,19.36,55180,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),5,natural,none,0,0,2237.3,27.02,55433,,,Alvin Kamara,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),5,none,none,0,0,2237.3,27.02,55433,,,Alvin Kamara,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),5,single,single,1,0,2309,27.12,53954,GB,Aaron Jones/AJ Dillon (GB),Aaron Jones,Najee Harris,10
2021,2024_1,2024 #1 — Let James Cook (16-2),6,natural,none,0,0,1940.9,24.59,57212,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),6,none,none,0,0,1940.9,24.59,57212,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),6,single,single,1,0,1950.1,23.54,56847,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),6,multi,multi,2,0,1998.3,24.38,57861,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),7,natural,none,0,0,1882.8,22.55,56806,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),7,none,none,0,0,1882.8,22.55,56806,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),7,single,single,1,0,1963.2,18.06,55723,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),7,multi,multi,2,0,2020.8,16.6,56742,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),8,natural,none,0,0,1903.3,24.21,58835,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),8,none,none,0,0,1903.3,24.21,58835,,,Christian McCaffrey,Jonathan Taylor,8
2021,2024_1,2024 #1 — Let James Cook (16-2),8,single,single,1,0,1840.9,31.78,58666,CLE,Nick Chubb/Kareem Hunt (CLE),Christian McCaffrey,Nick Chubb,6
2021,2024_1,2024 #1 — Let James Cook (16-2),9,natural,none,0,0,1976,27.2,57244,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),9,none,none,0,0,1976,27.2,57244,,,Christian McCaffrey,Ezekiel Elliott,5
2021,2024_1,2024 #1 — Let James Cook (16-2),9,single,single,1,0,2062.1,22.06,56161,GB,Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
2021,2024_1,2024 #1 — Let James Cook (16-2),9,multi,multi,2,0,2123.9,21.21,57180,CAR|GB,Christian McCaffrey/Chuba Hubbard (CAR); Aaron Jones/AJ Dillon (GB),Christian McCaffrey,Aaron Jones,7
