year,archetype_id,archetype_label,build_index,variant,stack_class,stack_count,roster_wr1_qb_stack,any_qb_wr_same_team,season_total,weekly_std,roster_value,stack_teams,stack_names,roster_wr1_name,roster_wr1_team
2021,2024_1,2024 #1 — Let James Cook (16-2),1,natural,none,0,0,0,2190.1,31.68,54973,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,none,none,0,0,0,2190.1,31.68,54973,,,Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,single,single,1,1,1,2188.4,31.86,55095,DEN,Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),1,multi,multi,2,1,1,2320.1,27.79,54728,MIA|DEN,Tua Tagovailoa/Jaylen Waddle (MIA); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),2,natural,none,0,0,1,2263,24.64,55911,,,Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),2,none,none,0,0,1,2263,24.64,55911,,,Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),2,single,single,1,0,1,2204.1,26.84,55672,JAX,Trevor Lawrence/Laviska Shenault (JAX),Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),2,multi,multi,2,0,1,2158,29.47,55415,JAX|CHI,Trevor Lawrence/Laviska Shenault (JAX); Justin Fields/Darnell Mooney (CHI),Deebo Samuel,SF
2021,2024_1,2024 #1 — Let James Cook (16-2),3,natural,none,0,0,1,2097.9,24.66,55235,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),3,none,none,0,0,1,2097.9,24.66,55235,,,Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),3,single,single,1,0,1,2227.9,24.14,55465,HOU,Tyrod Taylor/Brandin Cooks (HOU),Jerry Jeudy,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),3,multi,multi,2,1,1,2255.8,26.68,55697,HOU|DEN,Tyrod Taylor/Brandin Cooks (HOU); Drew Lock/Courtland Sutton (DEN),Courtland Sutton,DEN
2021,2024_1,2024 #1 — Let James Cook (16-2),4,natural,none,0,1,1,1737.2,32.94,53230,,,DeVonta Smith,PHI
