format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
hwang,overall,,,QB_vs_RB,QB,RB,123400,7631441.6,9634878.3,-23.2
hwang,overall,,,QB_vs_WR,QB,WR,173600,11397316.8,9350849.5,19.7
hwang,overall,,,QB_vs_TE,QB,TE,65600,3245575.5,2913750.6,10.8
hwang,overall,,,RB_vs_WR,RB,WR,350800,23113958.4,15279005,40.8
hwang,overall,,,RB_vs_TE,RB,TE,165000,9611264.2,6799788,34.3
hwang,overall,,,WR_vs_TE,WR,TE,219400,8201352.8,9161462.9,-11.1
hwang,year,2021,,QB_vs_RB,QB,RB,13400,1024083.4,1443900.7,-34
hwang,year,2021,,QB_vs_WR,QB,WR,22200,1693025,1563503,8
hwang,year,2021,,QB_vs_TE,QB,TE,8000,407567.7,490821.7,-18.5
hwang,year,2021,,RB_vs_WR,RB,WR,33000,2996722.4,2056778.5,37.2
hwang,year,2021,,RB_vs_TE,RB,TE,16400,1423275.2,1039409.9,31.2
hwang,year,2021,,WR_vs_TE,WR,TE,22600,1203685.9,1397669.7,-14.9
hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,670,77325.7,79146.2,-2.3
hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,1110,130842.1,99657.3,27.1
hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,400,32397,31347.4,3.3
hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,1650,166296.6,131530.4,23.3
hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,820,78406.3,65624.4,17.7
hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,1130,78224.4,89381,-13.3
hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,670,53660.2,71240.9,-28.2
hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,1110,88094,80674.9,8.8
hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,400,20996.3,26345.2,-22.6
hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,1650,148069.4,106713.6,32.5
hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,820,69578.2,55130.1,23.2
hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,1130,62692.9,74167.1,-16.8
hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,670,58036.6,68782.5,-16.9
hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,1110,95957.5,84228.4,13
hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,400,23877.1,25419.9,-6.3
hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,1650,141035.3,111209.7,23.6
hwang,archetype,2021,2024_3,RB_vs_TE,RB,TE,820,67416.7,53518.7,23
hwang,archetype,2021,2024_3,WR_vs_TE,WR,TE,1130,65019.5,72450.3,-10.8
hwang,archetype,2021,2024_4,QB_vs_RB,QB,RB,670,37745.2,77009.6,-68.4
hwang,archetype,2021,2024_4,QB_vs_WR,QB,WR,1110,64139.3,81608.3,-24
hwang,archetype,2021,2024_4,QB_vs_TE,QB,TE,400,14519.9,27450.8,-61.6
hwang,archetype,2021,2024_4,RB_vs_WR,RB,WR,1650,160290.4,107738,39.2
hwang,archetype,2021,2024_4,RB_vs_TE,RB,TE,820,75396.9,57835.4,26.4
hwang,archetype,2021,2024_4,WR_vs_TE,WR,TE,1130,62612.9,77983.8,-21.9
hwang,archetype,2021,2024_5,QB_vs_RB,QB,RB,670,61471.5,82377.3,-29.1
hwang,archetype,2021,2024_5,QB_vs_WR,QB,WR,1110,106602.8,94734.9,11.8
hwang,archetype,2021,2024_5,QB_vs_TE,QB,TE,400,26073.9,31285.9,-18.2
hwang,archetype,2021,2024_5,RB_vs_WR,RB,WR,1650,174533.9,125496.7,32.7
hwang,archetype,2021,2024_5,RB_vs_TE,RB,TE,820,81946.2,65301,22.6
hwang,archetype,2021,2024_5,WR_vs_TE,WR,TE,1130,74459.4,88721.6,-17.5
hwang,archetype,2021,2024_6,QB_vs_RB,QB,RB,670,67877.2,83535.1,-20.7
hwang,archetype,2021,2024_6,QB_vs_WR,QB,WR,1110,113155.6,89658.5,23.2
hwang,archetype,2021,2024_6,QB_vs_TE,QB,TE,400,28173.1,29967,-6.2
hwang,archetype,2021,2024_6,RB_vs_WR,RB,WR,1650,176309.3,117934.1,39.7
hwang,archetype,2021,2024_6,RB_vs_TE,RB,TE,820,83082.9,62578,28.2
hwang,archetype,2021,2024_6,WR_vs_TE,WR,TE,1130,69737.9,84856.1,-19.6
hwang,archetype,2021,2025_1,QB_vs_RB,QB,RB,670,60567.2,60529.4,0.1
hwang,archetype,2021,2025_1,QB_vs_WR,QB,WR,1110,97055.4,77146.2,22.9
hwang,archetype,2021,2025_1,QB_vs_TE,QB,TE,400,24552.6,22751.2,7.6
hwang,archetype,2021,2025_1,RB_vs_WR,RB,WR,1650,121066.6,101304.3,17.8
hwang,archetype,2021,2025_1,RB_vs_TE,RB,TE,820,58608.3,48139.6,19.6
hwang,archetype,2021,2025_1,WR_vs_TE,WR,TE,1130,58771.6,64803.3,-9.8
hwang,archetype,2021,2025_2,QB_vs_RB,QB,RB,670,45541.4,73499.3,-47
hwang,archetype,2021,2025_2,QB_vs_WR,QB,WR,1110,72796.7,71124.2,2.3
hwang,archetype,2021,2025_2,QB_vs_TE,QB,TE,400,16966.8,23543,-32.5
hwang,archetype,2021,2025_2,RB_vs_WR,RB,WR,1650,153056.1,93061.4,48.8
hwang,archetype,2021,2025_2,RB_vs_TE,RB,TE,820,72898.3,50077.7,37.1
hwang,archetype,2021,2025_2,WR_vs_TE,WR,TE,1130,54594.4,67505.9,-21.1
hwang,archetype,2021,2025_3,QB_vs_RB,QB,RB,670,56890.4,65145.4,-13.5
hwang,archetype,2021,2025_3,QB_vs_WR,QB,WR,1110,95212,76123.9,22.3
hwang,archetype,2021,2025_3,QB_vs_TE,QB,TE,400,22343.8,24054,-7.4
hwang,archetype,2021,2025_3,RB_vs_WR,RB,WR,1650,134081.9,100352.1,28.8
hwang,archetype,2021,2025_3,RB_vs_TE,RB,TE,820,63924.4,51036.8,22.4
hwang,archetype,2021,2025_3,WR_vs_TE,WR,TE,1130,58251.1,68449.9,-16.1
hwang,archetype,2021,2025_4,QB_vs_RB,QB,RB,670,47944.5,70874.9,-38.6
hwang,archetype,2021,2025_4,QB_vs_WR,QB,WR,1110,76891.3,72820.4,5.4
hwang,archetype,2021,2025_4,QB_vs_TE,QB,TE,400,18818.4,23316.3,-21.4
hwang,archetype,2021,2025_4,RB_vs_WR,RB,WR,1650,145988.8,95444.6,41.9
hwang,archetype,2021,2025_4,RB_vs_TE,RB,TE,820,69464.3,50233,32.1
hwang,archetype,2021,2025_4,WR_vs_TE,WR,TE,1130,55338.8,67176.5,-19.3
hwang,archetype,2021,2025_5,QB_vs_RB,QB,RB,670,50633.6,68250.6,-29.6
hwang,archetype,2021,2025_5,QB_vs_WR,QB,WR,1110,82728.4,81754.7,1.2
hwang,archetype,2021,2025_5,QB_vs_TE,QB,TE,400,19983,20902.1,-4.5
hwang,archetype,2021,2025_5,RB_vs_WR,RB,WR,1650,140339.5,107626.4,26.4
hwang,archetype,2021,2025_5,RB_vs_TE,RB,TE,820,66747.6,44611.2,39.8
hwang,archetype,2021,2025_5,WR_vs_TE,WR,TE,1130,63362.7,59086.4,7
hwang,archetype,2021,2025_6,QB_vs_RB,QB,RB,670,57012.2,80715.1,-34.4
hwang,archetype,2021,2025_6,QB_vs_WR,QB,WR,1110,91910.8,90587,1.5
hwang,archetype,2021,2025_6,QB_vs_TE,QB,TE,400,22109.7,30508.5,-31.9
hwang,archetype,2021,2025_6,RB_vs_WR,RB,WR,1650,170485.9,119883.4,34.9
hwang,archetype,2021,2025_6,RB_vs_TE,RB,TE,820,80188.2,63490.2,23.2
hwang,archetype,2021,2025_6,WR_vs_TE,WR,TE,1130,70796.3,86105.5,-19.5
hwang,archetype,2021,2025_7,QB_vs_RB,QB,RB,670,34208.8,96203,-95.1
hwang,archetype,2021,2025_7,QB_vs_WR,QB,WR,1110,61540.3,67572.9,-9.3
hwang,archetype,2021,2025_7,QB_vs_TE,QB,TE,400,13566.4,21228.4,-44
hwang,archetype,2021,2025_7,RB_vs_WR,RB,WR,1650,207676,88735.8,80.3
hwang,archetype,2021,2025_7,RB_vs_TE,RB,TE,820,97000,45748.1,71.8
hwang,archetype,2021,2025_7,WR_vs_TE,WR,TE,1130,51823.6,60812.8,-16
hwang,archetype,2021,2026_1,QB_vs_RB,QB,RB,670,28276.1,62560.6,-75.5
hwang,archetype,2021,2026_1,QB_vs_WR,QB,WR,1110,43840.5,65109.1,-39
hwang,archetype,2021,2026_1,QB_vs_TE,QB,TE,400,10454.9,20666.7,-65.6
hwang,archetype,2021,2026_1,RB_vs_WR,RB,WR,1650,127153.6,84949.3,39.8
hwang,archetype,2021,2026_1,RB_vs_TE,RB,TE,820,62023.2,45240.2,31.3
hwang,archetype,2021,2026_1,WR_vs_TE,WR,TE,1130,48926.2,59978,-20.3
hwang,archetype,2021,2026_2,QB_vs_RB,QB,RB,670,51874.3,71030,-31.2
hwang,archetype,2021,2026_2,QB_vs_WR,QB,WR,1110,84247.9,61122.5,31.8
hwang,archetype,2021,2026_2,QB_vs_TE,QB,TE,400,20347.8,19959.1,1.9
