value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4034,Christian McCaffrey,RB,1,9608,Bijan Robinson,90.5,75,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4988,Nick Chubb,RB,8,6441,James Cook,189.3,165.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,173.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6814,Laviska Shenault,WR,25,4507,Brian Thomas,57.8,32.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4017,Deshaun Watson,QB,20,4236,Jared Goff,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6806,J.K. Dobbins,RB,22,4568,Derrick Henry,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,1166,Kirk Cousins,QB,23,3272,Kyler Murray,278.4,264.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7601,Rondale Moore,WR,34,3841,Christian Watson,55.1,36.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,57,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4149,Jamaal Williams,RB,36,2568,Chuba Hubbard,88.6,70.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6824,Donovan Peoples-Jones,WR,59,1771,Courtland Sutton,71.9,56.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7670,Josh Palmer,WR,55,2346,Chris Godwin,49.4,29.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7002,Juwan Johnson,TE,28,1105,Cade Otton,39.4,26.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,5010,Will Dissly,TE,33,665,Michael Mayer,39.6,16.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7066,K.J. Osborn,WR,97,0,Keon Coleman,100.4,75.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,1535,Cordarrelle Patterson,RB,59,175,Isiah Pacheco,181.4,158.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7720,Kene Nwangwu,RB,57,369,Jaylen Wright,18.6,7.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6136,Jarrett Stidham,QB,40,0,Geno Smith,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4080,Zay Jones,WR,104,0,Curtis Samuel,56.2,34.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,6598,Trenton Irwin,WR,103,0,Rashod Bateman,2.5,1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,5008,Durham Smythe,TE,41,0,Daniel Bellinger,48.8,29,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,5137,Richie James,WR,102,0,Cooper Kupp,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7049,Jauan Jennings,WR,95,0,Devaughn Vele,36.8,22.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7021,Rico Dowdle,RB,65,0,Devin Singletary,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,4234,Noah Brown,WR,101,0,Elijah Moore,18.4,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,5089,Mike White,QB,44,0,Will Levis,44,38.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,54140,7083,Tyler Huntley,QB,46,0,Sam Howell,75.8,67.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,4034,Christian McCaffrey,RB,1,9608,Bijan Robinson,90.5,70.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,4988,Nick Chubb,RB,8,6441,James Cook,189.3,158.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,166.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,1352,Robert Woods,WR,28,4277,Brian Thomas,92.2,74.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6768,Tua Tagovailoa,QB,17,5065,Jared Goff,168.8,134.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6151,Miles Sanders,RB,21,4583,Derrick Henry,91.2,62.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,4943,Sam Darnold,QB,22,3497,Kyler Murray,142.6,122.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5872,Deebo Samuel,WR,33,3931,Christian Watson,237,198.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,49.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,7567,Kenneth Gainwell,RB,35,2632,Chuba Hubbard,75.7,57.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6805,KJ Hamler,WR,58,1945,Courtland Sutton,7.4,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5026,Tre'Quan Smith,WR,67,1471,Chris Godwin,42.1,23.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5010,Will Dissly,TE,33,665,Cade Otton,39.6,16.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5985,Foster Moreau,TE,38,436,Michael Mayer,64.3,39.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5121,Braxton Berrios,WR,90,0,Keon Coleman,75.1,41.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6659,Craig Reynolds,RB,60,0,Isiah Pacheco,28,19.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,7021,Rico Dowdle,RB,65,0,Jaylen Wright,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6111,Jake Browning,QB,39,0,Geno Smith,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5938,Lil'Jordan Humphrey,WR,99,0,Curtis Samuel,34.3,15.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,4080,Zay Jones,WR,104,0,Rashod Bateman,56.2,30.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,66.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,7496,Nick Westbrook-Ikhine,WR,100,0,Cooper Kupp,55.8,26.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,6598,Trenton Irwin,WR,103,0,Devaughn Vele,2.5,1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,7529,Gary Brightwell,RB,64,0,Devin Singletary,1,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,5137,Richie James,WR,102,0,Elijah Moore,0,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,7083,Tyler Huntley,QB,46,0,Will Levis,75.8,56.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),2,53219,4464,Nick Mullens,QB,45,0,Sam Howell,9.9,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4034,Christian McCaffrey,RB,1,9608,Bijan Robinson,90.5,80.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4988,Nick Chubb,RB,8,6441,James Cook,189.3,179.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,186.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5045,Courtland Sutton,WR,30,4184,Brian Thomas,90.3,73.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4017,Deshaun Watson,QB,20,4236,Jared Goff,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4098,Kareem Hunt,RB,24,3860,Derrick Henry,88,80.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5870,Daniel Jones,QB,26,3037,Kyler Murray,166.5,139.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,3199,Michael Thomas,WR,31,4034,Christian Watson,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,56,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,2749,Raheem Mostert,RB,32,3007,Chuba Hubbard,2,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7606,Kadarius Toney,WR,52,2522,Courtland Sutton,43.4,29.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,6927,Quez Watkins,WR,62,1571,Chris Godwin,58.6,41.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7568,Brevin Jordan,TE,30,1074,Cade Otton,45.8,30.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5010,Will Dissly,TE,33,665,Michael Mayer,39.6,16.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7713,Jaelon Darden,WR,79,848,Keon Coleman,5.4,4.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7720,Kene Nwangwu,RB,57,369,Isiah Pacheco,18.6,14.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7021,Rico Dowdle,RB,65,0,Jaylen Wright,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,2711,Taylor Heinicke,QB,34,1035,Geno Smith,216.8,185.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,6598,Trenton Irwin,WR,103,0,Curtis Samuel,2.5,1.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5695,Brandon Powell,WR,89,0,Rashod Bateman,6,3.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,77.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4080,Zay Jones,WR,104,0,Cooper Kupp,56.2,47,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4234,Noah Brown,WR,101,0,Devaughn Vele,18.4,6.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7529,Gary Brightwell,RB,64,0,Devin Singletary,1,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,5137,Richie James,WR,102,0,Elijah Moore,0,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,7083,Tyler Huntley,QB,46,0,Will Levis,75.8,61.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),3,55159,4464,Nick Mullens,QB,45,0,Sam Howell,9.9,9.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,125.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6945,Antonio Gibson,RB,7,6789,James Cook,166,124.7,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,150.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,1352,Robert Woods,WR,28,4277,Brian Thomas,92.2,61.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,2306,Jameis Winston,QB,21,3589,Jared Goff,117.4,87.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4098,Kareem Hunt,RB,24,3860,Derrick Henry,88,62.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5870,Daniel Jones,QB,26,3037,Kyler Murray,166.5,135.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5045,Courtland Sutton,WR,30,4184,Christian Watson,90.3,53.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3271,Tyler Higbee,TE,12,2976,George Kittle,96,55.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6845,Zack Moss,RB,34,2833,Chuba Hubbard,80.8,44.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5917,Mecole Hardman,WR,54,2437,Courtland Sutton,70.6,34.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6149,Darius Slayton,WR,63,1559,Chris Godwin,33.7,14.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7535,Hunter Long,TE,32,768,Cade Otton,1.3,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6843,Albert Okwuegbunam,TE,36,567,Michael Mayer,59.5,26.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7757,Ben Skowronek,WR,88,0,Keon Coleman,13.3,4.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7021,Rico Dowdle,RB,65,0,Isiah Pacheco,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4111,D'Onta Foreman,RB,62,0,Jaylen Wright,76.5,56.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3976,Mitchell Trubisky,QB,36,354,Geno Smith,7.8,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7066,K.J. Osborn,WR,97,0,Curtis Samuel,100.4,65,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4080,Zay Jones,WR,104,0,Rashod Bateman,56.2,32.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5133,Tyler Conklin,TE,45,0,Daniel Bellinger,106.2,61.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,3634,Kalif Raymond,WR,98,0,Cooper Kupp,67,37.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6598,Trenton Irwin,WR,103,0,Devaughn Vele,2.5,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,6659,Craig Reynolds,RB,60,0,Devin Singletary,28,20.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,5137,Richie James,WR,102,0,Elijah Moore,0,,1,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,4464,Nick Mullens,QB,45,0,Will Levis,9.9,7.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),4,50347,7083,Tyler Huntley,QB,46,0,Sam Howell,75.8,70.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4029,Dalvin Cook,RB,2,7347,Bijan Robinson,164.1,144.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,3198,Derrick Henry,RB,9,6290,James Cook,175.3,159.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,3164,Ezekiel Elliott,RB,14,5770,Breece Hall,196.1,174.2,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,6814,Laviska Shenault,WR,25,4507,Brian Thomas,57.8,33.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),5,52908,4892,Baker Mayfield,QB,18,4980,Jared Goff,180.9,159,0,0
