value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,2344600,143804571.4,179130731.5,-21.9
ktc,hwang,overall,,,QB_vs_WR,QB,WR,3298400,215155278.5,179882547.8,17.9
ktc,hwang,overall,,,QB_vs_TE,QB,TE,1246400,61177786.5,55888073.4,9
ktc,hwang,overall,,,RB_vs_WR,RB,WR,6665200,428984348.7,294417323.5,37.2
ktc,hwang,overall,,,RB_vs_TE,RB,TE,3135000,177932860.5,130418833.1,30.8
ktc,hwang,overall,,,WR_vs_TE,WR,TE,4168600,157854432.7,175754345.5,-10.7
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,254600,19915210.9,26968026.1,-30.1
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,421800,32948117.3,29796234.8,10
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,152000,7925408,9414931.6,-17.2
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,627000,55803919.6,39236950.4,34.9
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,311600,26538862.3,19913657.8,28.5
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,429400,22951175.3,26808449.8,-15.5
ktc,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,13400,1509467.3,1565788.7,-3.7
ktc,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,22200,2544211,1947510.5,26.6
ktc,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,8000,625631.1,624270,0.2
ktc,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,33000,3274135.8,2572360.5,24
ktc,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,16400,1541441.3,1307184.2,16.4
ktc,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,22600,1527781.1,1778460,-15.2
ktc,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,13400,1097630.2,1441130.1,-27.1
ktc,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,22200,1804922.6,1650742.7,8.9
ktc,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,8000,423479.3,556126.5,-27.1
ktc,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,33000,2996020.5,2179362.2,31.6
ktc,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,16400,1411371.3,1161089.1,19.5
ktc,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,22600,1280829.6,1567117.2,-20.1
ktc,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,13400,1175609.4,1418618.5,-18.7
ktc,hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,22200,1955423,1715790.3,13.1
ktc,hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,8000,480488,524990.6,-8.9
ktc,hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,33000,2920839,2256862.3,25.6
ktc,hwang,archetype,2021,2024_3,RB_vs_TE,RB,TE,16400,1391811.9,1104547.4,23
ktc,hwang,archetype,2021,2024_3,WR_vs_TE,WR,TE,22600,1319211.1,1497866.1,-12.7
ktc,hwang,archetype,2021,2024_4,QB_vs_RB,QB,RB,13400,752972.9,1491579.9,-65.8
ktc,hwang,archetype,2021,2024_4,QB_vs_WR,QB,WR,22200,1306148.8,1621686.1,-21.6
ktc,hwang,archetype,2021,2024_4,QB_vs_TE,QB,TE,8000,294149,541418.4,-59.2
ktc,hwang,archetype,2021,2024_4,RB_vs_WR,RB,WR,33000,3093416.9,2151286.4,35.9
ktc,hwang,archetype,2021,2024_4,RB_vs_TE,RB,TE,16400,1462903.2,1137826.1,25
ktc,hwang,archetype,2021,2024_4,WR_vs_TE,WR,TE,22600,1251120.4,1534616.3,-20.4
ktc,hwang,archetype,2021,2024_5,QB_vs_RB,QB,RB,13400,1309499,1679203.4,-24.7
ktc,hwang,archetype,2021,2024_5,QB_vs_WR,QB,WR,22200,2267355.2,1941817.6,15.5
ktc,hwang,archetype,2021,2024_5,QB_vs_TE,QB,TE,8000,554684.6,634517.1,-13.4
ktc,hwang,archetype,2021,2024_5,RB_vs_WR,RB,WR,33000,3561379.3,2575169.1,32.1
ktc,hwang,archetype,2021,2024_5,RB_vs_TE,RB,TE,16400,1668157.6,1324520.4,23
ktc,hwang,archetype,2021,2024_5,WR_vs_TE,WR,TE,22600,1527917.4,1798835.4,-16.3
ktc,hwang,archetype,2021,2024_6,QB_vs_RB,QB,RB,13400,1304419.4,1626454.6,-22
ktc,hwang,archetype,2021,2024_6,QB_vs_WR,QB,WR,22200,2154270.6,1802927.8,17.8
ktc,hwang,archetype,2021,2024_6,QB_vs_TE,QB,TE,8000,537262.1,596790.7,-10.5
ktc,hwang,archetype,2021,2024_6,RB_vs_WR,RB,WR,33000,3425739.1,2370069.1,36.4
ktc,hwang,archetype,2021,2024_6,RB_vs_TE,RB,TE,16400,1615731.7,1244283.5,26
ktc,hwang,archetype,2021,2024_6,WR_vs_TE,WR,TE,22600,1401280.7,1689171.5,-18.6
ktc,hwang,archetype,2021,2025_1,QB_vs_RB,QB,RB,13400,1226280.7,1221413.3,0.4
