value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,hwang,2021,2024_1,19,13.3,13,200,1760
ktc,hwang,2021,2024_1,96,200.6,197.3,200,1760
ktc,hwang,2021,2024_1,421,188,184.6,200,1760
ktc,hwang,2021,2024_1,827,36.9,35.8,200,1760
ktc,hwang,2021,2024_1,1049,118.1,115,200,1760
ktc,hwang,2021,2024_1,1166,179.3,177.4,200,1760
ktc,hwang,2021,2024_1,1234,126,123.5,200,1760
ktc,hwang,2021,2024_1,1339,95.8,95,200,1760
ktc,hwang,2021,2024_1,1352,72.1,71.5,200,1760
ktc,hwang,2021,2024_1,1373,34.3,33,200,1760
ktc,hwang,2021,2024_1,1426,82.8,82.2,200,1760
ktc,hwang,2021,2024_1,1466,168,167.2,200,1760
ktc,hwang,2021,2024_1,1479,110.5,109.6,200,1760
ktc,hwang,2021,2024_1,1535,149.4,148.8,200,1760
ktc,hwang,2021,2024_1,1689,102.1,101.3,200,1760
ktc,hwang,2021,2024_1,1837,112.3,109.8,200,1760
ktc,hwang,2021,2024_1,2028,140.9,138.4,200,1760
ktc,hwang,2021,2024_1,2078,60.5,60,200,1760
ktc,hwang,2021,2024_1,2133,180.7,179.8,200,1760
ktc,hwang,2021,2024_1,2161,3.9,3.8,200,1760
ktc,hwang,2021,2024_1,2197,106.1,105.3,200,1760
ktc,hwang,2021,2024_1,2216,138.1,137.4,200,1760
ktc,hwang,2021,2024_1,2306,69,67.6,200,1760
ktc,hwang,2021,2024_1,2307,2.7,2.6,200,1760
ktc,hwang,2021,2024_1,2309,95.9,95.1,200,1760
ktc,hwang,2021,2024_1,2319,43.7,43.2,200,1760
ktc,hwang,2021,2024_1,2325,39.6,39.1,200,1760
ktc,hwang,2021,2024_1,2374,115.7,114.9,200,1760
ktc,hwang,2021,2024_1,2449,130.2,129.2,200,1760
ktc,hwang,2021,2024_1,2505,72.6,72.1,200,1760
ktc,hwang,2021,2024_1,2711,123.1,120.7,200,1760
ktc,hwang,2021,2024_1,2749,0.1,0.1,200,1760
ktc,hwang,2021,2024_1,3163,86.6,84.4,200,1760
ktc,hwang,2021,2024_1,3164,162.9,161.9,200,1760
ktc,hwang,2021,2024_1,3198,156.7,156.3,200,1760
