value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,2344600,1443016.96,101020644.6,134034443.4,-28.1
ktc,hwang,overall,,,QB_vs_WR,QB,WR,3298400,2124006.08,158071576.7,139115066,12.8
ktc,hwang,overall,,,QB_vs_TE,QB,TE,1246400,622329.02,35945123.9,35198268.4,2.1
ktc,hwang,overall,,,RB_vs_WR,RB,WR,6665200,3528369.56,283549611.4,188179689.5,40.4
ktc,hwang,overall,,,RB_vs_TE,RB,TE,3135000,1468009.09,108719633.5,75296818.8,36.3
ktc,hwang,overall,,,WR_vs_TE,WR,TE,4168600,1912633.52,89330523.7,100017963.5,-11.3
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,254600,231160.73,19058938.4,26642461.7,-33.2
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,421800,309723.7,25529134.6,24047677.1,6
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,152000,95405.11,6046886.2,7131346.6,-16.5
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,627000,426538.35,44653627.5,31703701.2,33.9
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,311600,191049.7,21502456.8,15371392.8,33.3
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,429400,250336.64,16722258.5,19011406.2,-12.8
ktc,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,13400,10043.02,1185114.9,1280926.1,-7.8
ktc,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,22200,13456.28,1620034.9,1298283.5,22.1
ktc,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,8000,4144.98,391091.6,385221.3,1.5
ktc,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,33000,18531.41,2167376.8,1704644.1,23.9
ktc,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,16400,8300.36,1031586.6,820489.1,22.8
ktc,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,22600,10876.14,904463.3,1030710.3,-13
ktc,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,13400,11459.66,1002859,1348104.3,-29.4
ktc,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,22200,15354.38,1344125.6,1267338,5.9
ktc,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,8000,4729.66,313323.1,396459.8,-23.4
ktc,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,33000,21145.4,2271349,1670580.1,30.5
ktc,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,16400,9471.18,1082863.6,844686.3,24.7
ktc,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,22600,12410.3,884444.2,1048955.3,-17
ktc,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,13400,11860.01,1106707,1375926.4,-21.7
ktc,hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,22200,15890.79,1492576.8,1363441.6,9
ktc,hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,8000,4894.89,359853.1,390188.7,-8.1
ktc,hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,33000,21884.13,2291242.5,1788888.9,24.6
ktc,hwang,archetype,2021,2024_3,RB_vs_TE,RB,TE,16400,9802.06,1103675,834194.8,27.8
ktc,hwang,archetype,2021,2024_3,WR_vs_TE,WR,TE,22600,12843.86,940588.9,1039219.9,-10
ktc,hwang,archetype,2021,2024_4,QB_vs_RB,QB,RB,13400,12199.26,739773.5,1492721.4,-67.5
ktc,hwang,archetype,2021,2024_4,QB_vs_WR,QB,WR,22200,16345.34,1059783.3,1328464.6,-22.5
ktc,hwang,archetype,2021,2024_4,QB_vs_TE,QB,TE,8000,5034.9,232309.4,415005.8,-56.4
ktc,hwang,archetype,2021,2024_4,RB_vs_WR,RB,WR,33000,22510.1,2511359.6,1759481.9,35.2
ktc,hwang,archetype,2021,2024_4,RB_vs_TE,RB,TE,16400,10082.44,1202887.9,885565.6,30.4
ktc,hwang,archetype,2021,2024_4,WR_vs_TE,WR,TE,22600,13211.25,921986,1099363.9,-17.6
ktc,hwang,archetype,2021,2024_5,QB_vs_RB,QB,RB,13400,10272.95,1055438.8,1402514.8,-28.2
ktc,hwang,archetype,2021,2024_5,QB_vs_WR,QB,WR,22200,13764.35,1494623.3,1332036.6,11.5
ktc,hwang,archetype,2021,2024_5,QB_vs_TE,QB,TE,8000,4239.87,359270.1,400868.2,-10.9
