value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,hwang,2021,2024_1,19,11.5,11.1,200,1746
ktc,hwang,2021,2024_1,96,200.1,196.7,200,1746
ktc,hwang,2021,2024_1,421,186.1,182.7,200,1746
ktc,hwang,2021,2024_1,827,38.6,37.4,200,1746
ktc,hwang,2021,2024_1,1049,117.2,114,200,1746
ktc,hwang,2021,2024_1,1166,178,175.8,200,1746
ktc,hwang,2021,2024_1,1234,123.4,121,200,1746
ktc,hwang,2021,2024_1,1339,95.4,94.8,200,1746
ktc,hwang,2021,2024_1,1352,72.3,71.8,200,1746
ktc,hwang,2021,2024_1,1373,32.4,32.4,200,1746
ktc,hwang,2021,2024_1,1426,82.6,82.1,200,1746
ktc,hwang,2021,2024_1,1466,167.6,166.9,200,1746
ktc,hwang,2021,2024_1,1479,110.4,109.7,200,1746
ktc,hwang,2021,2024_1,1535,150.4,149.8,200,1746
ktc,hwang,2021,2024_1,1689,102.2,101.6,200,1746
ktc,hwang,2021,2024_1,1837,111.2,108.8,200,1746
ktc,hwang,2021,2024_1,2028,139.7,137.5,200,1746
ktc,hwang,2021,2024_1,2078,60.5,60.1,200,1746
ktc,hwang,2021,2024_1,2133,180.3,179.6,200,1746
ktc,hwang,2021,2024_1,2161,4.6,4.5,200,1746
ktc,hwang,2021,2024_1,2197,106.4,105.7,200,1746
ktc,hwang,2021,2024_1,2216,137.9,137.3,200,1746
ktc,hwang,2021,2024_1,2306,67.5,66,200,1746
ktc,hwang,2021,2024_1,2307,2.6,2.5,200,1746
ktc,hwang,2021,2024_1,2309,95.7,95,200,1746
ktc,hwang,2021,2024_1,2319,43.8,43.4,200,1746
ktc,hwang,2021,2024_1,2325,39.5,39,200,1746
ktc,hwang,2021,2024_1,2374,115.7,115.1,200,1746
ktc,hwang,2021,2024_1,2449,130.3,129.5,200,1746
ktc,hwang,2021,2024_1,2505,72.8,72.3,200,1746
ktc,hwang,2021,2024_1,2711,120.2,118.1,200,1746
ktc,hwang,2021,2024_1,2749,0.1,0.1,200,1746
ktc,hwang,2021,2024_1,3163,84.8,82.6,200,1746
ktc,hwang,2021,2024_1,3164,165.2,164.4,200,1746
ktc,hwang,2021,2024_1,3198,156.9,156.5,200,1746
ktc,hwang,2021,2024_1,3199,0,0,200,1746
