value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,2344600,1445979.37,100605909.7,133708492.3,-28.3
ktc,hwang,overall,,,QB_vs_WR,QB,WR,3298400,2128538.92,157435986,139112950.1,12.4
ktc,hwang,overall,,,QB_vs_TE,QB,TE,1246400,623634.53,35818736,35260992.6,1.6
ktc,hwang,overall,,,RB_vs_WR,RB,WR,6665200,3535673.92,282798002.5,188154986.6,40.2
ktc,hwang,overall,,,RB_vs_TE,RB,TE,3135000,1471129.87,108391510.7,75442838.1,35.8
ktc,hwang,overall,,,WR_vs_TE,WR,TE,4168600,1916596.76,89327228.2,100202155.9,-11.5
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,254600,231773.82,18872407.2,26546765.6,-33.8
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,421800,310545.16,25302776,24098134.5,4.9
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,152000,95658.15,5985665.9,7128886.9,-17.4
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,627000,427669.63,44445409.4,31785727.5,33.2
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,311600,191556.4,21415360.6,15364779,32.9
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,429400,251000.59,16765769.1,18995185,-12.5
ktc,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,13400,9964.88,1164571.3,1278087.8,-9.3
ktc,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,22200,13351.57,1593313.2,1288401.1,21.2
ktc,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,8000,4112.73,383208.1,382458.4,0.2
ktc,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,33000,18387.22,2161065.8,1690954.2,24.4
ktc,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,16400,8235.77,1029789.7,813790,23.4
ktc,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,22600,10791.52,896712.6,1022023.6,-13.1
ktc,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,13400,11322.76,994214.9,1364151.7,-31.4
ktc,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,22200,15170.94,1331941.9,1274708.6,4.4
ktc,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,8000,4673.15,310833.6,395371.7,-23.9
ktc,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,33000,20892.78,2302382.8,1679121.5,31.3
ktc,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,16400,9358.03,1096014.6,842270.4,26.2
ktc,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,22600,12262.03,889095.6,1046486.3,-16.3
ktc,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,13400,11927.77,1056083.7,1351939,-24.6
ktc,hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,22200,15981.58,1422796.4,1360069.3,4.5
ktc,hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,8000,4922.85,343206.5,379068.3,-9.9
ktc,hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,33000,22009.15,2246905.7,1791062.5,22.6
