value_basis,format,year,candidate_count,excluded_zero_point,pool_size,pair_count
ktc,hwang,2021,241,19,260,578
ktc,hwang,2022,280,20,300,1130
ktc,hwang,2023,291,9,300,1216
ktc,hwang,2024,286,14,300,1364
ktc,hwang,2025,274,26,300,1201
ktc,regular,2021,241,19,260,578
ktc,regular,2022,281,19,300,1134
ktc,regular,2023,292,8,300,1220
ktc,regular,2024,286,14,300,1364
ktc,regular,2025,274,26,300,1201
comp,hwang,2021,209,12,221,410
comp,hwang,2022,280,20,300,739
comp,hwang,2023,288,12,300,857
comp,hwang,2024,289,11,300,881
comp,hwang,2025,282,18,300,736
comp,regular,2021,209,12,221,410
comp,regular,2022,281,19,300,740
comp,regular,2023,290,10,300,867
comp,regular,2024,289,11,300,881
comp,regular,2025,282,18,300,736
