value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
comp,hwang,overall,,,QB_vs_RB,QB,RB,1390800,1063827.72,84961096.7,106552181.1,-22.5
comp,hwang,overall,,,QB_vs_WR,QB,WR,2534600,1539201.55,105185453.4,101236211.3,3.8
comp,hwang,overall,,,QB_vs_TE,QB,TE,919600,481123.74,32969460.2,28975162.8,12.9
comp,hwang,overall,,,RB_vs_WR,RB,WR,4195200,2332444.91,177314415.5,150969107.3,16.1
comp,hwang,overall,,,RB_vs_TE,RB,TE,1580800,804030.04,62314920.5,50223664.6,21.5
comp,hwang,overall,,,WR_vs_TE,WR,TE,3119800,1349391.38,75209445.4,74759181.4,0.6
comp,hwang,year,2021,,QB_vs_RB,QB,RB,155800,156247.67,15087090,18478211.5,-20.2
comp,hwang,year,2021,,QB_vs_WR,QB,WR,387600,235744.26,16381217.2,19920460.3,-19.5
comp,hwang,year,2021,,QB_vs_TE,QB,TE,102600,47447.22,4523846.8,4049746.3,11.1
comp,hwang,year,2021,,RB_vs_WR,RB,WR,326800,212568.04,14929524.1,17957587,-18.4
comp,hwang,year,2021,,RB_vs_TE,RB,TE,133000,92640.03,9507072.9,9050302.1,4.9
comp,hwang,year,2021,,WR_vs_TE,WR,TE,315400,123303.61,9928248.9,9671349.9,2.6
comp,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,8200,7748.98,1071967.3,932452.2,13.9
comp,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,20400,11691.55,1277633.5,1099326.9,15
comp,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,5400,2353.11,314051.3,215814,37.1
comp,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,17200,10542.14,741112.7,991483.9,-28.9
comp,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,7000,4594.41,480456.5,479337.7,0.2
comp,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,16600,6115.14,549391.2,523709.7,4.8
comp,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,8200,7364.72,844197.3,927149.4,-9.4
comp,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,20400,11111.79,940020.1,1052529.3,-11.3
comp,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,5400,2236.42,258290,227003.1,12.9
comp,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,17200,10019.38,781136.2,950212.9,-19.5
comp,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,7000,4366.58,486754.5,498895.5,-2.5
comp,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,16600,5811.91,527712.2,551410,-4.4
comp,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,8200,7900.25,981446.1,975814,0.6
comp,hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,20400,11919.78,962609.2,1195912.5,-21.6
comp,hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,5400,2399.04,288410.3,226911.1,23.9
comp,hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,17200,10747.94,790171,1087239.3,-31.6
comp,hwang,archetype,2021,2024_3,RB_vs_TE,RB,TE,7000,4684.1,498139.8,504089,-1.2
comp,hwang,archetype,2021,2024_3,WR_vs_TE,WR,TE,16600,6234.52,598681.4,549920.1,8.5
comp,hwang,archetype,2021,2024_4,QB_vs_RB,QB,RB,8200,7912.15,810367.7,982762.6,-19.2
comp,hwang,archetype,2021,2024_4,QB_vs_WR,QB,WR,20400,11937.74,902738.3,1023982.7,-12.6
comp,hwang,archetype,2021,2024_4,QB_vs_TE,QB,TE,5400,2402.66,242010.8,233614.4,3.5
comp,hwang,archetype,2021,2024_4,RB_vs_WR,RB,WR,17200,10764.13,805578.2,925740.3,-13.9
comp,hwang,archetype,2021,2024_4,RB_vs_TE,RB,TE,7000,4691.15,505831.5,514044.3,-1.6
comp,hwang,archetype,2021,2024_4,WR_vs_TE,WR,TE,16600,6243.91,509281.2,557590.3,-9.1
comp,hwang,archetype,2021,2024_5,QB_vs_RB,QB,RB,8200,6264.57,686768.8,965597.7,-33.7
comp,hwang,archetype,2021,2024_5,QB_vs_WR,QB,WR,20400,9451.89,786182.9,1136307.5,-36.4
comp,hwang,archetype,2021,2024_5,QB_vs_TE,QB,TE,5400,1902.34,199793.9,225095.4,-11.9
comp,hwang,archetype,2021,2024_5,RB_vs_WR,RB,WR,17200,8522.67,842785.2,1026642.4,-19.7
comp,hwang,archetype,2021,2024_5,RB_vs_TE,RB,TE,7000,3714.29,510602,484150.4,5.3
comp,hwang,archetype,2021,2024_5,WR_vs_TE,WR,TE,16600,4943.71,572100.6,543322.9,5.2
comp,hwang,archetype,2021,2024_6,QB_vs_RB,QB,RB,8200,7897.45,633766.6,1015990.1,-46.3
comp,hwang,archetype,2021,2024_6,QB_vs_WR,QB,WR,20400,11915.57,728745.8,1092941.4,-40
comp,hwang,archetype,2021,2024_6,QB_vs_TE,QB,TE,5400,2398.19,194574.7,219852.8,-12.2
comp,hwang,archetype,2021,2024_6,RB_vs_WR,RB,WR,17200,10744.14,838487.4,982480.8,-15.8
comp,hwang,archetype,2021,2024_6,RB_vs_TE,RB,TE,7000,4682.44,529896.9,486152.5,8.6
comp,hwang,archetype,2021,2024_6,WR_vs_TE,WR,TE,16600,6232.31,543337.1,523487.6,3.7
comp,hwang,archetype,2021,2025_1,QB_vs_RB,QB,RB,8200,8946.65,949770.3,955122.7,-0.6
comp,hwang,archetype,2021,2025_1,QB_vs_WR,QB,WR,20400,13498.58,945604,1227417.3,-25.9
comp,hwang,archetype,2021,2025_1,QB_vs_TE,QB,TE,5400,2716.8,285391.5,229866.9,21.6
comp,hwang,archetype,2021,2025_1,RB_vs_WR,RB,WR,17200,12171.52,722193,1112624.5,-42.6
comp,hwang,archetype,2021,2025_1,RB_vs_TE,RB,TE,7000,5304.51,474394.1,515358.8,-8.3
comp,hwang,archetype,2021,2025_1,WR_vs_TE,WR,TE,16600,7060.29,616174.9,553232.4,10.8
comp,hwang,archetype,2021,2025_2,QB_vs_RB,QB,RB,8200,8490.47,614259.4,985021.4,-46.4
comp,hwang,archetype,2021,2025_2,QB_vs_WR,QB,WR,20400,12810.3,663627.9,1024041.3,-42.7
comp,hwang,archetype,2021,2025_2,QB_vs_TE,QB,TE,5400,2578.27,184408.2,206442.8,-11.3
comp,hwang,archetype,2021,2025_2,RB_vs_WR,RB,WR,17200,11550.9,791487.5,920276.8,-15
comp,hwang,archetype,2021,2025_2,RB_vs_TE,RB,TE,7000,5034.04,509798.3,466316.4,8.9
comp,hwang,archetype,2021,2025_2,WR_vs_TE,WR,TE,16600,6700.29,509835.6,490913.1,3.8
comp,hwang,archetype,2021,2025_3,QB_vs_RB,QB,RB,8200,8614.94,683244,953884.7,-33.1
comp,hwang,archetype,2021,2025_3,QB_vs_WR,QB,WR,20400,12998.09,763875.9,1028312.2,-29.5
comp,hwang,archetype,2021,2025_3,QB_vs_TE,QB,TE,5400,2616.07,207820.9,208459.5,-0.3
comp,hwang,archetype,2021,2025_3,RB_vs_WR,RB,WR,17200,11720.24,765825.4,925400.1,-18.9
comp,hwang,archetype,2021,2025_3,RB_vs_TE,RB,TE,7000,5107.84,487550.9,467984,4.1
comp,hwang,archetype,2021,2025_3,WR_vs_TE,WR,TE,16600,6798.52,510522.9,485012.2,5.1
comp,hwang,archetype,2021,2025_4,QB_vs_RB,QB,RB,8200,8742.77,854594,954464.5,-11
comp,hwang,archetype,2021,2025_4,QB_vs_WR,QB,WR,20400,13190.96,893942,923961.6,-3.3
comp,hwang,archetype,2021,2025_4,QB_vs_TE,QB,TE,5400,2654.89,246699.4,184835.2,28.7
comp,hwang,archetype,2021,2025_4,RB_vs_WR,RB,WR,17200,11894.15,757993.2,823141,-8.2
comp,hwang,archetype,2021,2025_4,RB_vs_TE,RB,TE,7000,5183.63,484815.2,420341.9,14.2
comp,hwang,archetype,2021,2025_4,WR_vs_TE,WR,TE,16600,6899.4,448393.6,436018.2,2.8
comp,hwang,archetype,2021,2025_5,QB_vs_RB,QB,RB,8200,7951.74,823949,964653.1,-15.7
comp,hwang,archetype,2021,2025_5,QB_vs_WR,QB,WR,20400,11997.48,895788.7,1107904.2,-21.2
comp,hwang,archetype,2021,2025_5,QB_vs_TE,QB,TE,5400,2414.68,251367.8,197311.1,24.1
comp,hwang,archetype,2021,2025_5,RB_vs_WR,RB,WR,17200,10817.99,798192.4,1002211.9,-22.7
comp,hwang,archetype,2021,2025_5,RB_vs_TE,RB,TE,7000,4714.63,504040,446358.9,12.1
comp,hwang,archetype,2021,2025_5,WR_vs_TE,WR,TE,16600,6275.16,556285.6,479540.3,14.8
comp,hwang,archetype,2021,2025_6,QB_vs_RB,QB,RB,8200,7808.14,784338.4,985951.9,-22.8
comp,hwang,archetype,2021,2025_6,QB_vs_WR,QB,WR,20400,11780.81,931638.5,1097115.7,-16.3
