value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,hwang,2021,bb_hero_3qb,96,180.4,179.3,50,1587
ktc,hwang,2021,bb_hero_3qb,421,153.6,152.4,50,1587
ktc,hwang,2021,bb_hero_3qb,827,29.2,29.1,50,1587
ktc,hwang,2021,bb_hero_3qb,1049,96.5,95.7,50,1587
ktc,hwang,2021,bb_hero_3qb,1166,134.7,133.7,50,1587
ktc,hwang,2021,bb_hero_3qb,1234,102.3,101.5,50,1587
ktc,hwang,2021,bb_hero_3qb,1339,116.4,115.7,50,1587
ktc,hwang,2021,bb_hero_3qb,1352,78.4,77.9,50,1587
ktc,hwang,2021,bb_hero_3qb,1426,94.3,93.8,50,1587
ktc,hwang,2021,bb_hero_3qb,1466,188.6,187.9,50,1587
ktc,hwang,2021,bb_hero_3qb,1479,129,128.3,50,1587
ktc,hwang,2021,bb_hero_3qb,1535,179.5,179.4,50,1587
ktc,hwang,2021,bb_hero_3qb,1689,117.6,117.1,50,1587
ktc,hwang,2021,bb_hero_3qb,1837,99,98.2,50,1587
ktc,hwang,2021,bb_hero_3qb,2028,145.1,144.5,50,1587
ktc,hwang,2021,bb_hero_3qb,2078,73.2,72.7,50,1587
ktc,hwang,2021,bb_hero_3qb,2133,198.4,197.6,50,1587
ktc,hwang,2021,bb_hero_3qb,2161,10.3,10.2,50,1587
ktc,hwang,2021,bb_hero_3qb,2197,121.7,121,50,1587
ktc,hwang,2021,bb_hero_3qb,2216,151,150.4,50,1587
ktc,hwang,2021,bb_hero_3qb,2306,52.7,52.5,50,1587
ktc,hwang,2021,bb_hero_3qb,2307,1.3,1.2,50,1587
ktc,hwang,2021,bb_hero_3qb,2309,110.9,110.2,50,1587
ktc,hwang,2021,bb_hero_3qb,2319,50.6,50.2,50,1587
ktc,hwang,2021,bb_hero_3qb,2325,51.7,51.3,50,1587
ktc,hwang,2021,bb_hero_3qb,2374,129.9,129.3,50,1587
ktc,hwang,2021,bb_hero_3qb,2449,149.8,149.1,50,1587
ktc,hwang,2021,bb_hero_3qb,2505,89.4,88.8,50,1587
ktc,hwang,2021,bb_hero_3qb,2711,91.4,90.4,50,1587
ktc,hwang,2021,bb_hero_3qb,2749,1.8,1.7,50,1587
ktc,hwang,2021,bb_hero_3qb,3163,62.9,62.3,50,1587
ktc,hwang,2021,bb_hero_3qb,3164,190.1,189.7,50,1587
ktc,hwang,2021,bb_hero_3qb,3198,172.6,172.4,50,1587
ktc,hwang,2021,bb_hero_3qb,3199,0,0,50,1587
ktc,hwang,2021,bb_hero_3qb,3202,60.2,59.8,50,1587
ktc,hwang,2021,bb_hero_3qb,3214,111.2,110.5,50,1587
ktc,hwang,2021,bb_hero_3qb,3225,100,99.4,50,1587
ktc,hwang,2021,bb_hero_3qb,3271,80.4,79.8,50,1587
ktc,hwang,2021,bb_hero_3qb,3286,33.9,33.6,50,1587
ktc,hwang,2021,bb_hero_3qb,3294,149.6,148.5,50,1587
ktc,hwang,2021,bb_hero_3qb,3321,167.8,167,50,1587
ktc,hwang,2021,bb_hero_3qb,3976,0,0,50,1587
ktc,hwang,2021,bb_hero_3qb,4018,240.1,239.7,50,1587
ktc,hwang,2021,bb_hero_3qb,4029,159.7,159.4,50,1587
ktc,hwang,2021,bb_hero_3qb,4033,75.6,75.1,50,1587
ktc,hwang,2021,bb_hero_3qb,4034,87.6,87.4,50,1587
ktc,hwang,2021,bb_hero_3qb,4035,167.2,166.9,50,1587
ktc,hwang,2021,bb_hero_3qb,4037,127.5,126.9,50,1587
ktc,hwang,2021,bb_hero_3qb,4039,259.5,259.1,50,1587
ktc,hwang,2021,bb_hero_3qb,4040,12.7,12.6,50,1587
ktc,hwang,2021,bb_hero_3qb,4046,185.6,184.5,50,1587
ktc,hwang,2021,bb_hero_3qb,4054,53.6,53.1,50,1587
ktc,hwang,2021,bb_hero_3qb,4066,66.4,66,50,1587
ktc,hwang,2021,bb_hero_3qb,4068,138.3,137.7,50,1587
ktc,hwang,2021,bb_hero_3qb,4082,1.6,1.5,50,1587
ktc,hwang,2021,bb_hero_3qb,4089,80.9,80.4,50,1587
ktc,hwang,2021,bb_hero_3qb,4098,84.9,84.7,50,1587
ktc,hwang,2021,bb_hero_3qb,4137,194.6,194.3,50,1587
ktc,hwang,2021,bb_hero_3qb,4144,38.3,37.7,50,1587
ktc,hwang,2021,bb_hero_3qb,4147,52.4,52.2,50,1587
