value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,246800,118705,10888829.1,14829196.4,-30.6
ktc,hwang,overall,,,QB_vs_WR,QB,WR,347200,174485.65,16905144.5,15722140.6,7.3
ktc,hwang,overall,,,QB_vs_TE,QB,TE,131200,51088.8,3911681.7,4267493.6,-8.7
ktc,hwang,overall,,,RB_vs_WR,RB,WR,701600,290724.64,32104306.4,21800647.7,38.2
ktc,hwang,overall,,,RB_vs_TE,RB,TE,330000,120413.96,12332600.2,9242489.7,28.6
ktc,hwang,overall,,,WR_vs_TE,WR,TE,438800,157200.22,10465301,12258462.4,-15.8
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,26800,18498.01,1995606.6,2768487,-32.4
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,44400,24784.8,2681170.3,2749214.1,-2.5
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,16000,7634.54,637213.9,829162.4,-26.2
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,66000,34132.58,4775486.9,3599907.9,28.1
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,32800,15288.23,2245438.4,1753113.6,24.6
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,45200,20032.51,1918822.2,2222543.4,-14.7
ktc,hwang,archetype,2021,bb_hero_3qb,QB_vs_RB,QB,RB,3350,2264.7,232651.3,343304.7,-38.4
ktc,hwang,archetype,2021,bb_hero_3qb,QB_vs_WR,QB,WR,5550,3034.39,309244.2,339844.4,-9.4
ktc,hwang,archetype,2021,bb_hero_3qb,QB_vs_TE,QB,TE,2000,934.69,76300.7,103756.4,-30.5
ktc,hwang,archetype,2021,bb_hero_3qb,RB_vs_WR,RB,WR,8250,4178.83,592550.9,445234.5,28.4
ktc,hwang,archetype,2021,bb_hero_3qb,RB_vs_TE,RB,TE,4100,1871.73,278126.4,219070.2,23.8
ktc,hwang,archetype,2021,bb_hero_3qb,WR_vs_TE,WR,TE,5650,2452.57,237087.8,278164,-15.9
ktc,hwang,archetype,2021,bb_hero_2qb,QB_vs_RB,QB,RB,3350,2222.52,261008.3,338084.2,-25.7
ktc,hwang,archetype,2021,bb_hero_2qb,QB_vs_WR,QB,WR,5550,2977.88,348525.1,333239.8,4.5
ktc,hwang,archetype,2021,bb_hero_2qb,QB_vs_TE,QB,TE,2000,917.28,83363.3,101370.4,-19.5
ktc,hwang,archetype,2021,bb_hero_2qb,RB_vs_WR,RB,WR,8250,4101,583973.8,436284.7,29
ktc,hwang,archetype,2021,bb_hero_2qb,RB_vs_TE,RB,TE,4100,1836.87,274096.7,214361.7,24.5
ktc,hwang,archetype,2021,bb_hero_2qb,WR_vs_TE,WR,TE,5650,2406.89,232799.9,271629.5,-15.4
ktc,hwang,archetype,2021,bb_double_3qb,QB_vs_RB,QB,RB,3350,2446.99,220396.5,363361.5,-49
ktc,hwang,archetype,2021,bb_double_3qb,QB_vs_WR,QB,WR,5550,3278.63,294791.8,370520.3,-22.8
ktc,hwang,archetype,2021,bb_double_3qb,QB_vs_TE,QB,TE,2000,1009.92,67201.1,112678,-50.6
ktc,hwang,archetype,2021,bb_double_3qb,RB_vs_WR,RB,WR,8250,4515.18,626502.9,484964.2,25.5
