value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,regular,2021,bb_hero_3qb,96,87.1,87,50,1594
ktc,regular,2021,bb_hero_3qb,421,59,58.9,50,1594
ktc,regular,2021,bb_hero_3qb,827,10.2,10.1,50,1594
ktc,regular,2021,bb_hero_3qb,1049,24.8,24.7,50,1594
ktc,regular,2021,bb_hero_3qb,1166,55.3,55.1,50,1594
ktc,regular,2021,bb_hero_3qb,1234,35.9,36.1,50,1594
ktc,regular,2021,bb_hero_3qb,1339,103,101.9,50,1594
ktc,regular,2021,bb_hero_3qb,1352,72.6,71.4,50,1594
ktc,regular,2021,bb_hero_3qb,1426,89.6,88.5,50,1594
ktc,regular,2021,bb_hero_3qb,1466,181.7,180.4,50,1594
ktc,regular,2021,bb_hero_3qb,1479,137.2,135.6,50,1594
ktc,regular,2021,bb_hero_3qb,1535,180.5,180.3,50,1594
ktc,regular,2021,bb_hero_3qb,1689,117.8,116.5,50,1594
ktc,regular,2021,bb_hero_3qb,1837,34.8,34.7,50,1594
ktc,regular,2021,bb_hero_3qb,2028,58.1,57.9,50,1594
ktc,regular,2021,bb_hero_3qb,2078,69.7,68.8,50,1594
ktc,regular,2021,bb_hero_3qb,2133,214.1,212.4,50,1594
ktc,regular,2021,bb_hero_3qb,2161,6.4,6.1,50,1594
ktc,regular,2021,bb_hero_3qb,2197,124.9,123.3,50,1594
ktc,regular,2021,bb_hero_3qb,2216,146.5,144.9,50,1594
ktc,regular,2021,bb_hero_3qb,2306,17.6,17.6,50,1594
ktc,regular,2021,bb_hero_3qb,2307,0.1,0.1,50,1594
ktc,regular,2021,bb_hero_3qb,2309,107.1,105.7,50,1594
ktc,regular,2021,bb_hero_3qb,2319,48.1,47.2,50,1594
ktc,regular,2021,bb_hero_3qb,2325,44.2,43.4,50,1594
ktc,regular,2021,bb_hero_3qb,2374,127,125.6,50,1594
ktc,regular,2021,bb_hero_3qb,2449,152.4,150.7,50,1594
ktc,regular,2021,bb_hero_3qb,2505,81,80.1,50,1594
ktc,regular,2021,bb_hero_3qb,2711,29.6,29.4,50,1594
ktc,regular,2021,bb_hero_3qb,2749,0.6,0.6,50,1594
ktc,regular,2021,bb_hero_3qb,3163,19.5,19.6,50,1594
ktc,regular,2021,bb_hero_3qb,3164,165.5,163.6,50,1594
ktc,regular,2021,bb_hero_3qb,3198,156.9,155.5,50,1594
ktc,regular,2021,bb_hero_3qb,3199,0,0,50,1594
ktc,regular,2021,bb_hero_3qb,3202,46.7,46,50,1594
ktc,regular,2021,bb_hero_3qb,3214,88.6,87.7,50,1594
ktc,regular,2021,bb_hero_3qb,3225,95.1,93.6,50,1594
ktc,regular,2021,bb_hero_3qb,3271,63.8,62.7,50,1594
ktc,regular,2021,bb_hero_3qb,3286,27,26.4,50,1594
ktc,regular,2021,bb_hero_3qb,3294,69.3,69.3,50,1594
ktc,regular,2021,bb_hero_3qb,3321,181,179.3,50,1594
ktc,regular,2021,bb_hero_3qb,3976,0,0,50,1594
ktc,regular,2021,bb_hero_3qb,4018,212.2,210.2,50,1594
ktc,regular,2021,bb_hero_3qb,4029,144,142.7,50,1594
ktc,regular,2021,bb_hero_3qb,4033,62.9,62.2,50,1594
ktc,regular,2021,bb_hero_3qb,4034,87.7,87.1,50,1594
ktc,regular,2021,bb_hero_3qb,4035,152.5,150.9,50,1594
ktc,regular,2021,bb_hero_3qb,4037,137.8,136.1,50,1594
ktc,regular,2021,bb_hero_3qb,4039,288.5,287.6,50,1594
ktc,regular,2021,bb_hero_3qb,4040,10.5,10.2,50,1594
ktc,regular,2021,bb_hero_3qb,4046,88.2,88.4,50,1594
ktc,regular,2021,bb_hero_3qb,4054,37.3,36.5,50,1594
ktc,regular,2021,bb_hero_3qb,4066,52,51.3,50,1594
ktc,regular,2021,bb_hero_3qb,4068,135.7,134.2,50,1594
ktc,regular,2021,bb_hero_3qb,4082,1.1,1,50,1594
ktc,regular,2021,bb_hero_3qb,4089,66.3,65.6,50,1594
ktc,regular,2021,bb_hero_3qb,4098,74.4,73.4,50,1594
ktc,regular,2021,bb_hero_3qb,4137,170.9,169.1,50,1594
ktc,regular,2021,bb_hero_3qb,4144,20.8,20.3,50,1594
ktc,regular,2021,bb_hero_3qb,4147,40.7,39.8,50,1594
ktc,regular,2021,bb_hero_3qb,4149,65.1,63.9,50,1594
ktc,regular,2021,bb_hero_3qb,4171,39.9,39.3,50,1594
ktc,regular,2021,bb_hero_3qb,4199,171,169.8,50,1594
ktc,regular,2021,bb_hero_3qb,4217,137.3,136.4,50,1594
ktc,regular,2021,bb_hero_3qb,4274,0,0,50,1594
ktc,regular,2021,bb_hero_3qb,4351,66.3,65,50,1594
ktc,regular,2021,bb_hero_3qb,4381,76.1,75.3,50,1594
ktc,regular,2021,bb_hero_3qb,4454,98.4,97.2,50,1594
ktc,regular,2021,bb_hero_3qb,4663,242.6,241.5,50,1594
ktc,regular,2021,bb_hero_3qb,4866,91.1,89.5,50,1594
ktc,regular,2021,bb_hero_3qb,4881,61.3,61.3,50,1594
ktc,regular,2021,bb_hero_3qb,4892,18.7,18.9,50,1594
ktc,regular,2021,bb_hero_3qb,4943,21.1,21.2,50,1594
ktc,regular,2021,bb_hero_3qb,4950,107.9,106.3,50,1594
ktc,regular,2021,bb_hero_3qb,4951,16.5,16.1,50,1594
ktc,regular,2021,bb_hero_3qb,4973,25.8,25.3,50,1594
ktc,regular,2021,bb_hero_3qb,4981,33.4,32.7,50,1594
ktc,regular,2021,bb_hero_3qb,4983,119.1,117.3,50,1594
ktc,regular,2021,bb_hero_3qb,4984,124.1,124.1,50,1594
ktc,regular,2021,bb_hero_3qb,4985,74.9,74.4,50,1594
ktc,regular,2021,bb_hero_3qb,4988,153,151.4,50,1594
ktc,regular,2021,bb_hero_3qb,4993,95.4,94.3,50,1594
ktc,regular,2021,bb_hero_3qb,5000,85.1,83.6,50,1594
ktc,regular,2021,bb_hero_3qb,5001,122.3,121.1,50,1594
ktc,regular,2021,bb_hero_3qb,5010,18.3,17.8,50,1594
ktc,regular,2021,bb_hero_3qb,5012,211.9,210.6,50,1594
ktc,regular,2021,bb_hero_3qb,5022,117.4,116.7,50,1594
ktc,regular,2021,bb_hero_3qb,5026,34.5,33.9,50,1594
