value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,4981,Calvin Ridley,WR,5,6594,R1 WR5,55.6,27.2,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,4199,Aaron Jones,RB,9,5755,R2 RB8,203,183.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,5937,Diontae Johnson,WR,19,4615,R3 WR20,212.3,169.6,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,5872,Deebo Samuel,WR,31,3625,R4 WR28,273.5,226.9,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,5857,Noah Fant,TE,7,3623,R5 TE7,156.4,109.1,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,2325,Nelson Agholor,WR,47,1609,R6 WR44,82.1,40.9,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,7611,Rhamondre Stevenson,RB,34,888,R7 RB38,103.8,85.3,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,6853,Van Jefferson,WR,64,232,R8 WR60,139.1,92.4,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,7523,Trevor Lawrence,QB,13,4961,R9 QB13,180.4,10.4,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,7794,Chris Evans,RB,49,182,R10 RB54,28.4,14.2,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,7533,Anthony Schwartz,WR,80,106,R11 WR84,26.3,8.3,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,6885,Ke'Shawn Vaughn,RB,54,77,R12 RB64,23.5,20.1,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,2306,Jameis Winston,QB,20,2986,R13 QB19,117.4,9.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,6144,Trayveon Williams,RB,59,6,R14 RB72,1.3,0,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,2028,Derek Carr,QB,19,3111,R15 QB21,241.6,67,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,5906,Dawson Knox,TE,24,504,R16 TE26,155.8,108.5,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,6847,Devin Duvernay,WR,83,102,R17 WR120,66.5,20.9,1,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,1,38975,6951,Eno Benjamin,RB,53,101,R18 RB88,17.4,11.8,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,5846,DK Metcalf,WR,4,6711,R1 WR5,198.5,167.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,4199,Aaron Jones,RB,9,5755,R2 RB8,203,195.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,4039,Cooper Kupp,WR,18,4668,R3 WR20,343.9,313.1,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,3199,Michael Thomas,WR,30,3801,R4 WR28,0,0,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,5857,Noah Fant,TE,7,3623,R5 TE7,156.4,126.3,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,2325,Nelson Agholor,WR,47,1609,R6 WR44,82.1,53.2,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,6938,Cam Akers,RB,41,290,R7 RB38,0,0,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,6943,Gabriel Davis,WR,63,240,R8 WR60,103,74,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,7523,Trevor Lawrence,QB,13,4961,R9 QB13,180.4,9.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,5284,Jeffery Wilson,RB,55,46,R10 RB54,48,40.7,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,5323,Equanimeous St. Brown,WR,86,23,R11 WR84,12.5,6.4,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,6144,Trayveon Williams,RB,59,6,R12 RB64,1.3,1.3,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,4892,Baker Mayfield,QB,17,4514,R13 QB19,180.9,14.9,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,5995,Justice Hill,RB,58,29,R14 RB72,0,0,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,2028,Derek Carr,QB,19,3111,R15 QB21,241.6,58.6,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,4033,David Njoku,TE,27,335,R16 TE26,104.5,74.4,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,7713,Jaelon Darden,WR,84,93,R17 WR120,8.4,0.3,1,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,2,39754,1535,Cordarrelle Patterson,RB,57,32,R18 RB88,206.9,199.6,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,3,38735,5846,DK Metcalf,WR,4,6711,R1 WR5,198.5,174.2,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,3,38735,4199,Aaron Jones,RB,9,5755,R2 RB8,203,176.6,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,3,38735,6803,Brandon Aiyuk,WR,21,4468,R3 WR20,128.6,108.4,0,0
ktc,regular,2021,bb_hero_3qb,2026 #1 — Hero RB + late 3QB,3,38735,7564,Ja'Marr Chase,WR,28,3922,R4 WR28,260.5,236.2,0,0
