value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,regular,overall,,,QB_vs_RB,QB,RB,247200,116977.15,3568409.3,11508737.7,-105.3
ktc,regular,overall,,,QB_vs_WR,QB,WR,347600,171940.48,5619868.6,14685799.7,-89.3
ktc,regular,overall,,,QB_vs_TE,QB,TE,131200,50303.53,1200708.4,3509442.7,-98
ktc,regular,overall,,,RB_vs_WR,RB,WR,702800,286394.5,24252232.5,19919931.6,19.6
ktc,regular,overall,,,RB_vs_TE,RB,TE,330400,118683.94,9242871,7508810.6,20.7
ktc,regular,overall,,,WR_vs_TE,WR,TE,439600,154770.97,9447544.7,10001850.1,-5.7
ktc,regular,year,2021,,QB_vs_RB,QB,RB,26800,18470.25,680777.5,2343386.8,-110
ktc,regular,year,2021,,QB_vs_WR,QB,WR,44400,24747.61,849514.9,2739968,-105.3
ktc,regular,year,2021,,QB_vs_TE,QB,TE,16000,7623.08,186893,679239.2,-113.7
ktc,regular,year,2021,,RB_vs_WR,RB,WR,66000,34081.36,3950841.6,3604693.9,9.2
ktc,regular,year,2021,,RB_vs_TE,RB,TE,32800,15265.29,1894850,1457678.2,26.1
ktc,regular,year,2021,,WR_vs_TE,WR,TE,45200,20002.45,1909030.4,1811569.7,5.2
ktc,regular,archetype,2021,bb_hero_3qb,QB_vs_RB,QB,RB,3350,2273.7,98423.7,306810,-102.8
ktc,regular,archetype,2021,bb_hero_3qb,QB_vs_WR,QB,WR,5550,3046.45,121760.1,340979.6,-94.7
ktc,regular,archetype,2021,bb_hero_3qb,QB_vs_TE,QB,TE,2000,938.41,29503.4,93980.2,-104.4
ktc,regular,archetype,2021,bb_hero_3qb,RB_vs_WR,RB,WR,8250,4195.45,517594.9,449066.8,14.2
ktc,regular,archetype,2021,bb_hero_3qb,RB_vs_TE,RB,TE,4100,1879.17,246801.1,200449,20.7
ktc,regular,archetype,2021,bb_hero_3qb,WR_vs_TE,WR,TE,5650,2462.32,236543,250772.1,-5.8
ktc,regular,archetype,2021,bb_hero_2qb,QB_vs_RB,QB,RB,3350,2242.88,63222.5,303595.9,-131.1
ktc,regular,archetype,2021,bb_hero_2qb,QB_vs_WR,QB,WR,5550,3005.15,76435.2,329215.9,-124.6
ktc,regular,archetype,2021,bb_hero_2qb,QB_vs_TE,QB,TE,2000,925.69,15045.7,89294.7,-142.3
ktc,regular,archetype,2021,bb_hero_2qb,RB_vs_WR,RB,WR,8250,4138.57,513971.8,434231.8,16.8
ktc,regular,archetype,2021,bb_hero_2qb,RB_vs_TE,RB,TE,4100,1853.69,245397.1,192014.6,24.4
ktc,regular,archetype,2021,bb_hero_2qb,WR_vs_TE,WR,TE,5650,2428.94,230253.6,237787.9,-3.2
ktc,regular,archetype,2021,bb_double_3qb,QB_vs_RB,QB,RB,3350,2392,85954.6,282426.5,-106.7
ktc,regular,archetype,2021,bb_double_3qb,QB_vs_WR,QB,WR,5550,3204.96,104994.2,359714.2,-109.6
ktc,regular,archetype,2021,bb_double_3qb,QB_vs_TE,QB,TE,2000,987.23,22753.6,88748.7,-118.4
ktc,regular,archetype,2021,bb_double_3qb,RB_vs_WR,RB,WR,8250,4413.73,471973,473565.4,-0.3
ktc,regular,archetype,2021,bb_double_3qb,RB_vs_TE,RB,TE,4100,1976.94,227640.1,188936.6,18.6
ktc,regular,archetype,2021,bb_double_3qb,WR_vs_TE,WR,TE,5650,2590.43,251312.9,236285.2,6.2
ktc,regular,archetype,2021,bb_double_2qb,QB_vs_RB,QB,RB,3350,2314.66,101160.4,282049.7,-94.4
ktc,regular,archetype,2021,bb_double_2qb,QB_vs_WR,QB,WR,5550,3101.32,132981.3,355712.4,-91.2
ktc,regular,archetype,2021,bb_double_2qb,QB_vs_TE,QB,TE,2000,955.31,29693.5,91434.3,-101.9
ktc,regular,archetype,2021,bb_double_2qb,RB_vs_WR,RB,WR,8250,4271.01,473472.9,466271.8,1.5
ktc,regular,archetype,2021,bb_double_2qb,RB_vs_TE,RB,TE,4100,1913.02,227798,196636.8,14.7
ktc,regular,archetype,2021,bb_double_2qb,WR_vs_TE,WR,TE,5650,2506.67,247884.7,243322.8,1.9
ktc,regular,archetype,2021,bb_zero_3qb,QB_vs_RB,QB,RB,3350,2269.74,108326,331969.8,-101.6
ktc,regular,archetype,2021,bb_zero_3qb,QB_vs_WR,QB,WR,5550,3041.14,141830.3,287319.1,-67.8
ktc,regular,archetype,2021,bb_zero_3qb,QB_vs_TE,QB,TE,2000,936.77,32833.3,85339,-88.9
ktc,regular,archetype,2021,bb_zero_3qb,RB_vs_WR,RB,WR,8250,4188.13,569227.3,378673.8,40.2
ktc,regular,archetype,2021,bb_zero_3qb,RB_vs_TE,RB,TE,4100,1875.89,268169,184577,36.9
ktc,regular,archetype,2021,bb_zero_3qb,WR_vs_TE,WR,TE,5650,2458.02,199411,228772.4,-13.7
ktc,regular,archetype,2021,bb_zero_2qb,QB_vs_RB,QB,RB,3350,2243.65,66507.4,326705,-132.3
ktc,regular,archetype,2021,bb_zero_2qb,QB_vs_WR,QB,WR,5550,3006.19,79687.6,316130.6,-119.5
ktc,regular,archetype,2021,bb_zero_2qb,QB_vs_TE,QB,TE,2000,926,16283,83651.5,-134.8
ktc,regular,archetype,2021,bb_zero_2qb,RB_vs_WR,RB,WR,8250,4139.99,559875.1,415652.1,29.6
ktc,regular,archetype,2021,bb_zero_2qb,RB_vs_TE,RB,TE,4100,1854.33,264092.1,177915.4,39
ktc,regular,archetype,2021,bb_zero_2qb,WR_vs_TE,WR,TE,5650,2429.77,220050.3,223677.1,-1.6
ktc,regular,archetype,2021,bb_robust_3qb,QB_vs_RB,QB,RB,3350,2449.08,90119,257957.4,-96.4
ktc,regular,archetype,2021,bb_robust_3qb,QB_vs_WR,QB,WR,5550,3281.43,110666.4,370327.4,-108
ktc,regular,archetype,2021,bb_robust_3qb,QB_vs_TE,QB,TE,2000,1010.79,24335.4,73466.8,-100.5
ktc,regular,archetype,2021,bb_robust_3qb,RB_vs_WR,RB,WR,8250,4519.04,426384.9,487865.2,-13.4
ktc,regular,archetype,2021,bb_robust_3qb,RB_vs_TE,RB,TE,4100,2024.11,209498.7,158118,28
ktc,regular,archetype,2021,bb_robust_3qb,WR_vs_TE,WR,TE,5650,2652.24,257494.9,194943,27.7
ktc,regular,archetype,2021,bb_robust_2qb,QB_vs_RB,QB,RB,3350,2284.55,67063.8,251872.3,-115.9
