value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total,removal_pairs
ktc,hwang,2021,2024_1,19,11.6,11.2,1000,1751,1900
ktc,hwang,2021,2024_1,827,44.3,43.1,1000,1751,1900
ktc,hwang,2021,2024_1,1166,223.8,222.7,1000,1751,1900
ktc,hwang,2021,2024_1,1352,74.8,74.4,1000,1751,1900
ktc,hwang,2021,2024_1,1373,32.3,31.8,1000,1751,1900
ktc,hwang,2021,2024_1,1535,154.3,153.6,1000,1751,1900
ktc,hwang,2021,2024_1,2028,181.2,179.5,1000,1751,1900
ktc,hwang,2021,2024_1,2161,5.1,5,1000,1751,1900
ktc,hwang,2021,2024_1,2306,89.3,88.4,1000,1751,1900
ktc,hwang,2021,2024_1,2307,3.2,3.1,1000,1751,1900
ktc,hwang,2021,2024_1,2319,44.9,44.6,1000,1751,1900
ktc,hwang,2021,2024_1,2325,41.5,41,1000,1751,1900
ktc,hwang,2021,2024_1,2374,118.6,118.1,1000,1751,1900
ktc,hwang,2021,2024_1,2711,132.4,130.9,1000,1751,1900
ktc,hwang,2021,2024_1,2749,0.2,0.2,1000,1751,1900
ktc,hwang,2021,2024_1,3164,174.5,173.9,1000,1751,1900
ktc,hwang,2021,2024_1,3198,163.4,162.9,1000,1751,1900
ktc,hwang,2021,2024_1,3199,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,3257,37.9,37.1,1000,1751,1900
ktc,hwang,2021,2024_1,3271,71.6,71,1000,1751,1900
ktc,hwang,2021,2024_1,3634,46.4,46.1,1000,1751,1900
ktc,hwang,2021,2024_1,3976,2.9,2.7,1000,1751,1900
ktc,hwang,2021,2024_1,4017,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,4029,144.6,144.1,1000,1751,1900
ktc,hwang,2021,2024_1,4034,78.2,77.8,1000,1751,1900
ktc,hwang,2021,2024_1,4054,42.9,42.6,1000,1751,1900
ktc,hwang,2021,2024_1,4080,38,37.6,1000,1751,1900
ktc,hwang,2021,2024_1,4098,69.6,69.3,1000,1751,1900
ktc,hwang,2021,2024_1,4111,63.4,63.1,1000,1751,1900
ktc,hwang,2021,2024_1,4144,32.1,31.5,1000,1751,1900
ktc,hwang,2021,2024_1,4147,38.6,38.3,1000,1751,1900
ktc,hwang,2021,2024_1,4149,69.7,69.1,1000,1751,1900
ktc,hwang,2021,2024_1,4179,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,4197,24.1,23.9,1000,1751,1900
ktc,hwang,2021,2024_1,4198,40,39.7,1000,1751,1900
ktc,hwang,2021,2024_1,4234,8.3,8.1,1000,1751,1900
ktc,hwang,2021,2024_1,4274,0,0,1000,1751,1900
ktc,hwang,2021,2024_1,4351,65.6,65,1000,1751,1900
ktc,hwang,2021,2024_1,4454,93.7,93.1,1000,1751,1900
ktc,hwang,2021,2024_1,4464,3.4,3.3,1000,1751,1900
ktc,hwang,2021,2024_1,4663,228.6,227.9,1000,1751,1900
ktc,hwang,2021,2024_1,4892,126.3,125.3,1000,1751,1900
ktc,hwang,2021,2024_1,4943,111.1,110.3,1000,1751,1900
ktc,hwang,2021,2024_1,4950,97.3,96.7,1000,1751,1900
ktc,hwang,2021,2024_1,4972,11.1,10.8,1000,1751,1900
ktc,hwang,2021,2024_1,4973,27.5,27.1,1000,1751,1900
ktc,hwang,2021,2024_1,4988,168.4,167.7,1000,1751,1900
ktc,hwang,2021,2024_1,4995,10.4,10.2,1000,1751,1900
ktc,hwang,2021,2024_1,5008,27.6,27.2,1000,1751,1900
ktc,hwang,2021,2024_1,5010,17.3,17,1000,1751,1900
ktc,hwang,2021,2024_1,5045,65.2,64.6,1000,1751,1900
ktc,hwang,2021,2024_1,5089,26.3,26,1000,1751,1900
ktc,hwang,2021,2024_1,5113,53.5,52.9,1000,1751,1900
ktc,hwang,2021,2024_1,5121,50.3,49.8,1000,1751,1900
