value_basis,format,year,archetype_id,archetype_label,build_count,removal_pairs
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1000,1900
ktc,hwang,2021,2024_2,2024 #2 — Age is just a number (15-3),1000,3437
ktc,hwang,2021,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,1937
ktc,hwang,2021,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,2017
ktc,hwang,2021,2024_5,2024 #5 — The Boomers (11-7),1000,1028
ktc,hwang,2021,2024_6,2024 #6 — seanjcrow (9-9),1000,3782
ktc,hwang,2021,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,3733
ktc,hwang,2021,2025_2,2025 #2 — seanjcrow (14-4),1000,4877
ktc,hwang,2021,2025_3,2025 #3 — Drake & Bake (13-5),1000,5092
ktc,hwang,2021,2025_4,2025 #4 — The Ladds (12-6),1000,4367
ktc,hwang,2021,2025_5,2025 #5 — House of Hwang (11-7),1000,6071
ktc,hwang,2021,2025_6,2025 #6 — aidsonballs (11-7),1000,3160
ktc,hwang,2021,2026_1,2026 #1 — The Ladds,1000,4154
ktc,hwang,2021,2026_2,2026 #2 — seanjcrow,1000,5815
ktc,hwang,2021,2026_3,2026 #3 — Eat It While She Sleeper,1000,8293
ktc,hwang,2021,2026_4,2026 #4 — Drake & Bake,1000,5839
ktc,hwang,2021,2026_5,2026 #5 — Lord Pittsy Flacco Joedy,1000,5498
ktc,hwang,2021,2026_6,2026 #6 — House of Hwang,1000,7897
ktc,hwang,2021,2026_7,2026 #7 — MrZaccheaus,1000,6562
ktc,hwang,2022,2024_1,2024 #1 — Let James Cook (16-2),1000,5920
ktc,hwang,2022,2024_2,2024 #2 — Age is just a number (15-3),1000,5209
ktc,hwang,2022,2024_3,2024 #3 — Adam(s) and Steve(nson) (12-6),1000,4688
ktc,hwang,2022,2024_4,2024 #4 — We Have McCaffrey at Home (11-7),1000,4000
ktc,hwang,2022,2024_5,2024 #5 — The Boomers (11-7),1000,2430
ktc,hwang,2022,2024_6,2024 #6 — seanjcrow (9-9),1000,4458
ktc,hwang,2022,2025_1,2025 #1 — Lord Pittsy Flacco Joedy (15-3),1000,6622
ktc,hwang,2022,2025_2,2025 #2 — seanjcrow (14-4),1000,9330
ktc,hwang,2022,2025_3,2025 #3 — Drake & Bake (13-5),1000,7558
ktc,hwang,2022,2025_4,2025 #4 — The Ladds (12-6),1000,9243
ktc,hwang,2022,2025_5,2025 #5 — House of Hwang (11-7),1000,7258
ktc,hwang,2022,2025_6,2025 #6 — aidsonballs (11-7),1000,6372
ktc,hwang,2022,2026_1,2026 #1 — The Ladds,1000,10996
ktc,hwang,2022,2026_2,2026 #2 — seanjcrow,1000,8833
