value_basis,format,year,archetype_id,archetype_label,build_index,build_total_value,player_id,name,position,pos_rank,value,source_player,season_pts,hvorp,dropped,off_board
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,4034,Christian McCaffrey,RB,1,9608,Bijan Robinson,90.5,74.1,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,4988,Nick Chubb,RB,8,6441,James Cook,189.3,165.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,4663,Austin Ekeler,RB,13,5923,Breece Hall,249.9,225.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,6814,Laviska Shenault,WR,25,4507,Brian Thomas,57.8,37.4,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,4017,Deshaun Watson,QB,20,4236,Jared Goff,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,6806,J.K. Dobbins,RB,22,4568,Derrick Henry,0,0,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,1166,Kirk Cousins,QB,23,3272,Kyler Murray,278.4,241.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,1352,Robert Woods,WR,28,4277,Christian Watson,92.2,78.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,6826,Cole Kmet,TE,13,2898,George Kittle,84.4,61.3,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,4149,Jamaal Williams,RB,36,2568,Chuba Hubbard,88.6,71.8,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,6824,Donovan Peoples-Jones,WR,59,1771,Courtland Sutton,71.9,59.6,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,2319,DeVante Parker,WR,57,2162,Chris Godwin,62.3,47.5,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,5010,Will Dissly,TE,33,665,Cade Otton,39.6,20.9,0,0
ktc,hwang,2021,2024_1,2024 #1 — Let James Cook (16-2),1,55049,5008,Durham Smythe,TE,41,0,Michael Mayer,48.8,32,0,0
