value_basis,format,year,player_id,name,position,value,season_pts
ktc,hwang,2021,4034,Christian McCaffrey,RB,9608,90.5
ktc,hwang,2021,4988,Nick Chubb,RB,6441,189.3
ktc,hwang,2021,4663,Austin Ekeler,RB,5923,249.9
ktc,hwang,2021,6814,Laviska Shenault,WR,4507,57.8
ktc,hwang,2021,4017,Deshaun Watson,QB,4236,0
ktc,hwang,2021,6806,J.K. Dobbins,RB,4568,0
ktc,hwang,2021,1166,Kirk Cousins,QB,3272,278.4
ktc,hwang,2021,1352,Robert Woods,WR,4277,92.2
ktc,hwang,2021,6826,Cole Kmet,TE,2898,84.4
ktc,hwang,2021,4149,Jamaal Williams,RB,2568,88.6
ktc,hwang,2021,6824,Donovan Peoples-Jones,WR,1771,71.9
ktc,hwang,2021,2319,DeVante Parker,WR,2162,62.3
ktc,hwang,2021,5010,Will Dissly,TE,665,39.6
ktc,hwang,2021,5008,Durham Smythe,TE,0,48.8
ktc,hwang,2021,7066,K.J. Osborn,WR,0,100.4
ktc,hwang,2021,5374,Justin Watson,WR,0,0
ktc,hwang,2021,4147,Samaje Perine,RB,504,56.2
ktc,hwang,2021,7720,Kene Nwangwu,RB,369,18.6
ktc,hwang,2021,827,Tyrod Taylor,QB,1280,81.7
ktc,hwang,2021,5137,Richie James,WR,0,0
ktc,hwang,2021,6865,Colby Parkinson,TE,0,3.4
ktc,hwang,2021,4080,Zay Jones,WR,0,56.2
ktc,hwang,2021,7049,Jauan Jennings,WR,0,36.8
ktc,hwang,2021,6598,Trenton Irwin,WR,0,2.5
ktc,hwang,2021,7021,Rico Dowdle,RB,0,0
ktc,hwang,2021,19,Joe Flacco,QB,0,23.8
ktc,hwang,2021,7083,Tyler Huntley,QB,0,75.8
ktc,hwang,2021,6768,Tua Tagovailoa,QB,5065,168.8
ktc,hwang,2021,6151,Miles Sanders,RB,4583,91.2
ktc,hwang,2021,4943,Sam Darnold,QB,3497,142.6
ktc,hwang,2021,5872,Deebo Samuel,WR,3931,237
ktc,hwang,2021,7567,Kenneth Gainwell,RB,2632,75.7
ktc,hwang,2021,6805,KJ Hamler,WR,1945,7.4
ktc,hwang,2021,7535,Hunter Long,TE,768,1.3
ktc,hwang,2021,5121,Braxton Berrios,WR,0,75.1
ktc,hwang,2021,5970,Greg Dortch,WR,0,3.4
ktc,hwang,2021,6694,D'Ernest Johnson,RB,0,65.8
ktc,hwang,2021,1373,Geno Smith,QB,0,54.3
ktc,hwang,2021,5133,Tyler Conklin,TE,0,106.2
ktc,hwang,2021,7496,Nick Westbrook-Ikhine,WR,0,55.8
ktc,hwang,2021,7529,Gary Brightwell,RB,0,1
ktc,hwang,2021,4464,Nick Mullens,QB,0,9.9
ktc,hwang,2021,5045,Courtland Sutton,WR,4184,90.3
ktc,hwang,2021,4098,Kareem Hunt,RB,3860,88
ktc,hwang,2021,5870,Daniel Jones,QB,3037,166.5
ktc,hwang,2021,7565,Terrace Marshall,WR,4245,15.8
ktc,hwang,2021,2749,Raheem Mostert,RB,3007,2
ktc,hwang,2021,7606,Kadarius Toney,WR,2522,43.4
ktc,hwang,2021,7670,Josh Palmer,WR,2346,49.4
ktc,hwang,2021,7568,Brevin Jordan,TE,1074,45.8
ktc,hwang,2021,4054,Mo Alie-Cox,TE,578,63.9
ktc,hwang,2021,7713,Jaelon Darden,WR,848,5.4
ktc,hwang,2021,7757,Ben Skowronek,WR,0,13.3
ktc,hwang,2021,4234,Noah Brown,WR,0,18.4
ktc,hwang,2021,7551,Deon Jackson,RB,0,9.1
ktc,hwang,2021,4029,Dalvin Cook,RB,7347,164.1
ktc,hwang,2021,6945,Antonio Gibson,RB,6789,166
ktc,hwang,2021,2306,Jameis Winston,QB,3589,117.4
ktc,hwang,2021,7571,Rashod Bateman,WR,3967,55.3
ktc,hwang,2021,3271,Tyler Higbee,TE,2976,96
ktc,hwang,2021,6845,Zack Moss,RB,2833,80.8
ktc,hwang,2021,5917,Mecole Hardman,WR,2437,70.6
ktc,hwang,2021,7562,Tutu Atwell,WR,1521,0
ktc,hwang,2021,6074,Donald Parham,TE,1099,49
ktc,hwang,2021,6001,Drew Sample,TE,487,12.3
ktc,hwang,2021,6144,Trayveon Williams,RB,223,1.3
ktc,hwang,2021,4111,D'Onta Foreman,RB,0,76.5
ktc,hwang,2021,2307,Marcus Mariota,QB,933,12.4
ktc,hwang,2021,3634,Kalif Raymond,WR,0,67
ktc,hwang,2021,6659,Craig Reynolds,RB,0,28
ktc,hwang,2021,3198,Derrick Henry,RB,6290,175.3
ktc,hwang,2021,4892,Baker Mayfield,QB,4980,180.9
ktc,hwang,2021,6804,Jordan Love,QB,3127,13.9
ktc,hwang,2021,5985,Foster Moreau,TE,436,64.3
ktc,hwang,2021,4351,Tim Patrick,WR,814,93.9
ktc,hwang,2021,7045,Joshua Kelley,RB,632,12
ktc,hwang,2021,7716,John Bates,TE,0,39.9
ktc,hwang,2021,5089,Mike White,QB,0,44
ktc,hwang,2021,7543,Travis Etienne,RB,4386,0
ktc,hwang,2021,4144,Jonnu Smith,TE,3122,52.9
ktc,hwang,2021,7587,Dyami Brown,WR,2831,16.1
ktc,hwang,2021,2325,Nelson Agholor,WR,1508,64.1
ktc,hwang,2021,7694,Tommy Tremble,TE,1225,41
ktc,hwang,2021,6843,Albert Okwuegbunam,TE,567,59.5
ktc,hwang,2021,4198,Jamal Agnew,WR,0,58
ktc,hwang,2021,6290,Scotty Miller,WR,733,2.9
ktc,hwang,2021,3257,Jacoby Brissett,QB,0,72.3
ktc,hwang,2021,5973,Josh Oliver,TE,0,10.5
ktc,hwang,2021,6820,Clyde Edwards-Helaire,RB,5948,98.6
ktc,hwang,2021,6904,Jalen Hurts,QB,4760,312.2
ktc,hwang,2021,2028,Derek Carr,QB,3261,241.6
ktc,hwang,2021,5967,Tony Pollard,RB,2864,123.6
ktc,hwang,2021,5695,Brandon Powell,WR,0,6
ktc,hwang,2021,2711,Taylor Heinicke,QB,1035,216.8
ktc,hwang,2021,4179,Joshua Dobbs,QB,0,0
ktc,hwang,2021,3199,Michael Thomas,WR,4034,0
ktc,hwang,2021,6149,Darius Slayton,WR,1559,33.7
ktc,hwang,2021,7002,Juwan Johnson,TE,1105,39.4
ktc,hwang,2021,7602,Kylen Granson,TE,609,16.1
ktc,hwang,2021,4274,David Moore,WR,291,0
ktc,hwang,2021,5995,Justice Hill,RB,507,0
ktc,hwang,2021,6011,Gardner Minshew,QB,1077,19.2
ktc,hwang,2021,4197,Isaiah McKenzie,WR,0,30.6
ktc,hwang,2021,4972,Mason Rudolph,QB,0,18.4
ktc,hwang,2021,5937,Diontae Johnson,WR,4681,162.3
ktc,hwang,2021,6853,Van Jefferson,WR,1518,115.1
ktc,hwang,2021,6136,Jarrett Stidham,QB,0,0
ktc,hwang,2021,7607,Michael Carter,RB,3298,116.5
ktc,hwang,2021,6943,Gabriel Davis,WR,2855,87
ktc,hwang,2021,6111,Jake Browning,QB,0,0
ktc,hwang,2021,5248,Gus Edwards,RB,3753,0
ktc,hwang,2021,5880,Parris Campbell,WR,2260,22.2
ktc,hwang,2021,5323,Equanimeous St. Brown,WR,180,9
ktc,hwang,2021,3164,Ezekiel Elliott,RB,5770,196.1
ktc,hwang,2021,4454,Kendrick Bourne,WR,627,122.3
ktc,hwang,2021,4973,Hayden Hurst,TE,935,47.3
ktc,hwang,2021,3976,Mitchell Trubisky,QB,354,7.8
ktc,hwang,2021,5409,Tanner Hudson,TE,0,0
ktc,hwang,2021,6849,Denzel Mims,WR,1680,13.3
ktc,hwang,2021,7611,Rhamondre Stevenson,RB,3086,97.3
ktc,hwang,2021,7569,Nico Collins,WR,2502,43.9
ktc,hwang,2021,4950,Christian Kirk,WR,1585,126.3
ktc,hwang,2021,6271,Olamide Zaccheaus,WR,744,54.1
ktc,hwang,2021,6920,Isaiah Hodgins,WR,67,0
ktc,hwang,2021,2374,Tyler Lockett,WR,4375,146.4
ktc,hwang,2021,7601,Rondale Moore,WR,3841,55.1
ktc,hwang,2021,5113,Cedrick Wilson,WR,0,78.9
ktc,hwang,2021,6847,Devin Duvernay,WR,772,50
ktc,hwang,2021,1535,Cordarrelle Patterson,RB,175,181.4
ktc,hwang,2021,5938,Lil'Jordan Humphrey,WR,0,34.3
ktc,hwang,2021,2161,Jerick McKinnon,RB,572,11.9
ktc,hwang,2021,7596,Elijah Moore,WR,4416,95.2
ktc,hwang,2021,7547,Amon-Ra St. Brown,WR,2848,119.2
ktc,hwang,2021,6927,Quez Watkins,WR,1571,58.6
ktc,hwang,2021,4995,Ian Thomas,TE,324,27.8
ktc,hwang,2021,3321,Tyreek Hill,WR,7330,185.3
ktc,hwang,2021,7523,Trevor Lawrence,QB,7137,180.4
ktc,hwang,2021,5892,David Montgomery,RB,5028,145.1
ktc,hwang,2021,5850,Josh Jacobs,RB,4757,151.6
ktc,hwang,2021,1837,Jimmy Garoppolo,QB,1763,214.8
ktc,hwang,2021,2078,Odell Beckham,WR,3278,83.3
ktc,hwang,2021,4082,Curtis Samuel,WR,3336,3.8
ktc,hwang,2021,1689,Adam Thielen,WR,3251,132.8
ktc,hwang,2021,4381,Taysom Hill,TE,1425,109.6
ktc,hwang,2021,4137,James Conner,RB,1645,199.4
ktc,hwang,2021,7794,Chris Evans,RB,1371,22.9
ktc,hwang,2021,5185,Allen Lazard,WR,1113,83
ktc,hwang,2021,7559,Ihmir Smith-Marsette,WR,854,7.3
ktc,hwang,2021,421,Matthew Stafford,QB,5214,312.2
ktc,hwang,2021,3163,Jared Goff,QB,2945,177
ktc,hwang,2021,4951,D.J. Chark,WR,3435,27.4
ktc,hwang,2021,4068,Mike Williams,WR,3099,152.7
ktc,hwang,2021,6039,Ty Johnson,RB,1593,83.1
ktc,hwang,2021,5284,Jeffery Wilson,RB,800,44.5
ktc,hwang,2021,6794,Justin Jefferson,WR,7886,205.3
ktc,hwang,2021,7588,Javonte Williams,RB,5745,155.5
ktc,hwang,2021,7593,Trey Sermon,RB,4664,25.3
ktc,hwang,2021,6828,AJ Dillon,RB,3689,144.9
ktc,hwang,2021,4033,David Njoku,TE,1328,87.5
ktc,hwang,2021,6421,Jalen Guyton,WR,1043,61
ktc,hwang,2021,5000,Chase Edmonds,RB,3404,100.3
ktc,hwang,2021,5001,Dalton Schultz,TE,1401,154.2
ktc,hwang,2021,5987,Alexander Mattison,RB,1977,91.8
ktc,hwang,2021,6951,Eno Benjamin,RB,669,16.4
ktc,hwang,2021,6234,Deonte Harty,WR,1031,73.8
