value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,102009,73655.76,7338175.6,7643777,-4.1
ktc,hwang,overall,,,QB_vs_WR,QB,WR,91704,67329.83,6881709.9,4670890.1,38.3
ktc,hwang,overall,,,QB_vs_TE,QB,TE,44149,25353.58,1760753.4,1417822.2,21.6
ktc,hwang,overall,,,RB_vs_WR,RB,WR,265637,167908.91,15256280.7,9509414.7,46.4
ktc,hwang,overall,,,RB_vs_TE,RB,TE,117717,67021.94,5719029.7,3844121.6,39.2
ktc,hwang,overall,,,WR_vs_TE,WR,TE,133378,73479.76,3510253.4,4161529.4,-17
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,17082,17095.49,2120722.9,1967467.1,7.5
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,10917,7658.06,772625.4,540051,35.4
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,5853,3596.56,241093.1,196176.1,20.5
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,21741,15216.02,1460116.3,1121720.8,26.2
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,14595,10903.11,1352453.4,948665.7,35.1
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,15271,8992.34,581246.1,609057.9,-4.7
ktc,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,219,98.9,14184.2,6131,79.3
ktc,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,23,16.13,4200.1,2173.7,63.6
ktc,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,571,213.95,23335.4,9638.8,83.1
ktc,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,365,173.36,12101.4,13858.9,-13.5
ktc,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,478,188.69,10008.9,10789.6,-7.5
ktc,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,244,77.31,4356.3,4358.7,-0.1
ktc,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,820,591.81,87021.9,62323.3,33.1
ktc,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,1072,611.99,61727.9,42147.4,37.7
ktc,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,0,0,0,0,
ktc,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,1115,527.23,42765,29004.4,38.3
ktc,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,430,95.43,3055.6,9252,-100.7
ktc,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,0,0,0,0,
ktc,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,1116,1167.26,133740.8,185908,-32.6
