value_basis,format,year,candidate_count,excluded_zero_point,pool_size,pair_count,removal_pairs
ktc,hwang,2021,260,19,260,85459,85459
ktc,hwang,2022,335,20,335,152692,152692
ktc,hwang,2023,421,9,421,163784,163784
ktc,hwang,2024,432,14,432,183418,183418
ktc,hwang,2025,355,26,355,169241,169241
ktc,regular,2021,260,19,260,85459,85459
ktc,regular,2022,335,19,335,152804,152804
ktc,regular,2023,421,8,421,164224,164224
ktc,regular,2024,432,14,432,183418,183418
ktc,regular,2025,355,26,355,169241,169241
comp,hwang,2021,221,12,221,89303,89303
comp,hwang,2022,300,20,300,131829,131829
comp,hwang,2023,395,12,395,133901,133901
comp,hwang,2024,430,11,430,137818,137818
comp,hwang,2025,355,18,355,109870,109870
comp,regular,2021,221,12,221,89303,89303
comp,regular,2022,300,19,300,132025,132025
comp,regular,2023,395,10,395,134207,134207
comp,regular,2024,430,11,430,137818,137818
comp,regular,2025,355,18,355,109870,109870
