value_basis,format,year,archetype_id,player_id,avg_hvorp,avg_hvorp_weighted,build_count,avg_base_total
ktc,hwang,2021,2024_1,96,257.4,255.9,300,1743
ktc,hwang,2021,2024_1,421,247.8,246.4,300,1743
ktc,hwang,2021,2024_1,827,42,40.9,300,1743
ktc,hwang,2021,2024_1,1049,175,173.5,300,1743
ktc,hwang,2021,2024_1,1166,206.4,204.6,300,1743
ktc,hwang,2021,2024_1,1234,128.3,125.5,300,1743
ktc,hwang,2021,2024_1,1352,73.6,73.2,300,1743
ktc,hwang,2021,2024_1,1426,84.2,83.8,300,1743
ktc,hwang,2021,2024_1,1466,171.3,170.7,300,1743
ktc,hwang,2021,2024_1,1479,111.6,111.1,300,1743
ktc,hwang,2021,2024_1,1535,152.1,151.6,300,1743
ktc,hwang,2021,2024_1,1689,103.6,103.1,300,1743
ktc,hwang,2021,2024_1,1837,110.8,108.7,300,1743
ktc,hwang,2021,2024_1,2028,168.4,166.6,300,1743
ktc,hwang,2021,2024_1,2078,60.8,60.5,300,1743
ktc,hwang,2021,2024_1,2133,182,181.3,300,1743
ktc,hwang,2021,2024_1,2161,5.3,5.2,300,1743
ktc,hwang,2021,2024_1,2197,107.7,107.1,300,1743
ktc,hwang,2021,2024_1,2216,139.8,139.3,300,1743
ktc,hwang,2021,2024_1,2306,82.4,81.1,300,1743
ktc,hwang,2021,2024_1,2307,3.3,3.1,300,1743
ktc,hwang,2021,2024_1,2309,97.2,96.7,300,1743
ktc,hwang,2021,2024_1,2319,44,43.7,300,1743
ktc,hwang,2021,2024_1,2325,41.3,40.8,300,1743
ktc,hwang,2021,2024_1,2374,117.6,117.1,300,1743
ktc,hwang,2021,2024_1,2449,132.1,131.4,300,1743
ktc,hwang,2021,2024_1,2505,77.5,77,300,1743
ktc,hwang,2021,2024_1,2711,126.7,123.9,300,1743
ktc,hwang,2021,2024_1,2749,0.2,0.2,300,1743
ktc,hwang,2021,2024_1,3163,92.6,90,300,1743
ktc,hwang,2021,2024_1,3164,173.9,173.3,300,1743
ktc,hwang,2021,2024_1,3198,162.8,162.4,300,1743
ktc,hwang,2021,2024_1,3202,44.5,43.9,300,1743
ktc,hwang,2021,2024_1,3214,93.4,92.8,300,1743
ktc,hwang,2021,2024_1,3225,87.4,86.9,300,1743
ktc,hwang,2021,2024_1,3271,69.2,68.7,300,1743
ktc,hwang,2021,2024_1,3286,26.8,26.5,300,1743
ktc,hwang,2021,2024_1,3294,181.9,178.4,300,1743
ktc,hwang,2021,2024_1,3321,151.6,151.1,300,1743
ktc,hwang,2021,2024_1,3976,2.7,2.6,300,1743
ktc,hwang,2021,2024_1,4018,223.8,223.4,300,1743
ktc,hwang,2021,2024_1,4029,144.4,143.9,300,1743
ktc,hwang,2021,2024_1,4033,59.8,59.1,300,1743
ktc,hwang,2021,2024_1,4034,77.6,77.2,300,1743
ktc,hwang,2021,2024_1,4035,149.3,148.6,300,1743
ktc,hwang,2021,2024_1,4037,117.3,116.9,300,1743
ktc,hwang,2021,2024_1,4039,241.1,240.4,300,1743
ktc,hwang,2021,2024_1,4040,10.4,10.2,300,1743
ktc,hwang,2021,2024_1,4046,214.7,210.9,300,1743
ktc,hwang,2021,2024_1,4054,41.6,41.1,300,1743
ktc,hwang,2021,2024_1,4066,49.3,49.1,300,1743
ktc,hwang,2021,2024_1,4068,122,121.4,300,1743
ktc,hwang,2021,2024_1,4082,0.5,0.5,300,1743
ktc,hwang,2021,2024_1,4089,63.2,62.5,300,1743
ktc,hwang,2021,2024_1,4098,70,69.5,300,1743
ktc,hwang,2021,2024_1,4137,169,168,300,1743
ktc,hwang,2021,2024_1,4144,29,28.6,300,1743
ktc,hwang,2021,2024_1,4147,38.4,38,300,1743
ktc,hwang,2021,2024_1,4149,66.8,66.3,300,1743
ktc,hwang,2021,2024_1,4171,37.2,36.9,300,1743
ktc,hwang,2021,2024_1,4199,156.4,155.7,300,1743
ktc,hwang,2021,2024_1,4217,131.1,130.6,300,1743
ktc,hwang,2021,2024_1,4351,64.8,64.1,300,1743
ktc,hwang,2021,2024_1,4381,89.7,89.3,300,1743
ktc,hwang,2021,2024_1,4454,92.1,91.6,300,1743
ktc,hwang,2021,2024_1,4663,228.1,227.4,300,1743
ktc,hwang,2021,2024_1,4866,85.9,85.5,300,1743
ktc,hwang,2021,2024_1,4892,126.4,125.1,300,1743
ktc,hwang,2021,2024_1,4943,104,102.7,300,1743
ktc,hwang,2021,2024_1,4950,96.2,95.5,300,1743
ktc,hwang,2021,2024_1,4951,19.7,19.6,300,1743
ktc,hwang,2021,2024_1,4973,27.2,26.8,300,1743
ktc,hwang,2021,2024_1,4981,28.8,28.6,300,1743
ktc,hwang,2021,2024_1,4983,100,99.4,300,1743
ktc,hwang,2021,2024_1,4984,256.9,253.2,300,1743
ktc,hwang,2021,2024_1,4985,80.7,80.5,300,1743
ktc,hwang,2021,2024_1,4988,167.9,167.3,300,1743
ktc,hwang,2021,2024_1,4993,94.2,93.8,300,1743
ktc,hwang,2021,2024_1,5000,79.2,78.7,300,1743
