value_basis,format,year,player_id,name,position,value,season_pts
ktc,hwang,2021,4046,Patrick Mahomes,QB,9999,335.5
ktc,hwang,2021,4984,Josh Allen,QB,9924,378.7
ktc,hwang,2021,4034,Christian McCaffrey,RB,9608,90.5
ktc,hwang,2021,5849,Kyler Murray,QB,8761,283.4
ktc,hwang,2021,4881,Lamar Jackson,QB,7994,240
ktc,hwang,2021,6797,Justin Herbert,QB,7966,353.3
ktc,hwang,2021,6794,Justin Jefferson,WR,7886,205.3
ktc,hwang,2021,3294,Dak Prescott,QB,7435,288.8
ktc,hwang,2021,1466,Travis Kelce,TE,7380,205.4
ktc,hwang,2021,4029,Dalvin Cook,RB,7347,164.1
ktc,hwang,2021,3321,Tyreek Hill,WR,7330,185.3
ktc,hwang,2021,4035,Alvin Kamara,RB,7321,171.5
ktc,hwang,2021,6813,Jonathan Taylor,RB,7300,323.6
ktc,hwang,2021,5846,DK Metcalf,WR,7239,163.5
ktc,hwang,2021,7553,Kyle Pitts,TE,7142,140.8
ktc,hwang,2021,7523,Trevor Lawrence,QB,7137,180.4
ktc,hwang,2021,7528,Najee Harris,RB,7025,221.2
ktc,hwang,2021,4217,George Kittle,TE,6990,159
ktc,hwang,2021,5859,A.J. Brown,WR,6946,105.1
ktc,hwang,2021,4981,Calvin Ridley,WR,6943,40.1
ktc,hwang,2021,2133,Davante Adams,WR,6929,215.8
ktc,hwang,2021,6786,CeeDee Lamb,WR,6907,149.3
ktc,hwang,2021,4866,Saquon Barkley,RB,6843,102.7
ktc,hwang,2021,2505,Darren Waller,TE,6821,102.8
ktc,hwang,2021,6945,Antonio Gibson,RB,6789,166
ktc,hwang,2021,2449,Stefon Diggs,WR,6733,168.4
ktc,hwang,2021,1234,Russell Wilson,QB,6545,218.8
ktc,hwang,2021,7591,Justin Fields,QB,6536,126.8
ktc,hwang,2021,7610,Trey Lance,QB,6497,64.9
ktc,hwang,2021,4988,Nick Chubb,RB,6441,189.3
ktc,hwang,2021,3198,Derrick Henry,RB,6290,175.3
ktc,hwang,2021,4199,Aaron Jones,RB,6260,177
ktc,hwang,2021,5927,Terry McLaurin,WR,6217,127.2
ktc,hwang,2021,6770,Joe Burrow,QB,6214,314.2
ktc,hwang,2021,5844,T.J. Hockenson,TE,6022,114.8
ktc,hwang,2021,6790,D'Andre Swift,RB,6019,136.3
ktc,hwang,2021,6820,Clyde Edwards-Helaire,RB,5948,98.6
ktc,hwang,2021,7538,Zach Wilson,QB,5928,142
ktc,hwang,2021,4663,Austin Ekeler,RB,5923,249.9
ktc,hwang,2021,1426,DeAndre Hopkins,WR,5898,105.2
ktc,hwang,2021,3164,Ezekiel Elliott,RB,5770,196.1
ktc,hwang,2021,7588,Javonte Williams,RB,5745,155.5
ktc,hwang,2021,5012,Mark Andrews,TE,5572,235.1
ktc,hwang,2021,4983,D.J. Moore,WR,5548,134.5
ktc,hwang,2021,7564,Ja'Marr Chase,WR,5523,221
ktc,hwang,2021,6783,Jerry Jeudy,WR,5513,44
ktc,hwang,2021,4037,Chris Godwin,WR,5499,144.4
ktc,hwang,2021,4018,Joe Mixon,RB,5465,245.9
ktc,hwang,2021,6803,Brandon Aiyuk,WR,5456,103.6
ktc,hwang,2021,6801,Tee Higgins,WR,5450,145.1
ktc,hwang,2021,96,Aaron Rodgers,QB,5366,318.1
ktc,hwang,2021,1049,Ryan Tannehill,QB,5362,241.1
ktc,hwang,2021,1479,Keenan Allen,WR,5229,146.6
ktc,hwang,2021,421,Matthew Stafford,QB,5214,312.2
ktc,hwang,2021,2309,Amari Cooper,WR,5187,126.6
ktc,hwang,2021,7527,Mac Jones,QB,5168,214.1
ktc,hwang,2021,6768,Tua Tagovailoa,QB,5065,168.8
ktc,hwang,2021,6886,Chase Claypool,WR,5033,94.6
ktc,hwang,2021,5892,David Montgomery,RB,5028,145.1
ktc,hwang,2021,4892,Baker Mayfield,QB,4980,180.9
ktc,hwang,2021,2216,Mike Evans,WR,4933,167.6
ktc,hwang,2021,7525,DeVonta Smith,WR,4902,117.5
ktc,hwang,2021,7526,Jaylen Waddle,WR,4878,133.1
ktc,hwang,2021,6904,Jalen Hurts,QB,4760,312.2
ktc,hwang,2021,5850,Josh Jacobs,RB,4757,151.6
ktc,hwang,2021,4039,Cooper Kupp,WR,4695,274.9
ktc,hwang,2021,5937,Diontae Johnson,WR,4681,162.3
ktc,hwang,2021,7593,Trey Sermon,RB,4664,25.3
ktc,hwang,2021,6955,James Robinson,RB,4620,142.9
ktc,hwang,2021,6151,Miles Sanders,RB,4583,91.2
ktc,hwang,2021,6814,Laviska Shenault,WR,4507,57.8
ktc,hwang,2021,7596,Elijah Moore,WR,4416,95.2
ktc,hwang,2021,2374,Tyler Lockett,WR,4375,146.4
ktc,hwang,2021,1352,Robert Woods,WR,4277,92.2
ktc,hwang,2021,7565,Terrace Marshall,WR,4245,15.8
ktc,hwang,2021,5045,Courtland Sutton,WR,4184,90.3
ktc,hwang,2021,5857,Noah Fant,TE,4170,122.9
ktc,hwang,2021,7571,Rashod Bateman,WR,3967,55.3
ktc,hwang,2021,5872,Deebo Samuel,WR,3931,237
ktc,hwang,2021,4098,Kareem Hunt,RB,3860,88
ktc,hwang,2021,7601,Rondale Moore,WR,3841,55.1
ktc,hwang,2021,4040,JuJu Smith-Schuster,WR,3762,19.8
ktc,hwang,2021,7600,Pat Freiermuth,TE,3700,113.4
ktc,hwang,2021,6828,AJ Dillon,RB,3689,144.9
ktc,hwang,2021,7090,Darnell Mooney,WR,3639,126.1
ktc,hwang,2021,3225,Tyler Boyd,WR,3637,116.8
ktc,hwang,2021,6819,Michael Pittman,WR,3602,136.2
ktc,hwang,2021,5022,Dallas Goedert,TE,3594,137
ktc,hwang,2021,5980,Myles Gaskin,RB,3590,123.6
ktc,hwang,2021,2306,Jameis Winston,QB,3589,117.4
ktc,hwang,2021,4943,Sam Darnold,QB,3497,142.6
ktc,hwang,2021,4993,Mike Gesicki,TE,3466,125.3
ktc,hwang,2021,4951,D.J. Chark,WR,3435,27.4
ktc,hwang,2021,5038,Michael Gallup,WR,3433,56.5
ktc,hwang,2021,5000,Chase Edmonds,RB,3404,100.3
ktc,hwang,2021,6989,Marquez Callaway,WR,3364,105.8
ktc,hwang,2021,4082,Curtis Samuel,WR,3336,3.8
ktc,hwang,2021,5947,Jakobi Meyers,WR,3318,98.3
ktc,hwang,2021,7607,Michael Carter,RB,3298,116.5
ktc,hwang,2021,2078,Odell Beckham,WR,3278,83.3
ktc,hwang,2021,1166,Kirk Cousins,QB,3272,278.4
ktc,hwang,2021,2028,Derek Carr,QB,3261,241.6
ktc,hwang,2021,1689,Adam Thielen,WR,3251,132.8
ktc,hwang,2021,2197,Brandin Cooks,WR,3228,139.2
ktc,hwang,2021,6804,Jordan Love,QB,3127,13.9
ktc,hwang,2021,4144,Jonnu Smith,TE,3122,52.9
ktc,hwang,2021,4068,Mike Williams,WR,3099,152.7
ktc,hwang,2021,7611,Rhamondre Stevenson,RB,3086,97.3
ktc,hwang,2021,5870,Daniel Jones,QB,3037,166.5
ktc,hwang,2021,2749,Raheem Mostert,RB,3007,2
ktc,hwang,2021,5848,Marquise Brown,WR,3006,132.6
ktc,hwang,2021,3271,Tyler Higbee,TE,2976,96
ktc,hwang,2021,3163,Jared Goff,QB,2945,177
ktc,hwang,2021,6826,Cole Kmet,TE,2898,84.4
ktc,hwang,2021,5967,Tony Pollard,RB,2864,123.6
ktc,hwang,2021,6943,Gabriel Davis,WR,2855,87
ktc,hwang,2021,7547,Amon-Ra St. Brown,WR,2848,119.2
ktc,hwang,2021,6845,Zack Moss,RB,2833,80.8
ktc,hwang,2021,7587,Dyami Brown,WR,2831,16.1
ktc,hwang,2021,7567,Kenneth Gainwell,RB,2632,75.7
ktc,hwang,2021,3214,Hunter Henry,TE,2588,128.2
ktc,hwang,2021,4149,Jamaal Williams,RB,2568,88.6
ktc,hwang,2021,7606,Kadarius Toney,WR,2522,43.4
ktc,hwang,2021,7569,Nico Collins,WR,2502,43.9
ktc,hwang,2021,5347,Nyheim Hines,RB,2451,70.7
ktc,hwang,2021,5917,Mecole Hardman,WR,2437,70.6
ktc,hwang,2021,7594,Chuba Hubbard,RB,2398,101
ktc,hwang,2021,7670,Josh Palmer,WR,2346,49.4
ktc,hwang,2021,5880,Parris Campbell,WR,2260,22.2
ktc,hwang,2021,6869,Adam Trautman,TE,2232,41.5
ktc,hwang,2021,2319,DeVante Parker,WR,2162,62.3
ktc,hwang,2021,6130,Devin Singletary,RB,2134,134.6
ktc,hwang,2021,4066,Evan Engram,TE,2128,78.6
ktc,hwang,2021,5987,Alexander Mattison,RB,1977,91.8
ktc,hwang,2021,6805,KJ Hamler,WR,1945,7.4
ktc,hwang,2021,6824,Donovan Peoples-Jones,WR,1771,71.9
ktc,hwang,2021,1837,Jimmy Garoppolo,QB,1763,214.8
ktc,hwang,2021,6849,Denzel Mims,WR,1680,13.3
ktc,hwang,2021,4137,James Conner,RB,1645,199.4
ktc,hwang,2021,7828,Noah Gray,TE,1643,13.1
ktc,hwang,2021,4089,Gerald Everett,TE,1625,91.3
ktc,hwang,2021,6039,Ty Johnson,RB,1593,83.1
ktc,hwang,2021,3202,Austin Hooper,TE,1589,73.5
ktc,hwang,2021,7608,Khalil Herbert,RB,1589,63.8
ktc,hwang,2021,4950,Christian Kirk,WR,1585,126.3
ktc,hwang,2021,6850,Harrison Bryant,TE,1582,50.4
ktc,hwang,2021,6927,Quez Watkins,WR,1571,58.6
ktc,hwang,2021,6149,Darius Slayton,WR,1559,33.7
ktc,hwang,2021,6853,Van Jefferson,WR,1518,115.1
ktc,hwang,2021,2325,Nelson Agholor,WR,1508,64.1
ktc,hwang,2021,7561,Elijah Mitchell,RB,1486,137.5
ktc,hwang,2021,5026,Tre'Quan Smith,WR,1471,42.1
ktc,hwang,2021,4985,Rashaad Penny,RB,1426,90.7
ktc,hwang,2021,4381,Taysom Hill,TE,1425,109.6
ktc,hwang,2021,6918,Salvon Ahmed,RB,1411,26.6
ktc,hwang,2021,5001,Dalton Schultz,TE,1401,154.2
ktc,hwang,2021,1339,Zach Ertz,TE,1381,131.8
ktc,hwang,2021,7794,Chris Evans,RB,1371,22.9
ktc,hwang,2021,6960,Tyler Johnson,WR,1363,33.8
ktc,hwang,2021,7595,Tylan Wallace,WR,1360,2.3
ktc,hwang,2021,5955,Hunter Renfrow,WR,1339,143.2
ktc,hwang,2021,5906,Dawson Knox,TE,1333,132.8
ktc,hwang,2021,4033,David Njoku,TE,1328,87.5
ktc,hwang,2021,5854,Drew Lock,QB,1323,28.9
ktc,hwang,2021,7585,Davis Mills,QB,1292,129.7
ktc,hwang,2021,827,Tyrod Taylor,QB,1280,81.7
ktc,hwang,2021,7694,Tommy Tremble,TE,1225,41
ktc,hwang,2021,5086,Marquez Valdes-Scantling,WR,1165,61
ktc,hwang,2021,5185,Allen Lazard,WR,1113,83
ktc,hwang,2021,5122,Boston Scott,RB,1106,85.6
ktc,hwang,2021,7002,Juwan Johnson,TE,1105,39.4
ktc,hwang,2021,6074,Donald Parham,TE,1099,49
ktc,hwang,2021,6011,Gardner Minshew,QB,1077,19.2
ktc,hwang,2021,7568,Brevin Jordan,TE,1074,45.8
ktc,hwang,2021,6421,Jalen Guyton,WR,1043,61
ktc,hwang,2021,2711,Taylor Heinicke,QB,1035,216.8
ktc,hwang,2021,6234,Deonte Harty,WR,1031,73.8
ktc,hwang,2021,4171,Josh Reynolds,WR,1021,50.5
ktc,hwang,2021,7533,Anthony Schwartz,WR,1000,21.8
ktc,hwang,2021,4973,Hayden Hurst,TE,935,47.3
ktc,hwang,2021,2307,Marcus Mariota,QB,933,12.4
ktc,hwang,2021,6885,Ke'Shawn Vaughn,RB,867,22.5
ktc,hwang,2021,3286,Demarcus Robinson,WR,860,42.5
ktc,hwang,2021,7559,Ihmir Smith-Marsette,WR,854,7.3
ktc,hwang,2021,7713,Jaelon Darden,WR,848,5.4
ktc,hwang,2021,4351,Tim Patrick,WR,814,93.9
ktc,hwang,2021,6931,DeeJay Dallas,RB,809,39
ktc,hwang,2021,5284,Jeffery Wilson,RB,800,44.5
