value_basis,format,scope,year,archetype_id,pair_key,pos_a,pos_b,pair_plugs,weight_sum,total_hvorp_a,total_hvorp_b,rel_diff_pct
ktc,hwang,overall,,,QB_vs_RB,QB,RB,2500154,1606502.42,118157590.3,151964568.3,-25
ktc,hwang,overall,,,QB_vs_WR,QB,WR,3442917,2294562.69,178836303.8,149124146.1,18.1
ktc,hwang,overall,,,QB_vs_TE,QB,TE,1225004,659956.26,40199284.4,38442972.2,4.5
ktc,hwang,overall,,,RB_vs_WR,RB,WR,7017175,3972660.33,330882775.9,216576808.5,41.8
ktc,hwang,overall,,,RB_vs_TE,RB,TE,3157528,1578022.59,120453668.1,84365187.9,35.2
ktc,hwang,overall,,,WR_vs_TE,WR,TE,4108741,2015611.36,96581810.2,109247896,-12.3
ktc,hwang,year,2021,,QB_vs_RB,QB,RB,259335,243833.96,20238001.7,29077434,-35.8
ktc,hwang,year,2021,,QB_vs_WR,QB,WR,415181,323553.81,27907567.7,25567373.3,8.8
ktc,hwang,year,2021,,QB_vs_TE,QB,TE,139725,101505.89,6673667.4,7840231.5,-16.1
ktc,hwang,year,2021,,RB_vs_WR,RB,WR,603110,451214.8,49536415.2,35310626.7,33.5
ktc,hwang,year,2021,,RB_vs_TE,RB,TE,290476,203662.53,24502204.5,17389149.1,34
ktc,hwang,year,2021,,WR_vs_TE,WR,TE,408715,262390.68,18673535.5,21013399.1,-11.8
ktc,hwang,archetype,2021,2024_1,QB_vs_RB,QB,RB,12640,9388.09,1124107.9,1213057.3,-7.6
ktc,hwang,archetype,2021,2024_1,QB_vs_WR,QB,WR,15294,8973.24,1110661,850833.2,26.5
ktc,hwang,archetype,2021,2024_1,QB_vs_TE,QB,TE,5727,3199.42,305330.3,261538.5,15.5
ktc,hwang,archetype,2021,2024_1,RB_vs_WR,RB,WR,24709,14732.08,1728864.3,1385223.6,22.1
ktc,hwang,archetype,2021,2024_1,RB_vs_TE,RB,TE,10929,6408.79,860577.5,644684.8,28.7
ktc,hwang,archetype,2021,2024_1,WR_vs_TE,WR,TE,15550,8079.24,681936.6,742847.7,-8.6
ktc,hwang,archetype,2021,2024_2,QB_vs_RB,QB,RB,12619,10234.01,976662.9,1244182.7,-24.1
ktc,hwang,archetype,2021,2024_2,QB_vs_WR,QB,WR,24439,16702.34,1713103.8,1389679,20.8
ktc,hwang,archetype,2021,2024_2,QB_vs_TE,QB,TE,7111,4224.94,297019.7,347768.8,-15.7
ktc,hwang,archetype,2021,2024_2,RB_vs_WR,RB,WR,31858,21001.7,2299460.1,1737057.1,27.9
ktc,hwang,archetype,2021,2024_2,RB_vs_TE,RB,TE,13505,7857.66,905315.3,736409.1,20.6
ktc,hwang,archetype,2021,2024_2,WR_vs_TE,WR,TE,20848,11373.24,844240.8,1005321,-17.4
ktc,hwang,archetype,2021,2024_3,QB_vs_RB,QB,RB,13080,11686.41,1075643,1426966.6,-28.1
ktc,hwang,archetype,2021,2024_3,QB_vs_WR,QB,WR,21730,16255.12,1594651,1462016.8,8.7
ktc,hwang,archetype,2021,2024_3,QB_vs_TE,QB,TE,6080,3698.89,298968.6,294082.6,1.6
ktc,hwang,archetype,2021,2024_3,RB_vs_WR,RB,WR,28700,19416.29,2044890,1623202.9,23
ktc,hwang,archetype,2021,2024_3,RB_vs_TE,RB,TE,13065,7684.72,851432.4,664982.5,24.6
ktc,hwang,archetype,2021,2024_3,WR_vs_TE,WR,TE,17683,8939.04,584612,749393.4,-24.7
ktc,hwang,archetype,2021,2024_4,QB_vs_RB,QB,RB,10018,9446.24,562802.7,1247885.9,-75.7
ktc,hwang,archetype,2021,2024_4,QB_vs_WR,QB,WR,20034,16892.96,1370757.4,1495312,-8.7
ktc,hwang,archetype,2021,2024_4,QB_vs_TE,QB,TE,4951,4092.79,177816.2,371483.1,-70.5
ktc,hwang,archetype,2021,2024_4,RB_vs_WR,RB,WR,30083,22526.68,2736732,1955579,33.3
