value_basis,format,year,candidate_count,excluded_zero_point,pool_size,pair_count,replace_attempts,replace_hits,replace_skip_both,replace_skip_no_target
ktc,hwang,2021,241,19,260,578,3294600,2116542,25640,1152418
ktc,hwang,2022,280,20,300,1130,6441000,4680701,45598,1714701
ktc,hwang,2023,291,9,300,1216,6931200,4464875,48096,2418229
ktc,hwang,2024,286,14,300,1364,7774800,5507655,52927,2214218
ktc,hwang,2025,274,26,300,1201,6845700,4681746,48755,2115199
comp,hwang,2021,209,12,221,410,2337000,1421354,26947,888699
comp,hwang,2022,280,20,300,739,4212300,2637157,39691,1535452
comp,hwang,2023,288,12,300,857,4884900,2786230,38083,2060587
comp,hwang,2024,289,11,300,881,5021700,2759162,38139,2224399
comp,hwang,2025,282,18,300,736,4195200,2312527,32835,1849838
