season,season_type,week,game_id,start_date,home,away,home_score,away_score,provider,spread,spread_open,formatted_spread,over_under,over_under_open,home_moneyline,away_moneyline,n_providers
2023,2,1,401520145,2023-08-26T21:30:00.000Z,Jacksonville State,UTEP,17,14,Bovada,1.0,-2.5,UTEP -1.0,53.5,52.5,-105,-115,4
2023,2,1,401520146,2023-08-27T01:00:00.000Z,Louisiana Tech,Florida International,22,17,DraftKings,-10.0,-10.0,Louisiana Tech -10,59.0,59.0,-360,285,5
2023,2,1,401520147,2023-08-26T23:30:00.000Z,Vanderbilt,Hawai'i,35,28,DraftKings,-18.0,-18.0,Vanderbilt -18,54.5,54.5,-1050,675,4
2023,2,1,401520148,2023-09-01T00:00:00.000Z,Minnesota,Nebraska,13,10,DraftKings,-7.5,-6.5,Minnesota -7.5,43.0,46.5,-305,245,5
2023,2,1,401520149,2023-09-02T23:30:00.000Z,Alabama,Middle Tennessee,56,7,DraftKings,-39.5,-39.0,Alabama -39.5,51.5,55.0,,,4
2023,2,1,401520150,2023-09-02T20:00:00.000Z,Arkansas,Western Carolina,56,13,Bovada,-38.0,-35.0,Arkansas -38.0,61.5,61.5,-20000,1800,2
2023,2,1,401520151,2023-09-02T19:30:00.000Z,Auburn,Massachusetts,59,14,DraftKings,-35.0,-39.5,Auburn -35,52.0,53.5,,,5
2023,2,1,401520152,2023-09-03T02:15:00.000Z,BYU,Sam Houston,14,0,DraftKings,-20.0,-23.5,BYU -20,46.5,51.5,-1200,850,4
2023,2,1,401520153,2023-09-02T22:30:00.000Z,Florida International,Maine,14,12,Bovada,-15.0,-10.0,Florida International -15.0,46.5,49.5,-415,310,2
2023,2,1,401520154,2023-09-02T22:00:00.000Z,Georgia,UT Martin,48,7,Bovada,-51.0,-50.0,Georgia -51.0,58.0,55.5,,,2
2023,2,1,401520155,2023-09-02T23:30:00.000Z,Illinois,Toledo,30,28,DraftKings,-9.5,-10.0,Illinois -9.5,45.5,49.5,-290,280,5
2023,2,1,401520156,2023-09-02T19:30:00.000Z,Indiana,Ohio State,3,23,DraftKings,30.0,28.5,Ohio State -30,59.0,60.0,2500,-8000,5
2023,2,1,401520157,2023-09-02T16:00:00.000Z,Iowa,Utah State,24,14,DraftKings,-23.5,-23.5,Iowa -23.5,43.5,43.5,-2100,1100,4
