league,match_id,minute,elapsed,elapsed_plus,team,goals_for,goals_against
UNKNOWN,1729,19,19,0,10261,0,0
UNKNOWN,1729,22,22,0,10261,0,0
UNKNOWN,1729,22,22,0,10261,0,0
UNKNOWN,1729,48,48,0,10260,1,1
UNKNOWN,1729,51,51,0,10261,1,1
UNKNOWN,1729,58,58,0,10260,1,1
UNKNOWN,1729,59,59,0,10260,1,1
UNKNOWN,1729,62,62,0,10261,1,1
UNKNOWN,1729,66,66,0,10261,1,1
UNKNOWN,1729,67,67,0,10260,1,1
UNKNOWN,1729,73,73,0,10260,1,1
UNKNOWN,1729,75,75,0,10260,1,1
UNKNOWN,1730,3,3,0,9825,0,0
UNKNOWN,1730,3,3,0,9825,0,0
UNKNOWN,1730,9,9,0,9825,1,0
UNKNOWN,1730,19,19,0,9825,1,0
UNKNOWN,1730,25,25,0,9825,1,0
UNKNOWN,1730,28,28,0,8659,0,1
UNKNOWN,1730,31,31,0,8659,0,1
UNKNOWN,1730,31,31,0,9825,1,0
UNKNOWN,1730,45,45,0,8659,0,1
UNKNOWN,1730,51,51,0,8659,0,1
UNKNOWN,1730,79,79,0,9825,1,0
UNKNOWN,1730,85,85,0,8659,0,1
UNKNOWN,1731,26,26,0,8650,0,0
UNKNOWN,1731,30,30,0,8472,0,0
UNKNOWN,1731,35,35,0,8650,0,0
UNKNOWN,1731,36,36,0,8650,0,0
UNKNOWN,1731,36,36,0,8650,0,0
UNKNOWN,1731,42,42,0,8650,0,0
UNKNOWN,1731,56,56,0,8650,0,0
UNKNOWN,1731,66,66,0,8650,0,0
UNKNOWN,1731,75,75,0,8650,0,0
UNKNOWN,1732,9,9,0,8654,1,0
UNKNOWN,1732,14,14,0,8654,2,0
UNKNOWN,1732,15,15,0,8654,2,0
UNKNOWN,1732,16,16,0,8528,0,2
UNKNOWN,1732,20,20,0,8528,0,2
UNKNOWN,1732,22,22,0,8528,0,2
UNKNOWN,1732,40,40,0,8528,0,2
UNKNOWN,1732,48,45,3,8654,2,1
UNKNOWN,1732,50,50,0,8528,1,2
UNKNOWN,1732,52,52,0,8654,2,1
UNKNOWN,1732,64,64,0,8528,1,2
UNKNOWN,1732,76,76,0,8528,1,2
UNKNOWN,1732,87,87,0,8654,2,1
UNKNOWN,1732,89,89,0,8528,1,2
UNKNOWN,1732,89,89,0,8528,1,2
UNKNOWN,1732,90,90,0,8528,1,2
UNKNOWN,1733,2,2,0,10252,0,0
UNKNOWN,1733,3,3,0,8456,0,0
UNKNOWN,1733,6,6,0,10252,0,0
UNKNOWN,1733,10,10,0,10252,0,0
UNKNOWN,1733,11,11,0,8456,0,0
UNKNOWN,1733,45,45,0,8456,0,0
UNKNOWN,1733,47,45,2,8456,0,0
UNKNOWN,1733,50,50,0,8456,0,1
UNKNOWN,1733,51,51,0,8456,0,1
UNKNOWN,1733,60,60,0,10252,1,0
UNKNOWN,1733,62,62,0,10252,1,0
UNKNOWN,1733,68,68,0,10252,1,1
UNKNOWN,1733,87,87,0,10252,4,1
UNKNOWN,1733,89,89,0,8456,1,4
UNKNOWN,1733,93,90,3,8456,2,4
UNKNOWN,1734,5,5,0,8655,0,0
