league,match_id,minute,elapsed,elapsed_plus
England Premier League,1729,22,22,0
England Premier League,1729,24,24,0
England Premier League,1730,4,4,0
England Premier League,1731,83,83,0
England Premier League,1732,4,4,0
England Premier League,1732,10,10,0
England Premier League,1732,47,47,0
England Premier League,1733,47,47,0
England Premier League,1733,64,64,0
England Premier League,1733,69,69,0
England Premier League,1733,74,74,0
England Premier League,1733,76,76,0
England Premier League,1733,90,90,0
England Premier League,1734,22,22,0
England Premier League,1734,47,45,2
England Premier League,1734,65,65,0
England Premier League,1734,67,67,0
England Premier League,1734,95,90,5
England Premier League,1735,71,71,0
England Premier League,1735,86,86,0
England Premier League,1735,93,90,3
England Premier League,1736,34,34,0
England Premier League,1736,41,41,0
England Premier League,1736,47,45,2
England Premier League,1736,93,90,3
England Premier League,1737,9,9,0
England Premier League,1737,23,23,0
England Premier League,1737,82,82,0
England Premier League,1738,12,12,0
England Premier League,1738,26,26,0
England Premier League,1738,47,45,2
England Premier League,1738,89,89,0
England Premier League,1739,14,14,0
England Premier League,1739,30,30,0
England Premier League,1740,13,13,0
England Premier League,1740,37,37,0
England Premier League,1740,46,46,0
England Premier League,1740,64,64,0
England Premier League,1740,68,68,0
England Premier League,1740,68,68,0
England Premier League,1740,89,89,0
England Premier League,1740,94,90,4
England Premier League,1741,53,53,0
England Premier League,1741,94,90,4
England Premier League,1742,90,90,0
England Premier League,1743,3,3,0
England Premier League,1743,50,50,0
England Premier League,1743,75,75,0
England Premier League,1744,73,73,0
England Premier League,1745,76,76,0
England Premier League,1746,30,30,0
England Premier League,1746,47,45,2
England Premier League,1746,65,65,0
England Premier League,1746,87,87,0
England Premier League,1746,94,90,4
England Premier League,1747,10,10,0
England Premier League,1747,42,42,0
England Premier League,1747,65,65,0
England Premier League,1748,11,11,0
England Premier League,1748,60,60,0
England Premier League,1749,3,3,0
England Premier League,1749,23,23,0
England Premier League,1749,29,29,0
England Premier League,1749,44,44,0
England Premier League,1749,57,57,0
England Premier League,1749,69,69,0
England Premier League,1749,82,82,0
England Premier League,1750,3,3,0
England Premier League,1750,69,69,0
England Premier League,1750,91,90,1
England Premier League,1751,87,87,0
England Premier League,1752,21,21,0
England Premier League,1752,82,82,0
England Premier League,1753,60,60,0
England Premier League,1753,83,83,0
England Premier League,1754,77,77,0
England Premier League,1754,88,88,0
England Premier League,1755,13,13,0
England Premier League,1755,55,55,0
England Premier League,1755,62,62,0
England Premier League,1755,89,89,0
England Premier League,1756,45,45,0
England Premier League,1756,82,82,0
England Premier League,1756,92,90,2
England Premier League,1757,11,11,0
England Premier League,1757,73,73,0
England Premier League,1757,94,90,4
England Premier League,1758,27,27,0
England Premier League,1758,30,30,0
England Premier League,1758,46,45,1
England Premier League,1758,51,51,0
England Premier League,1758,53,53,0
England Premier League,1759,22,22,0
England Premier League,1759,48,48,0
England Premier League,1759,90,90,0
England Premier League,1760,34,34,0
England Premier League,1760,43,43,0
England Premier League,1760,93,90,3
England Premier League,1761,4,4,0
England Premier League,1761,51,51,0
England Premier League,1761,91,90,1
England Premier League,1762,63,63,0
England Premier League,1762,83,83,0
England Premier League,1762,85,85,0
England Premier League,1762,87,87,0
England Premier League,1763,34,34,0
England Premier League,1763,37,37,0
England Premier League,1763,88,88,0
England Premier League,1764,16,16,0
England Premier League,1764,29,29,0
England Premier League,1764,64,64,0
England Premier League,1765,40,40,0
England Premier League,1765,68,68,0
England Premier League,1766,23,23,0
England Premier League,1766,57,57,0
England Premier League,1766,66,66,0
England Premier League,1767,50,50,0
England Premier League,1769,4,4,0
England Premier League,1769,46,45,1
England Premier League,1769,49,49,0
England Premier League,1769,84,84,0
England Premier League,1769,89,89,0
England Premier League,1770,70,70,0
England Premier League,1770,80,80,0
England Premier League,1772,8,8,0
England Premier League,1772,65,65,0
England Premier League,1773,3,3,0
