rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Todd Gurley II,13912,todd-gurley,,,RB,1,1,1,&nbsp;,&nbsp;,&nbsp;,1.0,2315
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,2,2,&nbsp;,&nbsp;,&nbsp;,2.0,1408
3,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,3,4,4,&nbsp;,&nbsp;,&nbsp;,4.0,3164
4,Antonio Brown,9808,antonio-brown,,,WR,1,5,6,&nbsp;,&nbsp;,&nbsp;,5.3,536
5,Alvin Kamara,16421,alvin-kamara,NO,6,RB,4,6,5,&nbsp;,&nbsp;,&nbsp;,5.7,4035
6,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,5,7,7,&nbsp;,&nbsp;,&nbsp;,7.0,4866
7,Kareem Hunt,16425,kareem-hunt,,,RB,6,9,8,&nbsp;,&nbsp;,&nbsp;,9.3,4098
8,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,2,8,10,&nbsp;,&nbsp;,&nbsp;,9.3,1426
9,Leonard Fournette,16378,leonard-fournette,,,RB,7,12,9,&nbsp;,&nbsp;,&nbsp;,9.7,3969
10,Melvin Gordon III,13903,melvin-gordon,,,RB,8,11,11,&nbsp;,&nbsp;,&nbsp;,10.3,2320
11,Odell Beckham Jr.,12127,odell-beckham,NYG,9,WR,3,10,12,&nbsp;,&nbsp;,&nbsp;,11.3,2078
12,Julio Jones,9867,julio-jones,,,WR,4,13,14,&nbsp;,&nbsp;,&nbsp;,14.0,947
13,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,9,17,13,&nbsp;,&nbsp;,&nbsp;,14.3,4034
14,Dalvin Cook,16374,dalvin-cook,,,RB,10,14,15,&nbsp;,&nbsp;,&nbsp;,14.3,4029
15,Michael Thomas,15528,michael-thomas-wr,,,WR,5,15,16,&nbsp;,&nbsp;,&nbsp;,15.7,3199
16,Keenan Allen,11616,keenan-allen,LAC,8,WR,6,16,17,&nbsp;,&nbsp;,&nbsp;,16.7,1479
17,Devonta Freeman,12108,devonta-freeman,,,RB,11,20,18,&nbsp;,&nbsp;,&nbsp;,19.0,2168
18,Davante Adams,12123,davante-adams,LAR,12,WR,7,18,19,&nbsp;,&nbsp;,&nbsp;,19.0,2133
19,A.J. Green,9857,aj-green,,,WR,8,19,20,&nbsp;,&nbsp;,&nbsp;,20.3,830
20,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,23,21,&nbsp;,&nbsp;,&nbsp;,20.7,515
21,Joe Mixon,16420,joe-mixon,,,RB,12,22,22,&nbsp;,&nbsp;,&nbsp;,22.3,4018
22,Jordan Howard,15585,jordan-howard,,,RB,13,25,24,&nbsp;,&nbsp;,&nbsp;,23.3,3306
23,Mike Evans,12119,mike-evans,SF,11,WR,9,21,23,&nbsp;,&nbsp;,&nbsp;,23.7,2216
24,Tyreek Hill,15802,tyreek-hill,,,WR,10,27,25,&nbsp;,&nbsp;,&nbsp;,25.3,3321
25,Travis Kelce,11594,travis-kelce,KC,12,TE,2,26,26,&nbsp;,&nbsp;,&nbsp;,26.7,1466
26,T.Y. Hilton,11206,ty-hilton,,,WR,11,30,28,&nbsp;,&nbsp;,&nbsp;,27.7,1110
27,LeSean McCoy,9398,lesean-mccoy,,,RB,14,24,29,&nbsp;,&nbsp;,&nbsp;,28.0,676
28,Stefon Diggs,13981,stefon-diggs,,,WR,12,32,32,&nbsp;,&nbsp;,&nbsp;,30.0,2449
29,Adam Thielen,13429,adam-thielen,,,WR,13,29,30,&nbsp;,&nbsp;,&nbsp;,30.7,1689
30,Kenyan Drake,15637,kenyan-drake,,,RB,15,34,31,&nbsp;,&nbsp;,&nbsp;,31.7,3242
31,Doug Baldwin,10992,doug-baldwin,,,WR,14,28,38,&nbsp;,&nbsp;,&nbsp;,34.3,988
32,Alex Collins,15546,alex-collins,,,RB,16,42,34,&nbsp;,&nbsp;,&nbsp;,35.0,3327
33,Zach Ertz,11689,zach-ertz,,,TE,3,35,33,&nbsp;,&nbsp;,&nbsp;,35.3,1339
34,Amari Cooper,13894,amari-cooper,,,WR,15,37,35,&nbsp;,&nbsp;,&nbsp;,35.3,2309
35,Aaron Rodgers,9001,aaron-rodgers,PIT,7,QB,1,48,27,&nbsp;,&nbsp;,&nbsp;,36.7,96
36,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,16,33,37,&nbsp;,&nbsp;,&nbsp;,36.7,223
37,Derrick Henry,15514,derrick-henry,BAL,10,RB,17,36,43,&nbsp;,&nbsp;,&nbsp;,39.3,3198
38,Jarvis Landry,12128,jarvis-landry,,,WR,17,47,36,&nbsp;,&nbsp;,&nbsp;,42.0,1825
