rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,1,1,1,1,&nbsp;,1.0,4034
2,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,1,2,2,2,2,&nbsp;,2.0,6786
3,Tyreek Hill,15802,tyreek-hill,,,WR,2,3,3,3,3,&nbsp;,3.0,3321
4,Breece Hall,22982,breece-hall,NYJ,12,RB,2,4,4,4,7,&nbsp;,4.8,8155
5,Amon-Ra St. Brown,19799,amonra-stbrown,DET,5,WR,3,7,6,5,4,&nbsp;,5.5,7547
6,Bijan Robinson,23133,bijan-robinson,ATL,12,RB,3,6,5,8,5,&nbsp;,6.0,9509
7,Ja'Marr Chase,19788,jamarr-chase,CIN,12,WR,4,5,8,6,6,&nbsp;,6.3,7564
8,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,5,8,7,7,8,&nbsp;,7.5,6794
9,A.J. Brown,18218,aj-brown,NE,14,WR,6,9,11,9,9,&nbsp;,9.5,5859
10,Garrett Wilson,23072,garrett-wilson,NYJ,12,WR,7,10,12,10,10,&nbsp;,10.5,8146
11,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,4,11,10,14,12,&nbsp;,11.8,6813
12,Puka Nacua,23180,puka-nacua,LAR,6,WR,8,12,14,11,11,&nbsp;,12.0,9493
13,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,5,RB,5,13,13,13,15,&nbsp;,13.5,9221
14,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,11,WR,9,15,17,12,13,&nbsp;,14.3,11628
15,Saquon Barkley,17240,saquon-barkley,PHI,5,RB,6,14,9,18,21,&nbsp;,15.5,4866
16,Drake London,23163,drake-london,ATL,12,WR,10,18,26,15,14,&nbsp;,18.3,8112
17,De'Von Achane,23136,devon-achane,MIA,6,RB,7,21,18,19,18,&nbsp;,19.0,9226
18,Nico Collins,20130,nico-collins,HOU,14,WR,11,23,25,16,17,&nbsp;,20.3,7569
19,Davante Adams,12123,davante-adams,LAR,6,WR,12,17,23,24,20,&nbsp;,21.0,2133
20,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,13,24,28,17,19,&nbsp;,22.0,5872
21,Kyren Williams,23059,kyren-williams,LAR,6,RB,8,16,21,26,27,&nbsp;,22.5,8150
22,Chris Olave,20111,chris-olave,NO,12,WR,14,19,32,22,23,&nbsp;,24.0,8144
23,Cooper Kupp,16433,cooper-kupp,SEA,10,WR,15,25,36,21,16,&nbsp;,24.5,4039
24,Derrick Henry,15514,derrick-henry,BAL,14,RB,9,22,20,30,33,&nbsp;,26.3,3198
25,Travis Etienne Jr.,19231,travis-etienne,NO,12,RB,10,20,15,37,34,&nbsp;,26.5,7543
26,Isiah Pacheco,24333,isiah-pacheco,DET,5,RB,11,27,22,32,32,&nbsp;,28.3,8205
27,Jaylen Waddle,19790,jaylen-waddle,DEN,14,WR,16,30,40,20,25,&nbsp;,28.8,7526
28,Josh Allen,17298,josh-allen-qb,BUF,12,QB,1,26,16,36,39,&nbsp;,29.3,4984
29,DK Metcalf,18219,dk-metcalf,PIT,9,WR,17,35,39,29,24,&nbsp;,31.8,5846
30,DJ Moore,17265,dj-moore-wr,BUF,12,WR,18,28,41,31,30,&nbsp;,32.5,4983
31,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,19,31,47,25,28,&nbsp;,32.8,6803
32,Malik Nabers,25409,malik-nabers,NYG,11,WR,20,36,51,23,22,&nbsp;,33.0,11632
33,Mike Evans,12119,mike-evans,SF,9,WR,21,29,49,27,29,&nbsp;,33.5,2216
34,DeVonta Smith,19222,devonta-smith,PHI,5,WR,22,37,44,28,26,&nbsp;,33.8,7525
35,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,23,32,30,39,38,&nbsp;,34.8,6819
36,Sam LaPorta,22978,sam-laporta,DET,5,TE,1,33,29,38,41,&nbsp;,35.3,10859
37,Jalen Hurts,19275,jalen-hurts,PHI,5,QB,2,34,24,41,46,&nbsp;,36.3,6904
38,Josh Jacobs,18269,josh-jacobs,GB,10,RB,12,41,19,45,43,&nbsp;,37.0,5850
39,Patrick Mahomes II,16413,patrick-mahomes,KC,6,QB,3,39,27,44,40,&nbsp;,37.5,4046
40,Travis Kelce,11594,travis-kelce,KC,6,TE,2,40,34,43,36,&nbsp;,38.3,1466
41,Stefon Diggs,13981,stefon-diggs,,,WR,24,42,43,35,35,&nbsp;,38.8,2449
