rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,2,2,1,1,1,1.4,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,1,1,2,2,2,1.6,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3,3,3,3,3,3.0,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4,4,4,4,4,4.0,9493
5,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,5,6,5,5,5,5.2,9488
6,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,6,5,7,6,6,6.0,4034
7,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,7,8,8,7,7,7.4,7547
8,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,8,7,6,9,8,7.6,6813
9,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,5,12,11,10,8,9,10.0,6794
10,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,6,11,14,9,11,11,11.2,6786
11,James Cook III,22958,james-cook,BUF,7,RB,5,10,12,12,12,10,11.2,8138
12,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,6,9,10,11,10,17,11.4,12527
13,De'Von Achane,23136,devon-achane,MIA,6,RB,7,13,9,14,18,19,14.6,9226
14,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,8,16,17,13,13,15,14.8,4866
15,Chase Brown,25324,chase-brown,CIN,6,RB,9,15,13,17,14,23,16.4,9224
16,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,10,14,15,15,17,22,16.6,12507
17,Drake London,23163,drake-london,ATL,11,WR,7,17,18,19,16,16,17.2,8112
18,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,11,18,20,16,15,20,17.8,8151
19,Brock Bowers,22955,brock-bowers,LV,13,TE,1,20,19,20,20,13,18.4,11604
20,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,19,16,25,24,12,19.2,8130
21,Derrick Henry,15514,derrick-henry,BAL,13,RB,12,22,23,18,21,24,21.6,3198
22,A.J. Brown,18218,aj-brown,NE,11,WR,8,25,26,21,19,18,21.8,5859
23,Nico Collins,20130,nico-collins,HOU,8,WR,9,23,24,22,22,21,22.4,7569
24,George Pickens,22963,george-pickens,DAL,14,WR,10,24,25,23,23,25,24.0,8137
25,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,13,21,22,24,26,31,24.8,13287
26,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,26,21,34,30,14,25.0,4984
27,Chris Olave,20111,chris-olave,NO,8,WR,11,27,27,28,29,27,27.6,8144
28,Breece Hall,22982,breece-hall,NYJ,13,RB,14,28,30,26,28,40,30.4,8155
29,DeVonta Smith,19222,devonta-smith,PHI,10,WR,12,35,38,27,25,28,30.6,7525
30,Rashee Rice,23113,rashee-rice,KC,5,WR,13,29,39,29,27,29,30.6,10229
31,Kyren Williams,23059,kyren-williams,LAR,11,RB,15,30,31,32,33,33,31.8,8150
32,Javonte Williams,22739,javonte-williams,DAL,14,RB,16,32,29,36,38,37,34.4,7588
33,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,34,32,30,34,43,34.6,7543
34,Malik Nabers,25409,malik-nabers,NYG,8,WR,14,31,34,31,39,38,34.6,11632
35,Zay Flowers,22916,zay-flowers,BAL,13,WR,15,38,43,33,31,39,36.8,9997
36,Tee Higgins,19211,tee-higgins,CIN,6,WR,16,37,48,35,36,34,38.0,6801
37,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,17,40,37,41,37,35,38.0,12514
38,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,43,36,46,40,26,38.2,12517
39,Josh Jacobs,18269,josh-jacobs,GB,11,RB,18,36,28,39,43,50,39.2,5850
40,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,18,33,40,38,44,46,40.2,12526
41,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,19,39,45,40,35,42,40.2,8146
42,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,20,41,51,37,32,45,41.2,11635
43,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,19,44,33,43,45,44,41.8,12481
44,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,21,42,47,42,41,51,44.6,12519
45,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,46,44,57,54,30,46.2,4881
46,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,22,47,59,45,42,57,50.0,5927
47,DJ Moore,17265,dj-moore-wr,BUF,7,WR,23,60,41,56,46,48,50.2,4983
48,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,20,53,35,54,56,54,50.4,12512
49,David Montgomery,18239,david-montgomery,HOU,8,RB,21,49,50,49,51,56,51.0,5892
50,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,24,48,62,47,47,58,52.4,7526
51,Joe Burrow,19196,joe-burrow,CIN,6,QB,3,51,53,64,64,32,52.8,6770
52,Davante Adams,12123,davante-adams,LAR,11,WR,25,52,65,51,50,47,53.0,2133
53,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,22,45,46,50,58,67,53.2,12529
54,Jameson Williams,23677,jameson-williams,DET,6,WR,26,50,57,48,53,59,53.4,8148
