rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
1,Todd Gurley II,13912,todd-gurley,,,RB,1,&nbsp;,&nbsp;,&nbsp;,1.0,2315
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,&nbsp;,&nbsp;,&nbsp;,2.0,1408
3,David Johnson,13948,david-johnson-rb,,,RB,3,&nbsp;,&nbsp;,&nbsp;,3.5,2391
4,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,&nbsp;,&nbsp;,&nbsp;,3.5,3164
5,Antonio Brown,9808,antonio-brown,,,WR,1,&nbsp;,&nbsp;,&nbsp;,5.0,536
6,Alvin Kamara,16421,alvin-kamara,NO,6,RB,5,&nbsp;,&nbsp;,&nbsp;,6.5,4035
7,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,6,&nbsp;,&nbsp;,&nbsp;,6.5,4866
8,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,2,&nbsp;,&nbsp;,&nbsp;,9.0,1426
9,Leonard Fournette,16378,leonard-fournette,,,RB,7,&nbsp;,&nbsp;,&nbsp;,9.0,3969
10,Melvin Gordon III,13903,melvin-gordon,,,RB,8,&nbsp;,&nbsp;,&nbsp;,10.0,2320
11,Kareem Hunt,16425,kareem-hunt,,,RB,9,&nbsp;,&nbsp;,&nbsp;,10.0,4098
12,Odell Beckham Jr.,12127,odell-beckham,NYG,9,WR,3,&nbsp;,&nbsp;,&nbsp;,12.0,2078
13,Julio Jones,9867,julio-jones,,,WR,4,&nbsp;,&nbsp;,&nbsp;,14.0,947
14,Dalvin Cook,16374,dalvin-cook,,,RB,10,&nbsp;,&nbsp;,&nbsp;,14.0,4029
15,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,11,&nbsp;,&nbsp;,&nbsp;,15.0,4034
16,Michael Thomas,15528,michael-thomas-wr,,,WR,5,&nbsp;,&nbsp;,&nbsp;,15.5,3199
17,Keenan Allen,11616,keenan-allen,LAC,8,WR,6,&nbsp;,&nbsp;,&nbsp;,18.0,1479
18,Devonta Freeman,12108,devonta-freeman,,,RB,12,&nbsp;,&nbsp;,&nbsp;,18.5,2168
19,Davante Adams,12123,davante-adams,LAR,12,WR,7,&nbsp;,&nbsp;,&nbsp;,18.5,2133
20,Jordan Howard,15585,jordan-howard,,,RB,13,&nbsp;,&nbsp;,&nbsp;,19.0,3306
21,A.J. Green,9857,aj-green,,,WR,8,&nbsp;,&nbsp;,&nbsp;,21.5,830
22,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,&nbsp;,&nbsp;,&nbsp;,22.5,515
