rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,1,1,&nbsp;,&nbsp;,1.0,4034
2,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,2,2,&nbsp;,&nbsp;,2.0,4866
3,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,3,3,&nbsp;,&nbsp;,3.0,3164
4,Dalvin Cook,16374,dalvin-cook,,,RB,4,7,&nbsp;,&nbsp;,5.3,4029
5,Alvin Kamara,16421,alvin-kamara,NO,6,RB,5,4,&nbsp;,&nbsp;,5.3,4035
6,Derrick Henry,15514,derrick-henry,BAL,7,RB,6,5,&nbsp;,&nbsp;,5.7,3198
7,Michael Thomas,15528,michael-thomas-wr,,,WR,1,6,&nbsp;,&nbsp;,6.0,3199
8,Davante Adams,12123,davante-adams,LAR,9,WR,2,9,&nbsp;,&nbsp;,9.3,2133
9,Joe Mixon,16420,joe-mixon,,,RB,7,11,&nbsp;,&nbsp;,9.7,4018
10,Tyreek Hill,15802,tyreek-hill,,,WR,3,12,&nbsp;,&nbsp;,12.7,3321
11,Nick Chubb,17246,nick-chubb,,,RB,8,13,&nbsp;,&nbsp;,12.7,4988
12,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,9,8,&nbsp;,&nbsp;,13.3,6820
13,Josh Jacobs,18269,josh-jacobs,GB,5,RB,10,18,&nbsp;,&nbsp;,14.3,5850
14,Julio Jones,9867,julio-jones,,,WR,4,14,&nbsp;,&nbsp;,14.3,947
15,Kenyan Drake,15637,kenyan-drake,,,RB,11,17,&nbsp;,&nbsp;,15.7,3242
16,DeAndre Hopkins,11606,deandre-hopkins,BAL,7,WR,5,20,&nbsp;,&nbsp;,17.0,1426
17,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,1,10,&nbsp;,&nbsp;,18.7,4046
18,Travis Kelce,11594,travis-kelce,KC,10,TE,1,19,&nbsp;,&nbsp;,18.7,1466
19,Austin Ekeler,16483,austin-ekeler,,,RB,12,22,&nbsp;,&nbsp;,19.0,4663
20,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,13,21,&nbsp;,&nbsp;,19.0,4199
21,Miles Sanders,18283,miles-sanders,,,RB,14,23,&nbsp;,&nbsp;,19.3,6151
22,George Kittle,16499,george-kittle,SF,11,TE,2,16,&nbsp;,&nbsp;,20.0,4217
23,Lamar Jackson,17233,lamar-jackson,BAL,7,QB,2,15,&nbsp;,&nbsp;,20.3,4881
24,Chris Godwin Jr.,16406,chris-godwin,TB,13,WR,6,24,&nbsp;,&nbsp;,21.0,4037
25,Kenny Golladay,16488,kenny-golladay,,,WR,7,27,&nbsp;,&nbsp;,25.3,4131
26,Mike Evans,12119,mike-evans,SF,11,WR,8,28,&nbsp;,&nbsp;,27.3,2216
27,Chris Carson,16754,chris-carson,,,RB,15,31,&nbsp;,&nbsp;,30.0,4273
28,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,9,30,&nbsp;,&nbsp;,30.0,2078
29,Allen Robinson II,12126,allen-robinson,,,WR,10,26,&nbsp;,&nbsp;,30.7,1992
30,Todd Gurley II,13912,todd-gurley,,,RB,16,32,&nbsp;,&nbsp;,31.0,2315
31,Adam Thielen,13429,adam-thielen,,,WR,11,29,&nbsp;,&nbsp;,32.0,1689
32,James Conner,16447,james-conner,ARI,8,RB,17,25,&nbsp;,&nbsp;,33.0,4137
33,DJ Moore,17265,dj-moore-wr,BUF,11,WR,12,37,&nbsp;,&nbsp;,34.0,4983
34,Amari Cooper,13894,amari-cooper,,,WR,13,38,&nbsp;,&nbsp;,34.3,2309
35,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,14,34,&nbsp;,&nbsp;,34.3,4040
36,Jonathan Taylor,19217,jonathan-taylor,IND,7,RB,18,36,&nbsp;,&nbsp;,37.0,6813
37,Melvin Gordon III,13903,melvin-gordon,,,RB,19,33,&nbsp;,&nbsp;,37.3,2320
38,A.J. Brown,18218,aj-brown,NE,5,WR,15,39,&nbsp;,&nbsp;,39.3,5859
39,Mark Andrews,17269,mark-andrews,BAL,7,TE,3,35,&nbsp;,&nbsp;,39.7,5012
40,Cooper Kupp,16433,cooper-kupp,SEA,6,WR,16,44,&nbsp;,&nbsp;,40.0,4039
41,Le'Veon Bell,11645,leveon-bell,,,RB,20,45,&nbsp;,&nbsp;,41.7,1408
42,David Johnson,13948,david-johnson-rb,,,RB,21,52,&nbsp;,&nbsp;,42.0,2391
43,Calvin Ridley,17258,calvin-ridley,TEN,4,WR,17,49,&nbsp;,&nbsp;,44.0,4981
44,Zach Ertz,11689,zach-ertz,,,TE,4,43,&nbsp;,&nbsp;,46.0,1339
45,Mark Ingram II,9872,mark-ingram,,,RB,22,40,&nbsp;,&nbsp;,46.0,956
46,Tyler Lockett,13971,tyler-lockett,LV,6,WR,18,48,&nbsp;,&nbsp;,50.0,2374
47,Courtland Sutton,17253,courtland-sutton,DEN,5,WR,19,55,&nbsp;,&nbsp;,50.7,5045
48,Dak Prescott,15600,dak-prescott,DAL,10,QB,3,42,&nbsp;,&nbsp;,50.7,3294
49,Keenan Allen,11616,keenan-allen,LAC,6,WR,20,57,&nbsp;,&nbsp;,50.7,1479
50,Robert Woods,11610,robert-woods,,,WR,21,61,&nbsp;,&nbsp;,50.7,1352
51,DK Metcalf,18219,dk-metcalf,PIT,4,WR,22,53,&nbsp;,&nbsp;,51.3,5846
52,Raheem Mostert,14338,raheem-mostert,LV,6,RB,23,47,&nbsp;,&nbsp;,51.7,2749
53,Terry McLaurin,18466,terry-mclaurin,WAS,8,WR,23,46,&nbsp;,&nbsp;,51.7,5927
54,DJ Chark Jr.,17292,dj-chark,,,WR,24,54,&nbsp;,&nbsp;,51.7,4951
55,Russell Wilson,11180,russell-wilson,,,QB,4,41,&nbsp;,&nbsp;,55.7,1234
56,Devin Singletary,18280,devin-singletary,NYG,11,RB,24,63,&nbsp;,&nbsp;,57.0,6130
57,Kyler Murray,18600,kyler-murray,MIN,7,QB,5,50,&nbsp;,&nbsp;,58.3,5849
58,T.Y. Hilton,11206,ty-hilton,,,WR,25,64,&nbsp;,&nbsp;,58.7,1110
59,Darren Waller,14104,darren-waller,,,TE,5,56,&nbsp;,&nbsp;,58.7,2505
60,Cam Akers,19268,cam-akers,,,RB,25,60,&nbsp;,&nbsp;,59.7,6938
61,Leonard Fournette,16378,leonard-fournette,,,RB,26,58,&nbsp;,&nbsp;,60.7,3969
62,Deshaun Watson,16398,deshaun-watson,CLE,9,QB,6,51,&nbsp;,&nbsp;,60.7,4017
63,DeVante Parker,13897,devante-parker,,,WR,26,67,&nbsp;,&nbsp;,61.3,2319
64,Stefon Diggs,13981,stefon-diggs,,,WR,27,68,&nbsp;,&nbsp;,63.3,2449
65,D'Andre Swift,19210,dandre-swift,CHI,11,RB,27,66,&nbsp;,&nbsp;,65.0,6790
66,Kareem Hunt,16425,kareem-hunt,,,RB,28,69,&nbsp;,&nbsp;,65.7,4098
67,David Montgomery,18239,david-montgomery,HOU,8,RB,29,74,&nbsp;,&nbsp;,65.7,5892
68,Hollywood Brown,18226,marquise-brown,PHI,9,WR,28,79,&nbsp;,&nbsp;,72.0,5848
69,Michael Gallup,17259,michael-gallup,,,WR,29,76,&nbsp;,&nbsp;,73.7,5038
70,A.J. Green,9857,aj-green,,,WR,30,90,&nbsp;,&nbsp;,74.3,830
71,Matt Ryan,9444,matt-ryan,,,QB,7,65,&nbsp;,&nbsp;,76.7,24
72,Tyler Boyd,15547,tyler-boyd,,,WR,31,85,&nbsp;,&nbsp;,77.0,3225
73,Drew Brees,9200,drew-brees,,,QB,8,72,&nbsp;,&nbsp;,79.3,289
74,Evan Engram,16411,evan-engram,DEN,5,TE,6,84,&nbsp;,&nbsp;,79.3,4066
75,Tyler Higbee,15623,tyler-higbee,LAR,9,TE,7,59,&nbsp;,&nbsp;,79.7,3271
76,Ronald Jones II,17243,ronald-jones-ii,,,RB,30,82,&nbsp;,&nbsp;,80.0,
77,Rob Gronkowski,9721,rob-gronkowski,,,TE,8,77,&nbsp;,&nbsp;,80.0,515
78,Josh Allen,17298,josh-allen-qb,BUF,11,QB,9,70,&nbsp;,&nbsp;,81.0,4984
79,Hunter Henry,15561,hunter-henry,NE,5,TE,9,73,&nbsp;,&nbsp;,81.0,3214
80,Jarvis Landry,12128,jarvis-landry,,,WR,32,89,&nbsp;,&nbsp;,81.3,1825
81,William Fuller V,15629,will-fuller,,,WR,33,95,&nbsp;,&nbsp;,82.0,3157
82,Julian Edelman,9332,julian-edelman,,,WR,34,99,&nbsp;,&nbsp;,84.0,344
83,J.K. Dobbins,19245,jk-dobbins,DEN,5,RB,31,86,&nbsp;,&nbsp;,85.0,6806
84,Jordan Howard,15585,jordan-howard,,,RB,32,87,&nbsp;,&nbsp;,86.0,3306
85,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,35,98,&nbsp;,&nbsp;,86.7,5872
86,Aaron Rodgers,9001,aaron-rodgers,PIT,4,QB,10,96,&nbsp;,&nbsp;,90.0,96
87,Tom Brady,9603,tom-brady,,,QB,11,81,&nbsp;,&nbsp;,92.0,167
88,Phillip Lindsay,17498,phillip-lindsay,,,RB,33,105,&nbsp;,&nbsp;,93.3,5170
89,Brandin Cooks,12122,brandin-cooks,,,WR,36,118,&nbsp;,&nbsp;,93.7,2197
90,Marvin Jones Jr.,11215,marvin-jones,,,WR,37,106,&nbsp;,&nbsp;,93.7,1067
91,James White,12195,james-white,,,RB,34,107,&nbsp;,&nbsp;,94.7,1848
92,Jared Cook,9265,jared-cook,,,TE,10,71,&nbsp;,&nbsp;,95.0,367
93,Marlon Mack,16444,marlon-mack,,,RB,35,113,&nbsp;,&nbsp;,95.7,4152
94,Matt Breida,17058,matt-breida,,,RB,36,100,&nbsp;,&nbsp;,95.7,4455
95,Carson Wentz,15520,carson-wentz,MIN,7,QB,12,88,&nbsp;,&nbsp;,99.0,3161
96,Sony Michel,17309,sony-michel,,,RB,37,111,&nbsp;,&nbsp;,100.3,4962
97,San Francisco 49ers,8270,,,11,DST,1,62,&nbsp;,&nbsp;,101.3,
