rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,1,1,1,1.0,4034
2,Tyreek Hill,15802,tyreek-hill,,,WR,1,2,2,3,2.3,3321
3,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,2,3,3,2,2.7,6786
4,Breece Hall,22982,breece-hall,NYJ,12,RB,2,4,8,4,5.3,8155
5,Bijan Robinson,23133,bijan-robinson,ATL,12,RB,3,5,6,5,5.3,9509
6,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,3,7,4,7,6.0,6794
7,Ja'Marr Chase,19788,jamarr-chase,CIN,12,WR,4,6,5,8,6.3,7564
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,5,WR,5,8,7,6,7.0,7547
9,A.J. Brown,18218,aj-brown,NE,14,WR,6,10,9,11,10.0,5859
10,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,4,9,11,10,10.0,6813
11,Saquon Barkley,17240,saquon-barkley,PHI,5,RB,5,12,12,9,11.0,4866
12,Garrett Wilson,23072,garrett-wilson,NYJ,12,WR,7,11,13,12,12.0,8146
13,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,5,RB,6,14,10,13,12.3,9221
14,Puka Nacua,23180,puka-nacua,LAR,6,WR,8,15,15,14,14.7,9493
15,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,11,WR,9,17,14,16,15.7,11628
16,Travis Etienne Jr.,19231,travis-etienne,NO,12,RB,7,19,16,15,16.7,7543
17,Derrick Henry,15514,derrick-henry,BAL,14,RB,8,13,18,20,17.0,3198
18,Kyren Williams,23059,kyren-williams,LAR,6,RB,9,16,17,19,17.3,8150
19,Davante Adams,12123,davante-adams,LAR,6,WR,10,20,21,22,21.0,2133
20,De'Von Achane,23136,devon-achane,MIA,6,RB,10,24,23,18,21.7,9226
21,Isiah Pacheco,24333,isiah-pacheco,DET,5,RB,11,18,27,21,22.0,8205
22,Drake London,23163,drake-london,ATL,12,WR,11,25,19,23,22.3,8112
23,Josh Allen,17298,josh-allen-qb,BUF,12,QB,1,23,20,24,22.3,4984
24,Josh Jacobs,18269,josh-jacobs,GB,10,RB,12,29,24,17,23.3,5850
25,Chris Olave,20111,chris-olave,NO,12,WR,12,26,22,29,25.7,8144
26,Travis Kelce,11594,travis-kelce,KC,6,TE,1,21,25,36,27.3,1466
27,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,13,28,28,26,27.3,5872
28,Nico Collins,20130,nico-collins,HOU,14,WR,14,34,33,25,30.7,7569
29,Sam LaPorta,22978,sam-laporta,DET,5,TE,2,30,30,32,30.7,10859
30,Patrick Mahomes II,16413,patrick-mahomes,KC,6,QB,2,27,32,34,31.0,4046
31,Jalen Hurts,19275,jalen-hurts,PHI,5,QB,3,33,31,30,31.3,6904
32,Mike Evans,12119,mike-evans,SF,9,WR,15,22,29,46,32.3,2216
33,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,16,31,26,43,33.3,6803
34,Cooper Kupp,16433,cooper-kupp,SEA,10,WR,17,32,39,33,34.7,4039
35,Rachaad White,23891,rachaad-white,WAS,14,RB,13,39,37,31,35.7,8136
36,James Cook III,22958,james-cook,BUF,12,RB,14,41,40,27,36.0,8138
37,Lamar Jackson,17233,lamar-jackson,BAL,14,QB,4,35,36,40,37.0,4881
38,DJ Moore,17265,dj-moore-wr,BUF,12,WR,18,38,38,39,38.3,4983
39,Michael Pittman Jr.,19278,michael-pittman,PIT,9,WR,19,44,44,28,38.7,6819
40,DK Metcalf,18219,dk-metcalf,PIT,9,WR,20,37,41,38,38.7,5846
41,Jaylen Waddle,19790,jaylen-waddle,DEN,14,WR,21,40,35,42,39.0,7526
42,Joe Mixon,16420,joe-mixon,,,RB,15,36,43,41,40.0,4018
43,Kenneth Walker III,23021,kenneth-walker-rb,KC,6,RB,16,43,45,35,41.0,8151
44,Stefon Diggs,13981,stefon-diggs,,,WR,22,49,34,44,42.3,2449
45,Alvin Kamara,16421,alvin-kamara,NO,12,RB,17,50,50,37,45.7,4035
46,DeVonta Smith,19222,devonta-smith,PHI,5,WR,23,45,47,45,45.7,7525
47,C.J. Stroud,23071,cj-stroud,HOU,14,QB,5,42,46,55,47.7,9758
48,Trey McBride,22936,trey-mcbride,ARI,11,TE,3,47,48,49,48.0,8130
49,Malik Nabers,25409,malik-nabers,NYG,11,WR,24,56,42,47,48.3,11632
50,Mark Andrews,17269,mark-andrews,BAL,14,TE,4,48,49,50,49.0,5012
51,Anthony Richardson Sr.,24347,anthony-richardson,IND,14,QB,6,46,53,53,50.7,9229
52,Dalton Kincaid,25247,dalton-kincaid,BUF,12,TE,5,57,51,48,52.0,10236
53,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,18,54,56,56,55.3,4199
54,Amari Cooper,13894,amari-cooper,,,WR,25,53,55,59,55.7,2309
55,James Conner,16447,james-conner,ARI,11,RB,19,59,59,57,58.3,4137
56,George Kittle,16499,george-kittle,SF,9,TE,6,51,58,71,60.0,4217
57,David Montgomery,18239,david-montgomery,HOU,14,RB,20,52,63,67,60.7,5892
58,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,14,RB,21,62,66,54,60.7,7611
59,George Pickens,22963,george-pickens,DAL,7,WR,26,67,60,58,61.7,8137
60,Tee Higgins,19211,tee-higgins,CIN,12,WR,27,65,57,64,62.0,6801
61,Kyler Murray,18600,kyler-murray,MIN,6,QB,7,55,70,62,62.3,5849
62,D'Andre Swift,19210,dandre-swift,CHI,7,RB,22,74,64,51,63.0,6790
63,Zay Flowers,22916,zay-flowers,BAL,14,WR,28,66,52,72,63.3,9997
64,Tank Dell,25361,nathaniel-dell,HOU,14,WR,29,61,54,75,63.3,9502
65,Kyle Pitts Sr.,20164,kyle-pitts,ATL,12,TE,7,60,61,69,63.3,7553
66,Joe Burrow,19196,joe-burrow,CIN,12,QB,8,58,62,74,64.7,6770
67,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,30,72,68,61,67.0,5927
68,Najee Harris,19302,najee-harris-rb,LAC,5,RB,23,69,69,65,67.7,7528
69,Zamir White,20095,zamir-white,LV,10,RB,24,73,73,60,68.7,8139
70,Rashee Rice,23113,rashee-rice,KC,6,WR,31,78,81,52,70.3,10229
71,Evan Engram,16411,evan-engram,DEN,14,TE,8,71,71,70,70.7,4066
72,Raheem Mostert,14338,raheem-mostert,LV,10,RB,25,63,75,78,72.0,2749
73,Jordan Love,19246,jordan-love,GB,10,QB,9,68,82,66,72.0,6804
74,Christian Kirk,17268,christian-kirk,SF,9,WR,32,82,67,68,72.3,4950
75,Dak Prescott,15600,dak-prescott,DAL,7,QB,10,64,77,77,72.7,3294
76,Keenan Allen,11616,keenan-allen,LAC,5,WR,33,80,65,81,75.3,1479
77,Chris Godwin Jr.,16406,chris-godwin,TB,11,WR,34,87,79,73,79.7,4037
78,Calvin Ridley,17258,calvin-ridley,TEN,5,WR,35,85,80,79,81.3,4981
79,Javonte Williams,22739,javonte-williams,DAL,7,RB,26,92,91,63,82.0,7588
80,Tony Pollard,18705,tony-pollard,TEN,5,RB,27,88,78,80,82.0,5967
81,Jake Ferguson,22718,jake-ferguson,DAL,7,TE,9,76,85,86,82.3,8110
82,Jayden Reed,23020,jayden-reed,GB,10,WR,36,93,74,90,85.7,10222
83,Diontae Johnson,18615,diontae-johnson,,,WR,37,90,94,82,88.7,5937
