rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,9,RB,1,1,2,1.5,4034
2,Justin Jefferson,19236,justin-jefferson,MIN,13,WR,1,2,1,1.5,6794
3,Austin Ekeler,16483,austin-ekeler,,,RB,2,3,4,3.5,4663
4,Ja'Marr Chase,19788,jamarr-chase,CIN,7,WR,2,6,3,4.5,7564
5,Travis Kelce,11594,travis-kelce,KC,10,TE,1,4,6,5.0,1466
6,Tyreek Hill,15802,tyreek-hill,,,WR,3,8,5,6.5,3321
7,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,3,5,8,6.5,9509
8,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,4,9,7,8.0,4866
9,Nick Chubb,17246,nick-chubb,,,RB,5,7,9,8.0,4988
10,Stefon Diggs,13981,stefon-diggs,,,WR,4,11,11,11.0,2449
11,CeeDee Lamb,19202,ceedee-lamb,DAL,7,WR,5,14,10,12.0,6786
12,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,1,12,16,14.0,4046
13,A.J. Brown,18218,aj-brown,NE,11,WR,6,13,15,14.0,5859
14,Derrick Henry,15514,derrick-henry,BAL,13,RB,6,10,20,15.0,3198
15,Josh Jacobs,18269,josh-jacobs,GB,6,RB,7,17,13,15.0,5850
16,Tony Pollard,18705,tony-pollard,TEN,7,RB,8,19,12,15.5,5967
17,Davante Adams,12123,davante-adams,LAR,10,WR,7,16,18,17.0,2133
18,Cooper Kupp,16433,cooper-kupp,SEA,5,WR,8,15,21,18.0,4039
19,Amon-Ra St. Brown,19799,amonra-stbrown,DET,9,WR,9,20,17,18.5,7547
20,Josh Allen,17298,josh-allen-qb,BUF,13,QB,2,18,19,18.5,4984
21,Garrett Wilson,23072,garrett-wilson,NYJ,7,WR,10,24,14,19.0,8146
22,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,3,21,22,21.5,6904
23,Najee Harris,19302,najee-harris-rb,LAC,5,RB,9,22,26,24.0,7528
24,Jaylen Waddle,19790,jaylen-waddle,DEN,9,WR,11,23,25,24.0,7526
25,Chris Olave,20111,chris-olave,NO,11,WR,12,27,23,25.0,8144
26,Travis Etienne Jr.,19231,travis-etienne,NO,11,RB,10,25,27,26.0,7543
27,DeVonta Smith,19222,devonta-smith,PHI,10,WR,13,33,24,28.5,7525
28,Mark Andrews,17269,mark-andrews,BAL,13,TE,2,26,31,28.5,5012
29,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,11,29,28,28.5,7611
30,Joe Mixon,16420,joe-mixon,,,RB,12,28,32,30.0,4018
31,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,9,RB,13,32,30,31.0,9221
32,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,4,30,35,32.5,4881
33,Tee Higgins,19211,tee-higgins,CIN,7,WR,14,31,36,33.5,6801
34,Joe Burrow,19196,joe-burrow,CIN,7,QB,5,34,34,34.0,6770
35,Calvin Ridley,17258,calvin-ridley,TEN,7,WR,15,40,29,34.5,4981
36,DK Metcalf,18219,dk-metcalf,PIT,6,WR,16,35,37,36.0,5846
37,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,17,36,41,38.5,5872
38,Kenneth Walker III,23021,kenneth-walker-rb,KC,10,RB,14,39,38,38.5,8151
39,Dameon Pierce,22947,dameon-pierce,PHI,10,RB,15,46,33,39.5,8129
40,Aaron Jones Sr.,16673,aaron-jones,MIN,13,RB,16,37,42,39.5,4199
41,Justin Herbert,18635,justin-herbert,LAC,5,QB,6,41,39,40.0,6797
42,Amari Cooper,13894,amari-cooper,,,WR,18,44,40,42.0,2309
43,Keenan Allen,11616,keenan-allen,LAC,5,WR,19,42,43,42.5,1479
44,Justin Fields,19781,justin-fields,KC,10,QB,7,47,44,45.5,7591
45,Breece Hall,22982,breece-hall,NYJ,7,RB,17,38,55,46.5,8155
46,T.J. Hockenson,18290,tj-hockenson,MIN,13,TE,3,48,45,46.5,5844
47,Miles Sanders,18283,miles-sanders,,,RB,18,50,49,49.5,6151
48,DJ Moore,17265,dj-moore-wr,BUF,13,WR,20,52,50,51.0,4983
49,George Kittle,16499,george-kittle,SF,9,TE,4,43,60,51.5,4217
50,Alexander Mattison,18621,alexander-mattison,,,RB,19,56,47,51.5,5987
51,Darren Waller,14104,darren-waller,,,TE,5,55,51,53.0,2505
52,Terry McLaurin,18466,terry-mclaurin,WAS,14,WR,21,53,56,54.5,5927
53,DeAndre Hopkins,11606,deandre-hopkins,BAL,13,WR,22,51,59,55.0,1426
54,Trevor Lawrence,19780,trevor-lawrence,JAC,9,QB,8,57,53,55.0,7523
55,Jonathan Taylor,19217,jonathan-taylor,IND,11,RB,20,45,69,57.0,6813
56,Cam Akers,19268,cam-akers,,,RB,21,54,61,57.5,6938
57,Christian Watson,23886,christian-watson,GB,6,WR,23,62,54,58.0,8167
58,Javonte Williams,22739,javonte-williams,DAL,7,RB,22,67,57,62.0,7588
59,James Cook III,22958,james-cook,BUF,13,RB,23,77,48,62.5,8138
60,Rachaad White,23891,rachaad-white,WAS,14,RB,24,73,52,62.5,8136
61,James Conner,16447,james-conner,ARI,14,RB,25,59,66,62.5,4137
62,Mike Williams,16377,mike-williams-wr,,,WR,24,68,58,63.0,
63,Alvin Kamara,16421,alvin-kamara,NO,11,RB,26,58,68,63.0,4035
64,Dalvin Cook,16374,dalvin-cook,,,RB,27,66,62,64.0,4029
65,Drake London,23163,drake-london,ATL,11,WR,25,64,64,64.0,8112
66,Brandon Aiyuk,19252,brandon-aiyuk,SF,9,WR,26,65,65,65.0,6803
67,D'Andre Swift,19210,dandre-swift,CHI,13,RB,28,61,73,67.0,6790
68,Chris Godwin Jr.,16406,chris-godwin,TB,5,WR,27,71,63,67.0,4037
69,Dallas Goedert,17270,dallas-goedert,PHI,10,TE,6,60,76,68.0,5022
70,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,7,63,75,69.0,7553
71,Tyler Lockett,13971,tyler-lockett,LV,13,WR,28,70,70,70.0,2374
72,Christian Kirk,17268,christian-kirk,SF,9,WR,29,76,67,71.5,4950
73,Isiah Pacheco,24333,isiah-pacheco,DET,9,RB,29,69,74,71.5,8205
74,George Pickens,22963,george-pickens,DAL,7,WR,30,78,72,75.0,8137
75,David Montgomery,18239,david-montgomery,HOU,7,RB,30,74,77,75.5,5892
76,Diontae Johnson,18615,diontae-johnson,,,WR,31,84,71,77.5,5937
77,Mike Evans,12119,mike-evans,SF,9,WR,32,72,83,77.5,2216
78,Jerry Jeudy,19201,jerry-jeudy,CLE,5,WR,33,75,80,77.5,6783
79,Michael Pittman Jr.,19278,michael-pittman,PIT,6,WR,34,80,78,79.0,6819
80,AJ Dillon,19358,aj-dillon,CAR,7,RB,31,82,84,83.0,6828
81,Deshaun Watson,16398,deshaun-watson,CLE,5,QB,9,81,87,84.0,4017
82,Evan Engram,16411,evan-engram,DEN,9,TE,8,79,92,85.5,4066
83,Jordan Addison,23107,jordan-addison,MIN,13,WR,35,86,86,86.0,9756
84,Hollywood Brown,18226,marquise-brown,PHI,10,WR,36,83,90,86.5,5848
85,Khalil Herbert,22763,khalil-herbert,,,RB,32,95,79,87.0,7608
86,Jahan Dotson,23101,jahan-dotson,ATL,11,WR,37,92,82,87.0,8119
87,Dak Prescott,15600,dak-prescott,DAL,7,QB,10,88,88,88.0,3294
88,Antonio Gibson,19624,antonio-gibson,,,RB,33,96,81,88.5,6945
89,Pat Freiermuth,20163,pat-freiermuth,PIT,6,TE,9,87,91,89.0,7600
90,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,5,WR,38,85,96,90.5,9488
91,Brian Robinson Jr.,20094,brian-robinson-jr,ATL,11,RB,34,98,85,91.5,8154
92,Tua Tagovailoa,19198,tua-tagovailoa,ATL,11,QB,11,93,99,96.0,6768
93,David Njoku,16399,david-njoku,LAC,5,TE,10,90,105,97.5,4033
94,Jamaal Williams,16424,jamaal-williams,,,RB,35,100,95,97.5,4149
95,Brandin Cooks,12122,brandin-cooks,,,WR,39,103,94,98.5,2197
96,Gabe Davis,19398,gabriel-davis,,,WR,40,97,100,98.5,6943
97,Zach Charbonnet,23152,zach-charbonnet,SEA,5,RB,36,99,104,101.5,9753
98,Aaron Rodgers,9001,aaron-rodgers,PIT,6,QB,12,94,111,102.5,96
99,Courtland Sutton,17253,courtland-sutton,DEN,9,WR,41,119,89,104.0,5045
100,Zay Flowers,22916,zay-flowers,BAL,13,WR,42,104,106,105.0,9997
101,San Francisco 49ers,8270,,,9,DST,1,89,123,106.0,
102,Michael Thomas,15528,michael-thomas-wr,,,WR,43,105,109,107.0,3199
103,Samaje Perine,16423,samaje-perine,CIN,7,RB,37,115,102,108.5,4147
104,Kirk Cousins,11177,kirk-cousins,LV,13,QB,13,110,108,109.0,1166
105,Justin Tucker,11465,justin-tucker,,,K,1,91,128,109.5,1264
106,Rashaad Penny,17308,rashaad-penny,,,RB,38,101,119,110.0,4985
107,Anthony Richardson Sr.,24347,anthony-richardson,IND,11,QB,14,107,113,110.0,9229
108,De'Von Achane,23136,devon-achane,MIA,10,RB,39,124,98,111.0,9226
109,Dalton Kincaid,25247,dalton-kincaid,BUF,13,TE,11,111,114,112.5,10236
110,Kadarius Toney,20119,kadarius-toney,,,WR,44,106,121,113.5,7606
111,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,13,WR,45,120,107,113.5,4040
112,Odell Beckham Jr.,12127,odell-beckham,NYG,13,WR,46,114,115,114.5,2078
113,Raheem Mostert,14338,raheem-mostert,LV,13,RB,40,129,101,115.0,2749
114,Daniel Jones,18232,daniel-jones,IND,11,QB,15,138,93,115.5,5870
115,Skyy Moore,23905,skyy-moore,GB,6,WR,47,137,97,117.0,8168
116,Philadelphia Eagles,8230,,,10,DST,2,102,133,117.5,
117,Treylon Burks,22905,treylon-burks,WAS,14,WR,48,116,122,119.0,8135
118,Elijah Mitchell,22813,elijah-mitchell-rb,PHI,10,RB,41,121,120,120.5,7561
119,Elijah Moore,20114,elijah-moore,PHI,10,WR,49,130,112,121.0,7596
120,Jaylen Warren,24209,jaylen-warren,PIT,6,RB,42,140,103,121.5,8228
121,Quentin Johnston,23123,quentin-johnston,LAC,5,WR,50,109,134,121.5,9754
122,Geno Smith,11687,geno-smith,NYJ,7,QB,16,125,118,121.5,1373
123,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,43,123,124,123.5,3164
124,Dalton Schultz,17349,dalton-schultz,HOU,7,TE,12,118,131,124.5,5001
125,Damien Harris,18230,damien-harris-rb,,,RB,44,126,125,125.5,5890
126,Dallas Cowboys,8080,,,7,DST,3,108,146,127.0,
127,Jared Goff,15501,jared-goff,DET,9,QB,17,146,110,128.0,3163
128,Tank Bigsby,22908,tank-bigsby,PHI,10,RB,45,143,117,130.0,9225
129,Adam Thielen,13429,adam-thielen,,,WR,51,134,126,130.0,1689
130,Jerick McKinnon,12209,jerick-mckinnon,,,RB,46,145,116,130.5,2161
131,Allen Lazard,17301,allen-lazard,,,WR,52,133,132,132.5,5185
132,Cole Kmet,19229,cole-kmet,CHI,13,TE,13,127,150,138.5,6826
133,Tyler Allgeier,24172,tyler-allgeier,ARI,14,RB,47,141,136,138.5,8132
134,Buffalo Bills,8030,,,13,DST,4,113,166,139.5,
