rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,sleeper,rtsports,real_time,avg,sleeper_id
1,Ja'Marr Chase,19788,jamarr-chase,CIN,10,WR,1,1,1,1,1.0,7564
2,Bijan Robinson,23133,bijan-robinson,ATL,5,RB,1,3,2,2,2.5,9509
3,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,2,2,4,3,3.0,4866
4,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,8,RB,3,5,3,4,4.0,9221
5,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,2,4,6,6 -1,5.0,6794
6,CeeDee Lamb,19202,ceedee-lamb,DAL,10,WR,3,6,5,5 +1,5.5,6786
7,Amon-Ra St. Brown,19799,amonra-stbrown,DET,8,WR,4,8,10,10 -3,9.0,7547
8,Malik Nabers,25409,malik-nabers,NYG,14,WR,5,9,9,12 -4,9.0,11632
9,Ashton Jeanty,25989,ashton-jeanty,LV,8,RB,4,11,8,9,9.5,12527
10,Christian McCaffrey,16393,christian-mccaffrey,SF,14,RB,5,14,7,8 +2,10.5,4034
11,Derrick Henry,15514,derrick-henry,BAL,7,RB,6,10,12,7 +4,11.0,3198
12,Nico Collins,20130,nico-collins,HOU,6,WR,6,12,11,13 -1,11.5,7569
13,Puka Nacua,23180,puka-nacua,LAR,8,WR,7,7,17,16 -3,12.0,9493
14,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,8,WR,8,13,14,19 -5,13.5,11631
15,Josh Jacobs,18269,josh-jacobs,GB,5,RB,7,20,13,11 +4,16.5,5850
16,Bucky Irving,25981,bucky-irving,TB,9,RB,8,17,16,21 -5,16.5,11584
17,De'Von Achane,23136,devon-achane,MIA,12,RB,9,16,18,17,17.0,9226
18,Brock Bowers,22955,brock-bowers,LV,8,TE,1,15,21,24 -6,18.0,11604
19,Drake London,23163,drake-london,ATL,5,WR,9,18,19,15 +4,18.5,8112
20,Chase Brown,25324,chase-brown,CIN,10,RB,10,28,15,23 -3,21.5,9224
21,Jonathan Taylor,19217,jonathan-taylor,IND,11,RB,11,23,20,14 +7,21.5,6813
22,A.J. Brown,18218,aj-brown,NE,14,WR,10,19,25,18 +4,22.0,5859
23,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,22,24,20 +3,23.0,4984
24,Lamar Jackson,17233,lamar-jackson,BAL,7,QB,2,25,22,22 +2,23.5,4881
25,Kyren Williams,23059,kyren-williams,LAR,8,RB,12,27,23,27 -2,25.0,8150
26,Ladd McConkey,26122,ladd-mcconkey,LAC,12,WR,11,21,30,26,25.5,11635
27,Trey McBride,22936,trey-mcbride,ARI,8,TE,2,24,27,30 -3,25.5,8130
28,Jayden Daniels,22902,jayden-daniels,WAS,12,QB,3,30,29,31 -3,29.5,11566
29,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,8,WR,12,26,34,37 -8,30.0,9488
30,Tyreek Hill,15802,tyreek-hill,,,WR,13,29,31,38 -8,30.0,3321
31,James Cook III,22958,james-cook,BUF,7,RB,13,35,28,25 +6,31.5,8138
32,Omarion Hampton,25395,omarion-hampton,LAC,12,RB,14,39,26,29 +3,32.5,12507
33,Tee Higgins,19211,tee-higgins,CIN,10,WR,14,31,37,28 +5,34.0,6801
34,Breece Hall,22982,breece-hall,NYJ,9,RB,15,33,35,45 -11,34.0,8155
35,Terry McLaurin,18466,terry-mclaurin,WAS,12,WR,15,34,38,35,36.0,5927
36,Joe Burrow,19196,joe-burrow,CIN,10,QB,4,43,32,40 -4,37.5,6770
37,Garrett Wilson,23072,garrett-wilson,NYJ,9,WR,16,32,44,47 -10,38.0,8146
38,Alvin Kamara,16421,alvin-kamara,NO,11,RB,16,44,33,41 -3,38.5,4035
39,George Kittle,16499,george-kittle,SF,14,TE,3,38,40,33 +6,39.0,4217
40,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,8,WR,17,36,45,39 +1,40.5,11628
41,Jalen Hurts,19275,jalen-hurts,PHI,9,QB,5,40,41,32 +9,40.5,6904
42,Mike Evans,12119,mike-evans,SF,14,WR,18,37,46,34 +8,41.5,2216
43,Kenneth Walker III,23021,kenneth-walker-rb,KC,10,RB,17,45,39,36 +7,42.0,8151
44,Davante Adams,12123,davante-adams,LAR,8,WR,19,42,43,46 -2,42.5,2133
45,Chuba Hubbard,19792,chuba-hubbard,CAR,14,RB,18,47,42,44 +1,44.5,7594
46,TreVeyon Henderson,23065,treveyon-henderson,NE,14,RB,19,63,36,43 +3,49.5,12529
47,James Conner,16447,james-conner,ARI,8,RB,20,51,48,42 +5,49.5,4137
48,DJ Moore,17265,dj-moore-wr,BUF,7,WR,20,48,51,62 -14,49.5,4983
49,Courtland Sutton,17253,courtland-sutton,DEN,12,WR,21,50,49,59 -10,49.5,5045
50,DK Metcalf,18219,dk-metcalf,PIT,5,WR,22,49,53,48 +2,51.0,5846
51,RJ Harvey,27142,rj-harvey,DEN,12,RB,21,58,50,52 -1,54.0,12489
52,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,14,WR,23,60,52,61 -9,56.0,12526
53,DeVonta Smith,19222,devonta-smith,PHI,9,WR,24,54,59,53,56.5,7525
54,Xavier Worthy,23019,xavier-worthy,KC,10,WR,25,56,57,56 -2,56.5,11624
55,Sam LaPorta,22978,sam-laporta,DET,8,TE,4,52,65,51 +4,58.5,10859
56,David Montgomery,18239,david-montgomery,HOU,6,RB,22,55,62,60 -4,58.5,5892
57,Isiah Pacheco,24333,isiah-pacheco,DET,8,RB,23,62,55,54 +3,58.5,8205
58,Jameson Williams,23677,jameson-williams,DET,8,WR,26,57,61,58,59.0,8148
59,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,6,64,56,49 +10,60.0,4046
60,D'Andre Swift,19210,dandre-swift,CHI,5,RB,24,75,47,55 +5,61.0,6790
61,Zay Flowers,22916,zay-flowers,BAL,7,WR,27,53,69,63 -2,61.0,9997
62,Rashee Rice,23113,rashee-rice,KC,10,WR,28,41,82,81 -19,61.5,10229
63,George Pickens,22963,george-pickens,DAL,10,WR,29,61,63,57 +6,62.0,8137
64,Tony Pollard,18705,tony-pollard,TEN,10,RB,25,73,54,50 +14,63.5,5967
65,Aaron Jones Sr.,16673,aaron-jones,MIN,6,RB,26,67,60,66 -1,63.5,4199
66,Calvin Ridley,17258,calvin-ridley,TEN,10,WR,30,77,58,65 +1,67.5,4981
67,T.J. Hockenson,18290,tj-hockenson,MIN,6,TE,5,59,77,64 +3,68.0,5844
68,Jerry Jeudy,19201,jerry-jeudy,CLE,9,WR,31,71,66,83 -15,68.5,6783
69,Travis Hunter,26034,travis-hunter,JAC,8,WR,32,65,74,71 -2,69.5,12530
70,Travis Kelce,11594,travis-kelce,KC,10,TE,6,76,64,69 +1,70.0,1466
71,Baker Mayfield,17237,baker-mayfield,TB,9,QB,7,74,67,73 -2,70.5,4892
72,Jaylen Waddle,19790,jaylen-waddle,DEN,12,WR,33,68,75,68 +4,71.5,7526
73,Chris Olave,20111,chris-olave,NO,11,WR,34,69,76,80 -7,72.5,8144
74,Tyrone Tracy Jr.,22980,tyrone-tracy-jr,NYG,14,RB,27,80,68,70 +4,74.0,11655
75,Bo Nix,22910,bo-nix,DEN,12,QB,8,85,72,72 +3,78.5,11563
76,Kaleb Johnson,27165,kaleb-johnson-rb,PIT,5,RB,28,79,78,74 +2,78.5,12504
77,Rome Odunze,25411,rome-odunze,CHI,5,WR,35,78,81,78 -1,79.5,11620
78,Jaylen Warren,24209,jaylen-warren,PIT,5,RB,29,87,73,79 -1,80.0,8228
79,Joe Mixon,16420,joe-mixon,,,RB,30,46,120,123 -44,83.0,4018
80,Jordan Addison,23107,jordan-addison,MIN,6,WR,36,70,97,98 -18,83.5,9756
81,Ricky Pearsall,26214,ricky-pearsall,SF,14,WR,37,97,70,76 +5,83.5,11638
82,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,38,88,83,82,85.5,5872
83,Mark Andrews,17269,mark-andrews,BAL,7,TE,7,82,93,67 +16,87.5,5012
84,Stefon Diggs,13981,stefon-diggs,,,WR,39,94,84,91 -7,89.0,2449
85,Matthew Golden,26024,matthew-golden,GB,5,WR,40,100,79,87 -2,89.5,12501
86,Travis Etienne Jr.,19231,travis-etienne,NO,11,RB,31,90,89,90 -4,89.5,7543
87,Jakobi Meyers,18598,jakobi-meyers,JAC,8,WR,41,84,96,97 -10,90.0,5947
88,Cooper Kupp,16433,cooper-kupp,SEA,8,WR,42,92,88,104 -16,90.0,4039
89,Evan Engram,16411,evan-engram,DEN,12,TE,8,91,91,93 -4,91.0,4066
90,Khalil Shakir,23748,khalil-shakir,BUF,7,WR,43,83,101,108 -18,92.0,8134
91,Chris Godwin Jr.,16406,chris-godwin,TB,9,WR,44,72,114,118 -27,93.0,4037
92,Emeka Egbuka,23062,emeka-egbuka,TB,9,WR,45,117,71,75 +17,94.0,12514
