rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
1,Todd Gurley II,13912,todd-gurley,,,RB,1,1,&nbsp;,&nbsp;,&nbsp;,1,1,1.0,2315
2,Le'Veon Bell,11645,leveon-bell,,,RB,2,2,&nbsp;,&nbsp;,&nbsp;,3,2,2.4,1408
3,David Johnson,13948,david-johnson-rb,,,RB,3,3,&nbsp;,&nbsp;,&nbsp;,2,3,2.6,2391
4,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,4,4,&nbsp;,&nbsp;,&nbsp;,4,4,4.0,3164
5,Antonio Brown,9808,antonio-brown,,,WR,1,5,&nbsp;,&nbsp;,&nbsp;,6,5,5.2,536
6,Alvin Kamara,16421,alvin-kamara,NO,6,RB,5,7,&nbsp;,&nbsp;,&nbsp;,5,6,6.2,4035
7,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,6,6,&nbsp;,&nbsp;,&nbsp;,7,7,6.6,4866
8,DeAndre Hopkins,11606,deandre-hopkins,BAL,10,WR,2,9,&nbsp;,&nbsp;,&nbsp;,10,8,8.8,1426
9,Leonard Fournette,16378,leonard-fournette,,,RB,7,12,&nbsp;,&nbsp;,&nbsp;,9,12,10.0,3969
10,Kareem Hunt,16425,kareem-hunt,,,RB,8,11,&nbsp;,&nbsp;,&nbsp;,8,9,10.2,4098
11,Odell Beckham Jr.,12127,odell-beckham,NYG,9,WR,3,10,&nbsp;,&nbsp;,&nbsp;,12,11,11.0,2078
12,Melvin Gordon III,13903,melvin-gordon,,,RB,9,14,&nbsp;,&nbsp;,&nbsp;,11,10,11.2,2320
13,Julio Jones,9867,julio-jones,,,WR,4,8,&nbsp;,&nbsp;,&nbsp;,14,13,12.6,947
14,Dalvin Cook,16374,dalvin-cook,,,RB,10,13,&nbsp;,&nbsp;,&nbsp;,15,15,14.2,4029
15,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,11,16,&nbsp;,&nbsp;,&nbsp;,13,17,14.8,4034
16,Michael Thomas,15528,michael-thomas-wr,,,WR,5,17,&nbsp;,&nbsp;,&nbsp;,16,14,15.8,3199
17,Keenan Allen,11616,keenan-allen,LAC,8,WR,6,15,&nbsp;,&nbsp;,&nbsp;,17,16,16.4,1479
18,Davante Adams,12123,davante-adams,LAR,12,WR,7,21,&nbsp;,&nbsp;,&nbsp;,19,18,18.8,2133
19,Devonta Freeman,12108,devonta-freeman,,,RB,12,20,&nbsp;,&nbsp;,&nbsp;,18,20,19.2,2168
20,A.J. Green,9857,aj-green,,,WR,8,19,&nbsp;,&nbsp;,&nbsp;,21,19,20.2,830
21,Rob Gronkowski,9721,rob-gronkowski,,,TE,1,18,&nbsp;,&nbsp;,&nbsp;,20,23,20.6,515
22,Mike Evans,12119,mike-evans,SF,11,WR,9,23,&nbsp;,&nbsp;,&nbsp;,24,21,23.4,2216
23,Jordan Howard,15585,jordan-howard,,,RB,13,26,&nbsp;,&nbsp;,&nbsp;,23,24,23.6,3306
24,Joe Mixon,16420,joe-mixon,,,RB,14,27,&nbsp;,&nbsp;,&nbsp;,22,25,23.8,4018
25,Travis Kelce,11594,travis-kelce,KC,12,TE,2,25,&nbsp;,&nbsp;,&nbsp;,26,26,26.6,1466
26,LeSean McCoy,9398,lesean-mccoy,,,RB,15,24,&nbsp;,&nbsp;,&nbsp;,28,22,26.8,676
27,Tyreek Hill,15802,tyreek-hill,,,WR,10,31,&nbsp;,&nbsp;,&nbsp;,25,28,26.8,3321
28,Aaron Rodgers,9001,aaron-rodgers,PIT,7,QB,1,22,&nbsp;,&nbsp;,&nbsp;,30,34,28.2,96
29,T.Y. Hilton,11206,ty-hilton,,,WR,11,29,&nbsp;,&nbsp;,&nbsp;,27,30,28.2,1110
30,Stefon Diggs,13981,stefon-diggs,,,WR,12,32,&nbsp;,&nbsp;,&nbsp;,32,31,29.8,2449
31,Adam Thielen,13429,adam-thielen,,,WR,13,34,&nbsp;,&nbsp;,&nbsp;,29,27,31.8,1689
32,Larry Fitzgerald,9383,larry-fitzgerald,,,WR,14,30,&nbsp;,&nbsp;,&nbsp;,37,32,33.6,223
33,Kenyan Drake,15637,kenyan-drake,,,RB,16,35,&nbsp;,&nbsp;,&nbsp;,31,35,34.4,3242
34,Amari Cooper,13894,amari-cooper,,,WR,15,36,&nbsp;,&nbsp;,&nbsp;,35,37,34.6,2309
35,Zach Ertz,11689,zach-ertz,,,TE,3,33,&nbsp;,&nbsp;,&nbsp;,34,33,35.0,1339
36,Doug Baldwin,10992,doug-baldwin,,,WR,16,39,&nbsp;,&nbsp;,&nbsp;,39,29,37.0,988
37,Alex Collins,15546,alex-collins,,,RB,17,43,&nbsp;,&nbsp;,&nbsp;,33,41,37.4,3327
38,Jarvis Landry,12128,jarvis-landry,,,WR,17,40,&nbsp;,&nbsp;,&nbsp;,36,45,38.4,1825
39,Royce Freeman,17245,royce-freeman,,,RB,18,37,&nbsp;,&nbsp;,&nbsp;,38,56,41.2,5046
