rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,11,RB,1,1,&nbsp;,&nbsp;,&nbsp;,1,1,1.0,4034
2,Saquon Barkley,17240,saquon-barkley,PHI,9,RB,2,2,&nbsp;,&nbsp;,&nbsp;,2,2,2.0,4866
3,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,3,3,&nbsp;,&nbsp;,&nbsp;,3,3,3.0,3164
4,Dalvin Cook,16374,dalvin-cook,,,RB,4,4,&nbsp;,&nbsp;,&nbsp;,4,6,4.8,4029
5,Michael Thomas,15528,michael-thomas-wr,,,WR,1,6,&nbsp;,&nbsp;,&nbsp;,6,4,5.0,3199
6,Alvin Kamara,16421,alvin-kamara,NO,6,RB,5,5,&nbsp;,&nbsp;,&nbsp;,5,5,5.3,4035
7,Derrick Henry,15514,derrick-henry,BAL,7,RB,6,7,&nbsp;,&nbsp;,&nbsp;,7,8,7.3,3198
8,Davante Adams,12123,davante-adams,LAR,9,WR,2,14,&nbsp;,&nbsp;,&nbsp;,13,7,11.3,2133
9,Josh Jacobs,18269,josh-jacobs,GB,5,RB,7,9,&nbsp;,&nbsp;,&nbsp;,12,18,12.0,5850
10,Joe Mixon,16420,joe-mixon,,,RB,8,22,&nbsp;,&nbsp;,&nbsp;,9,10,12.8,4018
11,Clyde Edwards-Helaire,19325,clyde-edwards-helaire,,,RB,9,8,&nbsp;,&nbsp;,&nbsp;,8,32,14.0,6820
12,Miles Sanders,18283,miles-sanders,,,RB,10,12,&nbsp;,&nbsp;,&nbsp;,10,20,14.0,6151
13,Austin Ekeler,16483,austin-ekeler,,,RB,11,21,&nbsp;,&nbsp;,&nbsp;,11,13,14.3,4663
14,Tyreek Hill,15802,tyreek-hill,,,WR,3,13,&nbsp;,&nbsp;,&nbsp;,17,12,14.8,3321
15,Nick Chubb,17246,nick-chubb,,,RB,12,10,&nbsp;,&nbsp;,&nbsp;,18,16,15.0,4988
16,Kenyan Drake,15637,kenyan-drake,,,RB,13,16,&nbsp;,&nbsp;,&nbsp;,14,17,15.0,3242
17,Julio Jones,9867,julio-jones,,,WR,4,15,&nbsp;,&nbsp;,&nbsp;,20,11,15.3,947
18,DeAndre Hopkins,11606,deandre-hopkins,BAL,7,WR,5,19,&nbsp;,&nbsp;,&nbsp;,15,9,15.5,1426
19,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,14,18,&nbsp;,&nbsp;,&nbsp;,16,21,18.3,4199
20,Travis Kelce,11594,travis-kelce,KC,10,TE,1,20,&nbsp;,&nbsp;,&nbsp;,19,15,18.8,1466
21,Patrick Mahomes II,16413,patrick-mahomes,KC,10,QB,1,11,&nbsp;,&nbsp;,&nbsp;,22,27,20.0,4046
22,Chris Godwin Jr.,16406,chris-godwin,TB,13,WR,6,24,&nbsp;,&nbsp;,&nbsp;,23,14,20.8,4037
23,Lamar Jackson,17233,lamar-jackson,BAL,7,QB,2,17,&nbsp;,&nbsp;,&nbsp;,21,22,21.0,4881
24,George Kittle,16499,george-kittle,SF,11,TE,2,23,&nbsp;,&nbsp;,&nbsp;,25,19,23.3,4217
25,Kenny Golladay,16488,kenny-golladay,,,WR,7,27,&nbsp;,&nbsp;,&nbsp;,27,23,26.0,4131
26,Mike Evans,12119,mike-evans,SF,11,WR,8,25,&nbsp;,&nbsp;,&nbsp;,31,24,27.0,2216
27,Chris Carson,16754,chris-carson,,,RB,15,31,&nbsp;,&nbsp;,&nbsp;,24,41,30.3,4273
28,DJ Moore,17265,dj-moore-wr,BUF,11,WR,9,29,&nbsp;,&nbsp;,&nbsp;,30,29,30.3,4983
29,Todd Gurley II,13912,todd-gurley,,,RB,16,32,&nbsp;,&nbsp;,&nbsp;,28,33,30.8,2315
30,Allen Robinson II,12126,allen-robinson,,,WR,10,34,&nbsp;,&nbsp;,&nbsp;,35,25,32.0,1992
31,Odell Beckham Jr.,12127,odell-beckham,NYG,11,WR,11,33,&nbsp;,&nbsp;,&nbsp;,34,26,32.0,2078
32,Adam Thielen,13429,adam-thielen,,,WR,12,26,&nbsp;,&nbsp;,&nbsp;,36,36,32.3,1689
33,JuJu Smith-Schuster,16427,juju-smith-schuster,NYG,11,WR,13,30,&nbsp;,&nbsp;,&nbsp;,40,28,33.8,4040
34,James Conner,16447,james-conner,ARI,8,RB,17,41,&nbsp;,&nbsp;,&nbsp;,26,49,34.8,4137
35,Amari Cooper,13894,amari-cooper,,,WR,14,28,&nbsp;,&nbsp;,&nbsp;,43,31,35.3,2309
36,David Johnson,13948,david-johnson-rb,,,RB,18,37,&nbsp;,&nbsp;,&nbsp;,29,46,35.3,2391
37,Le'Veon Bell,11645,leveon-bell,,,RB,19,46,&nbsp;,&nbsp;,&nbsp;,32,37,37.8,1408
38,Cooper Kupp,16433,cooper-kupp,SEA,6,WR,15,43,&nbsp;,&nbsp;,&nbsp;,33,35,38.0,4039
39,Melvin Gordon III,13903,melvin-gordon,,,RB,20,48,&nbsp;,&nbsp;,&nbsp;,37,39,40.5,2320
40,Zach Ertz,11689,zach-ertz,,,TE,3,38,&nbsp;,&nbsp;,&nbsp;,45,34,42.0,1339
41,Mark Andrews,17269,mark-andrews,BAL,7,TE,4,36,&nbsp;,&nbsp;,&nbsp;,46,45,42.3,5012
42,A.J. Brown,18218,aj-brown,NE,5,WR,16,44,&nbsp;,&nbsp;,&nbsp;,42,38,42.3,5859
43,Jonathan Taylor,19217,jonathan-taylor,IND,7,RB,21,51,&nbsp;,&nbsp;,&nbsp;,38,50,42.8,6813
44,Calvin Ridley,17258,calvin-ridley,TEN,4,WR,17,40,&nbsp;,&nbsp;,&nbsp;,49,43,43.0,4981
45,Robert Woods,11610,robert-woods,,,WR,18,45,&nbsp;,&nbsp;,&nbsp;,51,44,46.0,1352
46,Courtland Sutton,17253,courtland-sutton,DEN,5,WR,19,39,&nbsp;,&nbsp;,&nbsp;,48,42,46.5,5045
47,Keenan Allen,11616,keenan-allen,LAC,6,WR,20,52,&nbsp;,&nbsp;,&nbsp;,54,40,50.5,1479
48,Tyler Lockett,13971,tyler-lockett,LV,6,WR,21,42,&nbsp;,&nbsp;,&nbsp;,64,48,51.0,2374
49,DK Metcalf,18219,dk-metcalf,PIT,4,WR,22,54,&nbsp;,&nbsp;,&nbsp;,47,57,51.3,5846
50,Devin Singletary,18280,devin-singletary,NYG,11,RB,22,66,&nbsp;,&nbsp;,&nbsp;,41,55,53.8,6130
51,Dak Prescott,15600,dak-prescott,DAL,10,QB,3,49,&nbsp;,&nbsp;,&nbsp;,55,56,53.8,3294
52,DJ Chark Jr.,17292,dj-chark,,,WR,23,60,&nbsp;,&nbsp;,&nbsp;,57,51,54.3,4951
53,Raheem Mostert,14338,raheem-mostert,LV,6,RB,23,65,&nbsp;,&nbsp;,&nbsp;,39,69,54.8,2749
54,Cam Akers,19268,cam-akers,,,RB,24,56,&nbsp;,&nbsp;,&nbsp;,44,71,54.8,6938
55,Mark Ingram II,9872,mark-ingram,,,RB,25,64,&nbsp;,&nbsp;,&nbsp;,52,61,55.0,956
56,Terry McLaurin,18466,terry-mclaurin,WAS,8,WR,24,57,&nbsp;,&nbsp;,&nbsp;,60,58,56.8,5927
57,T.Y. Hilton,11206,ty-hilton,,,WR,25,55,&nbsp;,&nbsp;,&nbsp;,63,52,57.0,1110
58,Darren Waller,14104,darren-waller,,,TE,5,53,&nbsp;,&nbsp;,&nbsp;,61,54,57.3,2505
59,Kareem Hunt,16425,kareem-hunt,,,RB,26,58,&nbsp;,&nbsp;,&nbsp;,53,67,58.0,4098
60,Kyler Murray,18600,kyler-murray,MIN,7,QB,4,50,&nbsp;,&nbsp;,&nbsp;,59,60,58.5,5849
61,Deshaun Watson,16398,deshaun-watson,CLE,9,QB,5,35,&nbsp;,&nbsp;,&nbsp;,67,66,59.0,4017
62,Leonard Fournette,16378,leonard-fournette,,,RB,27,68,&nbsp;,&nbsp;,&nbsp;,50,30,59.3,3969
63,Russell Wilson,11180,russell-wilson,,,QB,6,47,&nbsp;,&nbsp;,&nbsp;,65,63,59.5,1234
64,DeVante Parker,13897,devante-parker,,,WR,26,71,&nbsp;,&nbsp;,&nbsp;,62,47,62.3,2319
65,Stefon Diggs,13981,stefon-diggs,,,WR,27,63,&nbsp;,&nbsp;,&nbsp;,69,53,63.0,2449
66,David Montgomery,18239,david-montgomery,HOU,8,RB,28,73,&nbsp;,&nbsp;,&nbsp;,58,62,63.8,5892
67,D'Andre Swift,19210,dandre-swift,CHI,11,RB,29,69,&nbsp;,&nbsp;,&nbsp;,66,64,65.8,6790
68,Hollywood Brown,18226,marquise-brown,PHI,9,WR,28,75,&nbsp;,&nbsp;,&nbsp;,68,77,69.8,5848
69,A.J. Green,9857,aj-green,,,WR,29,70,&nbsp;,&nbsp;,&nbsp;,79,59,70.0,830
70,Jarvis Landry,12128,jarvis-landry,,,WR,30,59,&nbsp;,&nbsp;,&nbsp;,80,65,73.0,1825
71,Evan Engram,16411,evan-engram,DEN,5,TE,6,62,&nbsp;,&nbsp;,&nbsp;,77,76,73.5,4066
72,Tyler Boyd,15547,tyler-boyd,,,WR,31,78,&nbsp;,&nbsp;,&nbsp;,70,70,73.8,3225
73,Michael Gallup,17259,michael-gallup,,,WR,32,72,&nbsp;,&nbsp;,&nbsp;,78,74,74.8,5038
74,William Fuller V,15629,will-fuller,,,WR,33,80,&nbsp;,&nbsp;,&nbsp;,72,80,75.5,3157
75,Julian Edelman,9332,julian-edelman,,,WR,34,79,&nbsp;,&nbsp;,&nbsp;,75,68,76.0,344
76,Rob Gronkowski,9721,rob-gronkowski,,,TE,7,67,&nbsp;,&nbsp;,&nbsp;,81,96,78.8,515
77,James White,12195,james-white,,,RB,30,101,&nbsp;,&nbsp;,&nbsp;,71,78,80.8,1848
78,Tom Brady,9603,tom-brady,,,QB,7,61,&nbsp;,&nbsp;,&nbsp;,82,92,81.5,167
79,Tyler Higbee,15623,tyler-higbee,LAR,9,TE,8,74,&nbsp;,&nbsp;,&nbsp;,89,79,83.5,3271
80,Drew Brees,9200,drew-brees,,,QB,8,76,&nbsp;,&nbsp;,&nbsp;,97,82,83.8,289
81,Matt Ryan,9444,matt-ryan,,,QB,9,82,&nbsp;,&nbsp;,&nbsp;,87,85,84.8,24
82,Deebo Samuel Sr.,18244,deebo-samuel,,,WR,35,85,&nbsp;,&nbsp;,&nbsp;,93,73,85.3,5872
83,J.K. Dobbins,19245,jk-dobbins,DEN,5,RB,31,99,&nbsp;,&nbsp;,&nbsp;,73,105,85.8,6806
84,Hunter Henry,15561,hunter-henry,NE,5,TE,9,91,&nbsp;,&nbsp;,&nbsp;,86,72,86.5,3214
85,Tarik Cohen,16450,tarik-cohen,,,RB,32,87,&nbsp;,&nbsp;,&nbsp;,76,97,86.5,4157
86,Brandin Cooks,12122,brandin-cooks,,,WR,36,92,&nbsp;,&nbsp;,&nbsp;,91,84,87.5,2197
87,Ronald Jones II,17243,ronald-jones-ii,,,RB,33,97,&nbsp;,&nbsp;,&nbsp;,94,103,88.5,
88,Phillip Lindsay,17498,phillip-lindsay,,,RB,34,94,&nbsp;,&nbsp;,&nbsp;,85,89,88.8,5170
89,Marvin Jones Jr.,11215,marvin-jones,,,WR,37,88,&nbsp;,&nbsp;,&nbsp;,90,81,90.0,1067
90,Jordan Howard,15585,jordan-howard,,,RB,35,103,&nbsp;,&nbsp;,&nbsp;,74,104,91.3,3306
91,Josh Allen,17298,josh-allen-qb,BUF,11,QB,10,98,&nbsp;,&nbsp;,&nbsp;,99,75,93.8,4984
92,Aaron Rodgers,9001,aaron-rodgers,PIT,4,QB,11,93,&nbsp;,&nbsp;,&nbsp;,109,88,97.5,96
93,Marlon Mack,16444,marlon-mack,,,RB,36,130,&nbsp;,&nbsp;,&nbsp;,83,108,99.3,4152
94,Kerryon Johnson,17247,kerryon-johnson,,,RB,37,96,&nbsp;,&nbsp;,&nbsp;,108,100,99.8,5068
95,Matt Breida,17058,matt-breida,,,RB,38,114,&nbsp;,&nbsp;,&nbsp;,100,90,100.5,4455
96,Diontae Johnson,18615,diontae-johnson,,,WR,38,102,&nbsp;,&nbsp;,&nbsp;,92,112,100.5,5937
97,Antonio Gibson,19624,antonio-gibson,,,RB,39,77,&nbsp;,&nbsp;,&nbsp;,56,197,101.0,6945
98,Christian Kirk,17268,christian-kirk,SF,11,WR,39,112,&nbsp;,&nbsp;,&nbsp;,95,83,102.5,4950
99,Zack Moss,19263,zack-moss,,,RB,40,109,&nbsp;,&nbsp;,&nbsp;,84,143,103.5,6845
100,CeeDee Lamb,19202,ceedee-lamb,DAL,10,WR,40,113,&nbsp;,&nbsp;,&nbsp;,101,110,104.5,6786
101,Jamison Crowder,13976,jamison-crowder,,,WR,41,110,&nbsp;,&nbsp;,&nbsp;,111,91,104.8,2410
102,Carson Wentz,15520,carson-wentz,MIN,7,QB,12,104,&nbsp;,&nbsp;,&nbsp;,105,99,105.3,3161
103,Jared Cook,9265,jared-cook,,,TE,10,86,&nbsp;,&nbsp;,&nbsp;,123,95,105.5,367
104,Sterling Shepard,15569,sterling-shepard,,,WR,42,95,&nbsp;,&nbsp;,&nbsp;,117,94,105.5,3200
105,Hayden Hurst,17283,hayden-hurst,,,TE,11,115,&nbsp;,&nbsp;,&nbsp;,96,133,106.3,4973
106,Emmanuel Sanders,9707,emmanuel-sanders,,,WR,43,116,&nbsp;,&nbsp;,&nbsp;,104,102,106.5,538
107,San Francisco 49ers,8270,,,11,DST,1,83,&nbsp;,&nbsp;,&nbsp;,112,126,107.5,
108,Latavius Murray,11821,latavius-murray,,,RB,41,131,&nbsp;,&nbsp;,&nbsp;,88,118,107.5,1476
109,Matthew Stafford,9451,matthew-stafford,LAR,9,QB,13,117,&nbsp;,&nbsp;,&nbsp;,107,106,110.5,421
110,Sony Michel,17309,sony-michel,,,RB,42,148,&nbsp;,&nbsp;,&nbsp;,98,93,112.3,4962
111,Tevin Coleman,13926,tevin-coleman,,,RB,43,127,&nbsp;,&nbsp;,&nbsp;,106,116,113.5,2378
112,Jerry Jeudy,19201,jerry-jeudy,CLE,9,WR,44,118,&nbsp;,&nbsp;,&nbsp;,118,109,114.8,6783
113,Darius Slayton,18706,darius-slayton,NYG,11,WR,45,129,&nbsp;,&nbsp;,&nbsp;,113,101,115.0,6149
114,Noah Fant,17527,noah-fant,NO,6,TE,12,108,&nbsp;,&nbsp;,&nbsp;,115,114,115.0,5857
115,Pittsburgh Steelers,8240,,,4,DST,2,81,&nbsp;,&nbsp;,&nbsp;,122,137,115.3,
116,Henry Ruggs III,19207,henry-ruggs,,,WR,46,111,&nbsp;,&nbsp;,&nbsp;,119,128,116.5,6789
117,John Brown,12231,john-brown,,,WR,47,126,&nbsp;,&nbsp;,&nbsp;,102,87,117.0,2238
118,Alexander Mattison,18621,alexander-mattison,,,RB,44,135,&nbsp;,&nbsp;,&nbsp;,121,132,121.8,5987
119,Austin Hooper,15581,austin-hooper,ATL,10,TE,13,136,&nbsp;,&nbsp;,&nbsp;,124,86,122.0,3202
120,Baltimore Ravens,8020,,,7,DST,3,100,&nbsp;,&nbsp;,&nbsp;,125,142,123.8,
121,Justin Jefferson,19236,justin-jefferson,MIN,7,WR,48,145,&nbsp;,&nbsp;,&nbsp;,114,111,125.0,6794
122,Preston Williams,18612,preston-williams,,,WR,49,121,&nbsp;,&nbsp;,&nbsp;,132,127,128.3,6148
123,Buffalo Bills,8030,,,11,DST,4,84,&nbsp;,&nbsp;,&nbsp;,139,159,128.5,
124,Darrell Henderson Jr.,18588,darrell-henderson,,,RB,45,124,&nbsp;,&nbsp;,&nbsp;,150,115,128.8,5916
125,Daniel Jones,18232,daniel-jones,IND,7,QB,14,141,&nbsp;,&nbsp;,&nbsp;,127,122,131.3,5870
126,Duke Johnson Jr.,13939,duke-johnson,,,RB,46,138,&nbsp;,&nbsp;,&nbsp;,128,123,131.5,2382
127,Mecole Hardman Jr.,18587,mecole-hardman,BUF,11,WR,50,139,&nbsp;,&nbsp;,&nbsp;,134,148,133.0,5917
128,Ben Roethlisberger,9039,ben-roethlisberger,,,QB,15,142,&nbsp;,&nbsp;,&nbsp;,130,125,133.8,138
129,Justin Tucker,11465,justin-tucker,,,K,1,90,&nbsp;,&nbsp;,&nbsp;,135,160,134.0,1264
130,T.J. Hockenson,18290,tj-hockenson,MIN,7,TE,14,125,&nbsp;,&nbsp;,&nbsp;,137,129,134.8,5844
131,Boston Scott,17612,boston-scott,,,RB,47,169,&nbsp;,&nbsp;,&nbsp;,116,140,135.0,5122
132,Harrison Butker,16712,harrison-butker,KC,10,K,2,89,&nbsp;,&nbsp;,&nbsp;,141,158,135.8,4227
133,Tony Pollard,18705,tony-pollard,TEN,4,RB,48,154,&nbsp;,&nbsp;,&nbsp;,131,134,136.5,5967
134,Golden Tate,9683,golden-tate,,,WR,51,122,&nbsp;,&nbsp;,&nbsp;,156,121,137.3,642
135,Robbie Chosen,15688,robby-anderson,,,WR,52,128,&nbsp;,&nbsp;,&nbsp;,129,117,138.8,3423
136,Anthony Miller,17255,anthony-miller,,,WR,53,162,&nbsp;,&nbsp;,&nbsp;,146,113,139.3,5013
137,Mike Gesicki,17272,mike-gesicki,CIN,9,TE,15,143,&nbsp;,&nbsp;,&nbsp;,140,120,139.3,4993
138,Chase Edmonds,17496,chase-edmonds,WAS,8,RB,49,164,&nbsp;,&nbsp;,&nbsp;,126,163,139.8,5000
139,DeSean Jackson,9186,desean-jackson,,,WR,54,137,&nbsp;,&nbsp;,&nbsp;,147,153,141.5,147
140,New England Patriots,8180,,,5,DST,5,107,&nbsp;,&nbsp;,&nbsp;,149,167,142.0,
141,Jared Goff,15501,jared-goff,DET,5,QB,16,153,&nbsp;,&nbsp;,&nbsp;,136,136,143.5,3163
142,Chicago Bears,8050,,,11,DST,6,123,&nbsp;,&nbsp;,&nbsp;,155,168,146.3,
143,Baker Mayfield,17237,baker-mayfield,TB,13,QB,17,165,&nbsp;,&nbsp;,&nbsp;,145,124,148.3,4892
144,Wil Lutz,16026,wil-lutz,DEN,5,K,3,105,&nbsp;,&nbsp;,&nbsp;,152,171,149.0,3678
145,Nyheim Miller-Hines,17297,nyheim-hines,,,RB,50,170,&nbsp;,&nbsp;,&nbsp;,142,139,149.5,5347
146,Joe Burrow,19196,joe-burrow,CIN,9,QB,18,146,&nbsp;,&nbsp;,&nbsp;,166,145,149.5,6770
147,Mike Williams,16377,mike-williams-wr,,,WR,55,149,&nbsp;,&nbsp;,&nbsp;,164,107,149.8,
148,Sammy Watkins,12118,sammy-watkins,,,WR,56,156,&nbsp;,&nbsp;,&nbsp;,177,135,153.5,1817
149,Ryquell Armstead,18521,ryquell-armstead,,,RB,51,202,&nbsp;,&nbsp;,&nbsp;,103,200,156.8,6007
150,Ryan Tannehill,11174,ryan-tannehill,,,QB,19,163,&nbsp;,&nbsp;,&nbsp;,165,130,157.5,1049
