rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,nfl,rtsports,fantrax,avg,sleeper_id
1,Christian McCaffrey,16393,christian-mccaffrey,SF,6,RB,1,1,1,&nbsp;,1,1,1,1.0,4034
2,Dalvin Cook,16374,dalvin-cook,,,RB,2,2,2,&nbsp;,2,2,2,2.0,4029
3,Alvin Kamara,16421,alvin-kamara,NO,6,RB,3,3,3,&nbsp;,4,3,3,3.0,4035
4,Derrick Henry,15514,derrick-henry,BAL,8,RB,4,4,4,&nbsp;,3,4,4,4.0,3198
5,Ezekiel Elliott,15498,ezekiel-elliott,,,RB,5,8,5,&nbsp;,8,5,5,5.8,3164
6,Davante Adams,12123,davante-adams,LAR,11,WR,1,5,10,&nbsp;,10,6,6,6.6,2133
7,Travis Kelce,11594,travis-kelce,KC,12,TE,1,7,12,&nbsp;,5,9,8,8.4,1466
8,Aaron Jones Sr.,16673,aaron-jones,MIN,7,RB,6,10,11,&nbsp;,7,11,10,9.4,4199
9,Saquon Barkley,17240,saquon-barkley,PHI,14,RB,7,6,7,&nbsp;,9,10,11,9.6,4866
10,Austin Ekeler,16483,austin-ekeler,,,RB,8,13,13,&nbsp;,6,8,12,10.4,4663
11,Jonathan Taylor,19217,jonathan-taylor,IND,14,RB,9,11,9,&nbsp;,12,7,7,10.4,6813
12,Nick Chubb,17246,nick-chubb,,,RB,10,12,6,&nbsp;,11,12,9,10.4,4988
13,Tyreek Hill,15802,tyreek-hill,,,WR,2,9,8,&nbsp;,13,13,13,10.6,3321
14,Stefon Diggs,13981,stefon-diggs,,,WR,3,14,15,&nbsp;,14,14,14,14.0,2449
15,Najee Harris,19302,najee-harris-rb,LAC,7,RB,11,15,16,&nbsp;,16,16,15,15.6,7528
16,DeAndre Hopkins,11606,deandre-hopkins,BAL,8,WR,4,17,17,&nbsp;,17,19,17,17.2,1426
17,Antonio Gibson,19624,antonio-gibson,,,RB,12,16,21,&nbsp;,20,15,16,17.6,6945
18,Patrick Mahomes II,16413,patrick-mahomes,KC,12,QB,1,19,14,&nbsp;,15,21,21,18.2,4046
