rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,espn,sleeper,cbs,rtsports,fantrax,real_time,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,1,1,1,1,1,1,1,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,2,2,2,2,2,2,2,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3,3,3,3,3,3,3,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4,4,4,4,4,4,4,9493
5,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,7,5,7,5,5,5,5.8,4034
6,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,5,7,5,6,7,7,6,6813
7,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,6,6,6,7,6,6,6.2,9488
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,8,8,8,9,8,8,8.2,7547
9,James Cook III,22958,james-cook,BUF,7,RB,5,9,9,9,8,9,9,8.8,8138
10,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,5,10,10,12,14,10,10,11.2,6786
11,De'Von Achane,23136,devon-achane,MIA,6,RB,6,12,13,11,10,13,14,11.8,9226
12,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,6,11,11,15,12,11,12,12,6794
13,Chase Brown,25324,chase-brown,CIN,6,RB,7,16,14,10,11,12,13,12.6,9224
14,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,8,13,12,13,15,14,11,13.4,4866
15,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,9,15,15,17,13,15,16,15,12507
16,Derrick Henry,15514,derrick-henry,BAL,13,RB,10,14,18,14,18,19,17,16.6,3198
17,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,11,23,19,16,16,16,15,18,8151
18,A.J. Brown,18218,aj-brown,NE,11,WR,7,19,17,18,19,17,18,18,5859
19,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,12,20,16,22,17,18,19,18.6,12527
20,Drake London,23163,drake-london,ATL,11,WR,8,18,20,20,22,21,20,20.2,8112
21,Brock Bowers,22955,brock-bowers,LV,13,TE,1,22,23,25,24,20,22,22.8,11604
22,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,17,21,19,28,31,24,23.2,4984
23,Nico Collins,20130,nico-collins,HOU,8,WR,9,25,24,24,23,22,21,23.6,7569
24,George Pickens,22963,george-pickens,DAL,14,WR,10,26,22,21,25,27,23,24.2,8137
25,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,21,25,28,27,25,28,25.2,8130
26,Chris Olave,20111,chris-olave,NO,8,WR,11,28,30,27,21,24,27,26,8144
27,Javonte Williams,22739,javonte-williams,DAL,14,RB,13,29,32,29,20,28,29,27.6,7588
28,Kyren Williams,23059,kyren-williams,LAR,11,RB,14,31,27,26,30,26,25,28,8150
29,Malik Nabers,25409,malik-nabers,NYG,8,WR,12,33,26,30,29,23,26,28.2,11632
30,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,15,24,28,33,26,33,31,28.8,13287
31,Rashee Rice,23113,rashee-rice,KC,5,WR,13,27,29,23,36,30,32,29,10229
32,DeVonta Smith,19222,devonta-smith,PHI,10,WR,14,34,33,31,35,29,30,32.4,7525
33,Breece Hall,22982,breece-hall,NYJ,13,RB,16,32,34,39,31,32,33,33.6,8155
34,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,36,43,32,32,35,39,35.6,7543
35,Zay Flowers,22916,zay-flowers,BAL,13,WR,15,39,41,34,37,34,34,37,9997
36,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,18,40,40,36,41,39,42,39.2,12481
37,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,16,38,37,42,47,36,41,40,12526
38,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,30,31,41,52,48,35,40.4,4881
39,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,37,39,40,44,42,40,40.4,12517
40,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,17,35,45,45,40,38,43,40.6,8146
41,Tee Higgins,19211,tee-higgins,CIN,6,WR,18,49,35,37,51,37,36,41.8,6801
42,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,19,41,38,44,49,40,44,42.4,12514
43,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,20,43,36,38,42,55,37,42.8,11635
44,D'Andre Swift,19210,dandre-swift,CHI,10,RB,19,48,51,35,39,44,45,43.4,6790
45,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,20,45,53,47,34,46,53,45,12512
46,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,21,51,44,46,50,41,38,46.4,7526
47,Bucky Irving,25981,bucky-irving,TB,10,RB,21,53,42,43,38,57,46,46.6,11584
48,DJ Moore,17265,dj-moore-wr,BUF,7,WR,22,54,54,48,33,52,48,48.2,4983
49,David Montgomery,18239,david-montgomery,HOU,8,RB,22,56,47,49,46,49,47,49.4,5892
50,Davante Adams,12123,davante-adams,LAR,11,WR,23,42,50,53,58,47,51,50,2133
51,Tyler Warren,26434,tyler-warren,IND,13,TE,4,46,49,55,54,53,49,51.4,12518
52,Drake Maye,23046,drake-maye,NE,11,QB,3,44,48,51,65,56,50,52.8,11564
53,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,24,65,56,58,43,43,52,53,12519
54,Joe Burrow,19196,joe-burrow,CIN,6,QB,4,50,52,50,60,54,56,53.2,6770
55,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,23,57,61,54,48,58,59,55.6,12490
56,Jadarian Price,27329,jadarian-price,SEA,11,RB,24,59,62,52,45,61,55,55.8,13286
57,Jameson Williams,23677,jameson-williams,DET,6,WR,25,58,60,56,55,50,57,55.8,8148
58,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,26,55,55,57,61,51,54,55.8,5927
59,Rome Odunze,25411,rome-odunze,CHI,10,WR,27,60,65,60,59,62,61,61.2,11620
60,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,5,52,58,62,77,69,58,63.6,6904
61,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,25,68,59,69,56,67,67,63.8,12529
62,Parker Washington,23106,parker-washington,JAC,7,WR,28,81,73,67,57,45,62,64.6,9487
63,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,6,47,66,64,78,68,69,64.6,11566
64,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,26,67,78,66,53,60,66,64.8,7611
65,Christian Watson,23886,christian-watson,GB,11,WR,29,80,68,61,64,59,60,66.4,8167
66,Harold Fannin Jr.,27050,harold-fannin-jr,CLE,11,TE,5,63,72,63,67,79,74,68.8,12506
67,Mike Evans,12119,mike-evans,SF,8,WR,30,74,63,71,74,64,65,69.2,2216
68,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,27,76,71,75,63,70,68,71,8228
69,Tucker Kraft,25298,tucker-kraft,GB,11,TE,6,83,64,70,71,73,63,72.2,9484
70,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,31,69,76,68,79,74,73,73.2,11628
71,Sam LaPorta,22978,sam-laporta,DET,6,TE,7,66,57,65,96,87,64,74.2,10859
72,Kyle Pitts Sr.,20164,kyle-pitts,ATL,11,TE,8,61,67,74,86,83,71,74.2,7553
73,Dak Prescott,15600,dak-prescott,DAL,14,QB,7,64,77,59,95,80,78,75,3294
74,Tony Pollard,18705,tony-pollard,TEN,9,RB,28,79,84,72,68,76,77,75.8,5967
75,Caleb Williams,23084,caleb-williams,CHI,10,QB,8,75,70,73,87,75,70,76,11560
