rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,bb10,rtsports,underdog,drafters,draftkings,real_time,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,1,1,1,1,1,1,1,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,2,2,2,2,2,2,2,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3,3,3,3,3,3,3,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4,4,4,4,4,4,4,9493
5,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,5,6,5,5,5,6,5.2,9488
6,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,7,5,6,7,7,5,6.4,4034
7,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,6,9,7,6,6,8,6.8,7547
8,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,8,7,8,8,8,7,7.8,6813
9,James Cook III,22958,james-cook,BUF,7,RB,5,9,8,9,9,9,9,8.8,8138
10,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,5,10,14,10,10,10,10,10.8,6786
11,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,6,11,12,11,11,11,12,11.2,6794
12,Chase Brown,25324,chase-brown,CIN,6,RB,6,12,11,14,12,14,13,12.6,9224
13,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,7,16,15,12,13,13,11,13.8,4866
14,De'Von Achane,23136,devon-achane,MIA,6,RB,8,15,10,16,15,19,14,15,9226
15,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,9,17,16,13,14,16,15,15.2,8151
16,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,10,13,13,17,16,20,16,15.8,12507
17,Brock Bowers,22955,brock-bowers,LV,13,TE,1,20,19,20,18,12,22,17.8,11604
18,A.J. Brown,18218,aj-brown,NE,11,WR,7,18,18,19,20,15,18,18,5859
19,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,11,14,17,18,17,27,19,18.6,12527
20,Derrick Henry,15514,derrick-henry,BAL,13,RB,12,21,21,15,19,21,17,19.4,3198
21,Drake London,23163,drake-london,ATL,11,WR,8,19,22,23,23,25,20,22.4,8112
22,Nico Collins,20130,nico-collins,HOU,8,WR,9,23,27,21,21,22,21,22.8,7569
23,George Pickens,22963,george-pickens,DAL,14,WR,10,22,24,24,24,23,23,23.4,8137
24,Chris Olave,20111,chris-olave,NO,8,WR,11,24,23,25,22,24,27,23.6,8144
25,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,26,25,28,28,17,28,24.8,8130
26,Malik Nabers,25409,malik-nabers,NYG,8,WR,12,25,28,22,25,28,26,25.6,11632
27,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,30,20,37,33,18,24,27.6,4984
28,Javonte Williams,22739,javonte-williams,DAL,14,RB,13,31,26,31,26,31,29,29,7588
29,DeVonta Smith,19222,devonta-smith,PHI,10,WR,13,28,34,26,27,32,30,29.4,7525
30,Rashee Rice,23113,rashee-rice,KC,5,WR,14,27,36,27,30,29,32,29.8,10229
31,Kyren Williams,23059,kyren-williams,LAR,11,RB,14,34,30,29,29,30,25,30.4,8150
32,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,15,32,29,30,31,40,31,32.4,13287
33,Zay Flowers,22916,zay-flowers,BAL,13,WR,15,29,35,33,32,35,34,32.8,9997
34,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,16,33,42,34,34,34,37,35.4,11635
35,Breece Hall,22982,breece-hall,NYJ,13,RB,16,37,32,32,35,46,33,36.4,8155
36,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,41,31,39,38,37,39,37.2,7543
37,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,42,38,43,41,26,40,38,12517
38,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,17,35,41,38,36,44,43,38.8,8146
39,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,18,36,47,36,37,41,38,39.4,7526
40,DJ Moore,17265,dj-moore-wr,BUF,7,WR,19,44,33,51,39,39,48,41.2,4983
41,Tee Higgins,19211,tee-higgins,CIN,6,WR,20,39,52,35,40,42,36,41.6,6801
42,D'Andre Swift,19210,dandre-swift,CHI,10,RB,18,45,40,42,42,45,45,42.8,6790
43,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,21,38,48,40,45,47,44,43.6,12514
44,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,22,40,46,41,44,49,41,44,12526
45,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,23,43,43,44,43,56,52,45.8,12519
46,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,19,47,44,46,52,48,42,47.4,12481
47,David Montgomery,18239,david-montgomery,HOU,8,RB,20,50,49,45,47,50,47,48.2,5892
48,Jameson Williams,23677,jameson-williams,DET,6,WR,24,46,55,47,49,54,57,50.2,8148
49,Bucky Irving,25981,bucky-irving,TB,10,RB,21,57,39,49,48,60,46,50.6,11584
50,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,61,45,59,57,33,35,51,4881
51,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,22,54,37,54,58,58,53,52.2,12512
52,Davante Adams,12123,davante-adams,LAR,11,WR,25,51,60,52,51,51,51,53,2133
53,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,23,56,51,48,50,62,59,53.4,12490
54,Tyler Warren,26434,tyler-warren,IND,13,TE,4,55,53,61,62,38,49,53.8,12518
55,Parker Washington,23106,parker-washington,JAC,7,WR,26,52,59,53,46,59,62,53.8,9487
56,Jadarian Price,27329,jadarian-price,SEA,11,RB,24,60,50,57,53,53,55,54.6,13286
57,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,27,48,61,50,56,66,54,56.2,5927
58,Joe Burrow,19196,joe-burrow,CIN,6,QB,3,59,54,68,68,36,56,57,6770
59,Christian Watson,23886,christian-watson,GB,11,WR,28,49,67,56,55,63,60,58,8167
60,Rome Odunze,25411,rome-odunze,CHI,10,WR,29,53,63,58,54,67,61,59,11620
61,Drake Maye,23046,drake-maye,NE,11,QB,4,64,56,67,67,43,50,59.4,11564
62,Rhamondre Stevenson,22726,rhamondre-stevenson,NE,11,RB,25,66,57,65,59,69,66,63.2,7611
63,Mike Evans,12119,mike-evans,SF,8,WR,30,58,73,55,60,72,65,63.6,2216
64,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,26,62,58,62,65,77,67,64.8,12529
65,Jaylen Warren,24209,jaylen-warren,PIT,9,RB,27,68,65,69,64,79,68,69,8228
66,Tucker Kraft,25298,tucker-kraft,GB,11,TE,5,76,68,76,77,52,63,69.8,9484
67,Marvin Harrison Jr.,23064,marvin-harrison-jr,ARI,14,WR,31,63,86,64,61,75,73,69.8,11628
68,Caleb Williams,23084,caleb-williams,CHI,10,QB,5,77,77,74,69,55,70,70.4,11560
69,Jayden Daniels,22902,jayden-daniels,WAS,7,QB,6,84,69,71,73,68,69,73,11566
70,Chris Godwin Jr.,16406,chris-godwin,TB,10,WR,32,71,79,79,63,78,84,74,4037
71,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,7,93,72,72,72,64,58,74.6,6904
72,Carnell Tate,26009,carnell-tate,TEN,9,WR,33,65,92,63,70,89,72,75.8,13279
73,Jonathon Brooks,26148,jonathon-brooks,CAR,5,RB,28,72,74,75,81,84,88,77.2,11583
74,Brian Thomas Jr.,23000,brian-thomas-jr,JAC,7,WR,34,67,93,66,71,91,75,77.6,11631
75,Dak Prescott,15600,dak-prescott,DAL,14,QB,8,89,80,81,85,57,78,78.4,3294
