rank,name,fp_id,player_slug,team,bye_week,position,pos_rank,yahoo,sleeper,rtsports,real_time,avg,sleeper_id
1,Jahmyr Gibbs,22968,jahmyr-gibbs,DET,6,RB,1,1,1,1,1,1,9221
2,Bijan Robinson,23133,bijan-robinson,ATL,11,RB,2,2,2,2,2,2,9509
3,Ja'Marr Chase,19788,jamarr-chase,CIN,6,WR,1,3,3,3,3,3,7564
4,Puka Nacua,23180,puka-nacua,LAR,11,WR,2,4,6,4,5,4.7,9493
5,Christian McCaffrey,16393,christian-mccaffrey,SF,8,RB,3,6,4,5,6,5,4034
6,Jonathan Taylor,19217,jonathan-taylor,IND,13,RB,4,5,5,7,4,5.7,6813
7,Jaxon Smith-Njigba,23070,jaxon-smith-njigba,SEA,11,WR,3,7,9,6,7,7.3,9488
8,Amon-Ra St. Brown,19799,amonra-stbrown,DET,6,WR,4,8,7,9,8,8,7547
9,James Cook III,22958,james-cook,BUF,7,RB,5,9,8,8,9,8.3,8138
10,Saquon Barkley,17240,saquon-barkley,PHI,10,RB,6,10,10,15,10,11.7,4866
11,CeeDee Lamb,19202,ceedee-lamb,DAL,14,WR,5,11,11,14,11,12,6786
12,Justin Jefferson,19236,justin-jefferson,MIN,6,WR,6,12,12,12,13,12,6794
13,De'Von Achane,23136,devon-achane,MIA,6,RB,7,15,13,10,16,12.7,9226
14,Chase Brown,25324,chase-brown,CIN,6,RB,8,14,17,11,14,14,9224
15,Omarion Hampton,25395,omarion-hampton,LAC,7,RB,9,17,15,13,17,15,12507
16,Kenneth Walker III,23021,kenneth-walker-rb,KC,5,RB,10,13,18,16,12,15.7,8151
17,Derrick Henry,15514,derrick-henry,BAL,13,RB,11,16,14,19,15,16.3,3198
18,Ashton Jeanty,25989,ashton-jeanty,LV,13,RB,12,18,16,17,19,17,12527
19,Drake London,23163,drake-london,ATL,11,WR,7,19,21,20,22,20,8112
20,A.J. Brown,18218,aj-brown,NE,11,WR,8,24,19,18,21,20.3,5859
21,Josh Allen,17298,josh-allen-qb,BUF,7,QB,1,22,20,22,24,21.3,4984
22,Brock Bowers,22955,brock-bowers,LV,13,TE,1,20,23,24,20,22.3,11604
23,Nico Collins,20130,nico-collins,HOU,8,WR,9,21,22,26,18,23,7569
24,George Pickens,22963,george-pickens,DAL,14,WR,10,23,25,25,23,24.3,8137
25,Kyren Williams,23059,kyren-williams,LAR,11,RB,13,25,24,30,25,26.3,8150
26,Trey McBride,22936,trey-mcbride,ARI,14,TE,2,26,26,27,30,26.3,8130
27,Chris Olave,20111,chris-olave,NO,8,WR,11,30,29,21,27,26.7,8144
28,Jeremiyah Love,25403,jeremiyah-love,ARI,14,RB,14,28,27,28,31,27.7,13287
29,Javonte Williams,22739,javonte-williams,DAL,14,RB,15,31,31,23,26,28.3,7588
30,Malik Nabers,25409,malik-nabers,NYG,8,WR,12,29,28,29,28,28.7,11632
31,DeVonta Smith,19222,devonta-smith,PHI,10,WR,13,27,33,34,29,31.3,7525
32,Breece Hall,22982,breece-hall,NYJ,13,RB,16,33,32,31,32,32,8155
33,Rashee Rice,23113,rashee-rice,KC,5,WR,14,35,30,36,37,33.7,10229
34,Travis Etienne Jr.,19231,travis-etienne,NO,8,RB,17,39,38,32,36,36.3,7543
35,Zay Flowers,22916,zay-flowers,BAL,13,WR,15,34,40,35,33,36.3,9997
36,Lamar Jackson,17233,lamar-jackson,BAL,13,QB,2,36,34,45,39,38.3,4881
37,Cam Skattebo,27166,cam-skattebo,NYG,8,RB,18,41,35,41,43,39,12481
38,Ladd McConkey,26122,ladd-mcconkey,LAC,7,WR,16,42,36,42,42,40,11635
39,Tee Higgins,19211,tee-higgins,CIN,6,WR,17,32,39,52,34,41,6801
40,Tetairoa McMillan,25417,tetairoa-mcmillan,CAR,5,WR,18,40,37,46,40,41,12526
41,Colston Loveland,26006,colston-loveland,CHI,10,TE,3,38,43,43,38,41.3,12517
42,Garrett Wilson,23072,garrett-wilson,NYJ,13,WR,19,45,44,39,44,42.7,8146
43,D'Andre Swift,19210,dandre-swift,CHI,10,RB,19,43,46,40,41,43,6790
44,Jaylen Waddle,19790,jaylen-waddle,DEN,10,WR,20,37,45,50,35,44,7526
45,Emeka Egbuka,23062,emeka-egbuka,TB,10,WR,21,44,41,48,45,44.3,12514
46,Bucky Irving,25981,bucky-irving,TB,10,RB,20,49,47,38,46,44.7,11584
47,Quinshon Judkins,25391,quinshon-judkins,CLE,11,RB,21,51,49,37,51,45.7,12512
48,David Montgomery,18239,david-montgomery,HOU,8,RB,22,50,42,47,48,46.3,5892
49,DJ Moore,17265,dj-moore-wr,BUF,7,WR,22,56,51,33,49,46.7,4983
50,Tyler Warren,26434,tyler-warren,IND,13,TE,4,46,50,54,47,50,12518
51,Drake Maye,23046,drake-maye,NE,11,QB,3,47,52,56,50,51.7,11564
52,Joe Burrow,19196,joe-burrow,CIN,6,QB,4,48,54,53,56,51.7,6770
53,Luther Burden III,27016,luther-burden-iii,CHI,10,WR,23,55,60,44,52,53,12519
54,Jadarian Price,27329,jadarian-price,SEA,11,RB,23,62,53,49,54,54.7,13286
55,Terry McLaurin,18466,terry-mclaurin,WAS,7,WR,24,52,55,62,53,56.3,5927
56,Bhayshul Tuten,27297,bhayshul-tuten,JAC,7,RB,24,60,59,51,58,56.7,12490
57,Davante Adams,12123,davante-adams,LAR,11,WR,25,57,56,60,57,57.7,2133
58,Jameson Williams,23677,jameson-williams,DET,6,WR,26,63,58,55,59,58.7,8148
59,TreVeyon Henderson,23065,treveyon-henderson,NE,11,RB,25,67,57,58,67,60.7,12529
60,Jalen Hurts,19275,jalen-hurts,PHI,10,QB,5,53,61,70,55,61.3,6904
