year,name,position,team,sleeper_id,overall_rank,bb_avg_adp,bb_stack_rank,bb_eff_rank,half_stack_rank,std_stack_rank,scoring_rank_shift,hwang_eff_rank,hwang_adjusted_adp,hwang_pos_rank,adp_delta,adp_source,scoring_source
2026,Jahmyr Gibbs,RB,DET,9221,1,1.0,1,1.0,1,1,0,1.0,1.0,1,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Bijan Robinson,RB,ATL,9509,2,2.0,2,1.37,2,2,0,2.0,2.0,2,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Ja'Marr Chase,WR,CIN,7564,3,3.0,1,1.0,1,1,0,1.0,3.0,1,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Puka Nacua,WR,LAR,9493,4,4.0,2,1.91,2,2,0,2.0,4.0,2,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jaxon Smith-Njigba,WR,SEA,9488,5,5.2,3,2.86,3,3,0,3.0,5.2,3,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Christian McCaffrey,RB,SF,4034,6,6.4,3,3.52,3,3,0,3.0,6.4,3,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Amon-Ra St. Brown,WR,DET,7547,7,6.8,4,3.57,4,4,0,4.0,6.8,4,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Jonathan Taylor,RB,IND,6813,8,7.8,4,4.17,4,4,0,4.0,7.8,4,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,James Cook III,RB,BUF,8138,9,8.8,5,4.42,5,5,0,5.0,8.8,5,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,CeeDee Lamb,WR,DAL,6786,10,10.8,5,5.82,5,5,0,5.0,10.8,5,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Justin Jefferson,WR,MIN,6794,11,11.2,6,5.11,6,6,0,6.0,11.2,6,0.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Omarion Hampton,RB,LAC,12507,12,15.8,10,9.35,9,7,-2,7.35,14.2,6,-1.6,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,De'Von Achane,RB,MIA,9226,13,15.0,8,8.71,7,6,-1,7.71,14.7,7,-0.3,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Derrick Henry,RB,BAL,3198,14,19.4,12,11.15,11,8,-3,8.15,15.0,8,-4.4,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Ashton Jeanty,RB,LV,12527,15,18.6,11,11.56,12,9,-3,8.56,15.1,9,-3.5,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Chase Brown,RB,CIN,9224,16,12.6,6,6.52,8,11,3,9.52,15.5,10,2.9,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Kenneth Walker III,RB,KC,8151,17,15.2,9,8.5,10,12,2,10.5,17.2,11,2.0,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
2026,Brock Bowers,TE,LV,11604,18,17.8,1,1.0,,,,1.0,17.8,1,,fantasypros_bestball_2026_final_closing,fantasypros_half_2026_final_closing
