name;team;position;age;fantasycalcId;sleeperId;mflId;value;overallRank;positionRank;trend30day
"Josh Allen";"BUF";"QB";30.2;6170;"4984";"13589";10347;1;1;133
"Bijan Robinson";"ATL";"RB";24.5;9833;"9509";"16161";10181;2;1;250
"Jahmyr Gibbs";"DET";"RB";24.4;9821;"9221";"16162";9913;3;2;58
"Ja'Marr Chase";"CIN";"WR";26.4;5856;"7564";"15281";9891;4;1;-14
"Jaxon Smith-Njigba";"SEA";"WR";24.5;9924;"9488";"16185";8835;5;2;-239
"Drake Maye";"NE";"QB";23.9;11696;"11564";"16580";8770;6;2;-1
"Puka Nacua";"LAR";"WR";25.2;9822;"9493";"16211";8553;7;3;88
"Brock Bowers";"LV";"TE";23.7;11702;"11604";"16641";7488;8;1;-135
"Amon-Ra St. Brown";"DET";"WR";26.8;1527;"7547";"15287";7276;9;4;-81
"Jayden Daniels";"WAS";"QB";25.6;11701;"11566";"16581";7198;10;3;-60
"Lamar Jackson";"BAL";"QB";29.6;3101;"4881";"13593";7168;11;4;7
"Caleb Williams";"CHI";"QB";24.7;11708;"11560";"16579";7131;12;5;-91
"2026 Pick 1.01";"";"PICK";;16523;"DP_0_0";"DP_0_0";7108;13;1;167
"Ashton Jeanty";"LV";"RB";22.7;12612;"12527";"17042";6926;13;3;-222
"Joe Burrow";"CIN";"QB";29.7;1002;"6770";"14777";6887;14;6;41
"Jeremiyah Love";"ARI";"RB";21.2;13485;"13287";"17472";6778;15;4;0
"Malik Nabers";"NYG";"WR";23;11737;"11632";"16615";6725;16;5;149
"Justin Jefferson";"MIN";"WR";27.2;7569;"6794";"14836";6634;17;6;-388
"Trey McBride";"ARI";"TE";26.7;7325;"8130";"15794";6409;18;2;-344
"CeeDee Lamb";"DAL";"WR";27.3;4835;"6786";"14832";6357;19;7;58
"Omarion Hampton";"LAC";"RB";23.4;12573;"12507";"17044";6305;20;5;344
"Justin Herbert";"LAC";"QB";28.4;8448;"6797";"14779";5923;21;7;-103
"De'Von Achane";"MIA";"RB";24.8;9969;"9226";"16167";5733;22;6;-170
"Drake London";"ATL";"WR";25;998;"8112";"15751";5643;23;8;-225
"Patrick Mahomes";"KC";"QB";30.9;880;"4046";"13116";5621;24;8;-30
"Jalen Hurts";"PHI";"QB";28;6407;"6904";"14783";5551;25;9;130
"Jaxson Dart";"NYG";"QB";23.2;12609;"12508";"17032";5303;26;10;-65
"Jonathan Taylor";"IND";"RB";27.6;3046;"6813";"14802";5251;27;7;-175
"Trevor Lawrence";"JAX";"QB";26.8;1086;"7523";"15237";5238;28;11;61
"Bo Nix";"DEN";"QB";26.5;11728;"11563";"16582";5129;29;12;454
"James Cook";"BUF";"RB";26.9;182;"8138";"15715";5076;30;8;-172
"Colston Loveland";"CHI";"TE";22.3;12578;"12517";"17104";4996;31;3;15
"Tetairoa McMillan";"CAR";"WR";23.3;12635;"12526";"17071";4766;32;9;-171
"Carnell Tate";"TEN";"WR";21.6;13483;"13279";"17497";4758;33;10;379
