rank,name,team,position,tier,sleeper_id
1,Ja'Marr Chase,CIN,WR,1,7564
2,Puka Nacua,LAR,WR,1,9493
3,Jaxon Smith-Njigba,SEA,WR,1,9488
4,Amon-Ra St. Brown,DET,WR,1,7547
5,CeeDee Lamb,DAL,WR,2,6786
6,Justin Jefferson,MIN,WR,2,6794
7,Drake London,ATL,WR,2,8112
8,A.J. Brown,NE,WR,2,5859
9,Nico Collins,HOU,WR,2,7569
10,George Pickens,DAL,WR,2,8137
11,Chris Olave,NO,WR,3,8144
12,Malik Nabers,NYG,WR,3,11632
13,Rashee Rice,KC,WR,3,10229
14,DeVonta Smith,PHI,WR,3,7525
15,Zay Flowers,BAL,WR,3,9997
16,Tee Higgins,CIN,WR,3,6801
17,Emeka Egbuka,TB,WR,3,12514
18,Tetairoa McMillan,CAR,WR,4,12526
19,Ladd McConkey,LAC,WR,4,11635
20,Jaylen Waddle,DEN,WR,4,7526
21,Jameson Williams,DET,WR,4,8148
22,Terry McLaurin,WAS,WR,4,5927
23,Davante Adams,LAR,WR,4,2133
24,Christian Watson,GB,WR,4,8167
25,Garrett Wilson,NYJ,WR,4,8146
26,Rome Odunze,CHI,WR,4,11620
27,Luther Burden III,CHI,WR,4,12519
28,Mike Evans,SF,WR,4,2216
29,DJ Moore,BUF,WR,4,4983
30,Parker Washington,JAC,WR,5,9487
31,Carnell Tate,TEN,WR,5,13279
32,Marvin Harrison Jr.,ARI,WR,5,11628
33,Brian Thomas Jr.,JAC,WR,5,11631
34,DK Metcalf,PIT,WR,5,5846
35,Alec Pierce,IND,WR,5,8142
36,Courtland Sutton,DEN,WR,5,5045
37,Quentin Johnston,LAC,WR,5,9754
38,Chris Godwin Jr.,TB,WR,5,4037
39,Jordan Addison,MIN,WR,6,9756
40,Michael Wilson,ARI,WR,6,10232
41,Jordyn Tyson,NO,WR,6,13281
42,Makai Lemon,PHI,WR,6,13294
43,Jayden Reed,GB,WR,6,10222
44,Michael Pittman Jr.,PIT,WR,6,6819
45,Josh Downs,IND,WR,6,9500
46,Jakobi Meyers,JAC,WR,6,5947
47,Xavier Worthy,KC,WR,6,11624
48,Jayden Higgins,HOU,WR,6,12484
49,Wan'Dale Robinson,TEN,WR,6,8126
50,Matthew Golden,GB,WR,6,12501
51,Romeo Doubs,NE,WR,6,8121
52,KC Concepcion,CLE,WR,6,13298
53,Stefon Diggs,WAS,WR,6,2449
54,Jalen Coker,CAR,WR,6,11646
55,Khalil Shakir,BUF,WR,6,8134
56,Rashid Shaheed,SEA,WR,6,8676
57,De'Zhaun Stribling,SF,WR,7,13417
58,Denzel Boston,CLE,WR,7,13346
59,Deebo Samuel Sr.,SF,WR,7,5872
60,Adonai Mitchell,NYJ,WR,7,11625
61,Jalen McMillan,TB,WR,7,11618
62,Tre Tucker,LV,WR,7,10213
63,Jerry Jeudy,CLE,WR,7,6783
64,Omar Cooper Jr.,NYJ,WR,7,13276
65,Jauan Jennings,MIN,WR,7,7049
66,Jalen Nailor,LV,WR,7,8180
67,Tre' Harris,LAC,WR,7,12509
68,Travis Hunter,JAC,WR,7,12530
69,Ryan Flournoy,DAL,WR,7,11783
70,Dontayvion Wicks,PHI,WR,7,9486
71,Calvin Ridley,TEN,WR,7,4981
72,Kayshon Boutte,NE,WR,7,9504
73,Rashod Bateman,BAL,WR,7,7571
74,Pat Bryant,DEN,WR,7,12492
75,Malik Washington,MIA,WR,8,11610
76,Isaac TeSlaa,DET,WR,8,12535
77,Tank Dell,HOU,WR,8,9502
78,Jaylin Noel,HOU,WR,8,12536
79,Troy Franklin,DEN,WR,8,11627
80,Antonio Williams,WAS,WR,8,13301
81,Zachariah Branch,ATL,WR,8,13320
82,Darnell Mooney,NYG,WR,8,7090
83,Cooper Kupp,SEA,WR,8,4039
84,Germie Bernard,PIT,WR,8,13274
85,Jack Bech,LV,WR,8,12483
86,Elic Ayomanor,TEN,WR,8,12499
87,Chimere Dike,TEN,WR,8,12540
88,Keon Coleman,BUF,WR,8,11637
89,Ted Hurst III,TB,WR,8,13317
90,Tory Horton,SEA,WR,8,12497
91,Malachi Fields,NYG,WR,8,13285
92,Elijah Sarratt,BAL,WR,8,13268
93,Tyquan Thornton,KC,WR,8,8188
94,Ja'Kobi Lane,BAL,WR,8,13293
95,Chris Bell,MIA,WR,8,13311
96,Devaughn Vele,NO,WR,8,11834
97,Christian Kirk,SF,WR,8,4950
98,Darius Slayton,NYG,WR,8,6149
99,Marvin Mims Jr.,DEN,WR,8,9494
100,Xavier Legette,CAR,WR,9,11626
101,Keenan Allen,LAC,WR,9,1479
102,Caleb Douglas,MIA,WR,9,13296
103,Kyle Williams,NE,WR,9,12547
104,Skyler Bell,BUF,WR,9,13402
105,Hollywood Brown,PHI,WR,9,5848
106,Isaiah Bond,CLE,WR,9,12503
107,Mack Hollins,NE,WR,9,4177
108,Brandon Aiyuk,SF,WR,9,6803
109,Cyrus Allen,KC,WR,9,13413
110,Andrei Iosivas,CIN,WR,9,10226
111,Tyreek Hill,FA,WR,9,3321
112,Jalen Tolbert,MIA,WR,9,8117
113,Tez Johnson,TB,WR,10,12485
114,DeMario Douglas,NE,WR,10,9501
115,Cedric Tillman,CLE,WR,10,10444
116,Calvin Austin III,NYG,WR,10,8125
117,Konata Mumpfield,LAR,WR,10,12718
118,Jahan Dotson,ATL,WR,10,8119
119,Luke McCaffrey,WAS,WR,10,11650
120,Olamide Zaccheaus,ATL,WR,10,6271
121,Jalen Royals,KC,WR,10,12505
122,Bryce Lance,NO,WR,10,13420
123,Brenen Thompson,LAC,WR,10,13380
124,Treylon Burks,WAS,WR,10,8135
125,Joshua Palmer,BUF,WR,10,7670
126,Chris Brazzell II,CAR,WR,10,13353
127,Kendrick Bourne,ARI,WR,10,4454
128,Tutu Atwell,MIA,WR,10,7562
129,Jaylin Lane,WAS,WR,10,12641
130,Savion Williams,GB,WR,10,12482
131,John Metchie III,CAR,WR,10,8147
132,Xavier Hutchinson,HOU,WR,10,10218
133,Kevin Coleman Jr.,MIA,WR,10,13338
134,Dont'e Thornton Jr.,LV,WR,10,12541
135,Malik Benson,LV,WR,10,13329
