season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Kyler Murray,Christian McCaffrey,5849,4034,8415,8385,30,283.4,90.5,192.9
2021,QB,RB,QB_vs_RB,Aaron Rodgers,Dalvin Cook,96,4029,6741,6673,68,318.1,164.1,154
2021,QB,RB,QB_vs_RB,Justin Herbert,Alvin Kamara,6797,4035,6301,6458,-157,353.3,171.5,181.8
2021,QB,RB,QB_vs_RB,Justin Herbert,Derrick Henry,6797,3198,6301,6136,165,353.3,175.3,178
2021,QB,RB,QB_vs_RB,Matthew Stafford,Ezekiel Elliott,421,3164,5901,5985,-84,312.2,196.1,116.1
2021,QB,RB,QB_vs_RB,Matthew Stafford,Jonathan Taylor,421,6813,5901,5807,94,312.2,323.6,-11.4
2021,QB,RB,QB_vs_RB,Jalen Hurts,Jonathan Taylor,6904,6813,5661,5807,-146,312.2,323.6,-11.4
2021,QB,RB,QB_vs_RB,Jalen Hurts,Austin Ekeler,6904,4663,5661,5529,132,312.2,249.9,62.3
2021,QB,RB,QB_vs_RB,Jalen Hurts,Saquon Barkley,6904,4866,5661,5501,160,312.2,102.7,209.5
2021,QB,RB,QB_vs_RB,Ryan Tannehill,Austin Ekeler,1049,4663,5534,5529,5,241.1,249.9,-8.8
2021,QB,RB,QB_vs_RB,Ryan Tannehill,Saquon Barkley,1049,4866,5534,5501,33,241.1,102.7,138.4
2021,QB,RB,QB_vs_RB,Ryan Tannehill,Aaron Jones,1049,4199,5534,5386,148,241.1,177,64.1
2021,QB,RB,QB_vs_RB,Joe Burrow,Nick Chubb,6770,4988,5059,5225,-166,314.2,189.3,124.9
2021,QB,RB,QB_vs_RB,Joe Burrow,Najee Harris,6770,7528,5059,5104,-45,314.2,221.2,93
2021,QB,RB,QB_vs_RB,Joe Burrow,Antonio Gibson,6770,6945,5059,5082,-23,314.2,166,148.2
2021,QB,RB,QB_vs_RB,Joe Burrow,Joe Mixon,6770,4018,5059,4932,127,314.2,245.9,68.3
2021,QB,RB,QB_vs_RB,Trevor Lawrence,Joe Mixon,7523,4018,4817,4932,-115,180.4,245.9,-65.5
2021,QB,RB,QB_vs_RB,Trevor Lawrence,Clyde Edwards-Helaire,7523,6820,4817,4838,-21,180.4,98.6,81.8
2021,QB,RB,QB_vs_RB,Trevor Lawrence,David Montgomery,7523,5892,4817,4655,162,180.4,145.1,35.3
2021,QB,RB,QB_vs_RB,Kirk Cousins,Clyde Edwards-Helaire,1166,6820,4711,4838,-127,278.4,98.6,179.8
2021,QB,RB,QB_vs_RB,Kirk Cousins,David Montgomery,1166,5892,4711,4655,56,278.4,145.1,133.3
2021,QB,RB,QB_vs_RB,Justin Fields,David Montgomery,7591,5892,4637,4655,-18,126.8,145.1,-18.3
2021,QB,RB,QB_vs_RB,Trey Lance,D'Andre Swift,7610,6790,4439,4319,120,64.9,136.3,-71.4
2021,QB,RB,QB_vs_RB,Baker Mayfield,D'Andre Swift,4892,6790,4361,4319,42,180.9,136.3,44.6
2021,QB,RB,QB_vs_RB,Tua Tagovailoa,Josh Jacobs,6768,5850,3941,4125,-184,168.8,151.6,17.2
2021,QB,RB,QB_vs_RB,Tua Tagovailoa,Miles Sanders,6768,6151,3941,4020,-79,168.8,91.2,77.6
2021,QB,RB,QB_vs_RB,Tua Tagovailoa,James Robinson,6768,6955,3941,3984,-43,168.8,142.9,25.9
2021,QB,RB,QB_vs_RB,Tua Tagovailoa,Javonte Williams,6768,7588,3941,3899,42,168.8,155.5,13.3
2021,QB,RB,QB_vs_RB,Derek Carr,Raheem Mostert,2028,2749,3113,3218,-105,241.6,2,239.6
2021,QB,RB,QB_vs_RB,Derek Carr,Trey Sermon,2028,7593,3113,3001,112,241.6,25.3,216.3
2021,QB,RB,QB_vs_RB,Jameis Winston,Trey Sermon,2306,7593,2966,3001,-35,117.4,25.3,92.1
2021,QB,RB,QB_vs_RB,Zach Wilson,Zack Moss,7538,6845,2784,2721,63,142,80.8,61.2
2021,QB,RB,QB_vs_RB,Zach Wilson,AJ Dillon,7538,6828,2784,2648,136,142,144.9,-2.9
2021,QB,RB,QB_vs_RB,Sam Darnold,Zack Moss,4943,6845,2715,2721,-6,142.6,80.8,61.8
2021,QB,RB,QB_vs_RB,Sam Darnold,AJ Dillon,4943,6828,2715,2648,67,142.6,144.9,-2.3
2021,QB,RB,QB_vs_RB,Daniel Jones,Jamaal Williams,5870,4149,2265,2347,-82,166.5,88.6,77.9
2021,QB,RB,QB_vs_RB,Daniel Jones,Devin Singletary,5870,6130,2265,2182,83,166.5,134.6,31.9
2021,QB,RB,QB_vs_RB,Mac Jones,Tony Pollard,7527,5967,1766,1750,16,214.1,123.6,90.5
2021,QB,RB,QB_vs_RB,Jared Goff,Tony Pollard,3163,5967,1610,1750,-140,177,123.6,53.4
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,Chuba Hubbard,1837,7594,1309,1380,-71,214.8,101,113.8
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,Alexander Mattison,1837,5987,1309,1224,85,214.8,91.8,123
