year,ktc_snapshot_date,name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,adp_source
2020,2020-09-10,Christian McCaffrey,RB,,9999,1,1,1.0,1.0,1.0,8301,0.8302,11575,1.1576,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Lamar Jackson,QB,,9999,1,1,1.0,23.0,23.0,8979,0.898,10946,1.0947,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Patrick Mahomes,QB,,9999,2,2,1.61,23.5,23.5,8949,0.895,10973,1.0974,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Saquon Barkley,RB,,9983,2,2,2.0,2.0,2.0,7955,0.7969,11865,1.1885,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Michael Thomas,WR,,9111,1,1,1.0,6.0,6.0,8319,0.9131,9846,1.0807,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,George Kittle,TE,,8944,1,2,1.73,22.5,22.5,6858,0.7668,10873,1.2157,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Ezekiel Elliott,RB,,8928,3,3,2.95,3.0,3.0,7207,0.8072,10525,1.1789,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Deshaun Watson,QB,,8387,3,6,5.72,70.5,70.5,6969,0.8309,9677,1.1538,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Clyde Edwards-Helaire,RB,,8361,4,7,6.82,8.0,7.0,6336,0.7578,10142,1.213,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Alvin Kamara,RB,,8350,5,5,4.88,4.0,5.0,6617,0.7925,9958,1.1926,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Kyler Murray,QB,,8293,4,4,4.08,64.5,64.5,7515,0.9062,9015,1.0871,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Tyreek Hill,WR,,8291,2,3,3.17,15.5,15.5,7106,0.8571,9383,1.1317,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Josh Jacobs,RB,,8154,6,10,9.76,12.5,12.5,5888,0.7221,10074,1.2355,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Joe Mixon,RB,,8139,7,9,9.31,9.0,12.1,5919,0.7272,10122,1.2436,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Dak Prescott,QB,,8103,5,3,3.31,60.0,60.0,7810,0.9638,8375,1.0336,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Davante Adams,WR,,8092,3,2,1.98,10.5,10.5,7644,0.9446,8508,1.0514,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Dalvin Cook,RB,,8043,8,6,6.12,5.0,6.3,6394,0.795,9573,1.1902,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Chris Godwin,WR,,7968,4,6,6.11,22.5,22.5,6467,0.8116,9324,1.1702,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,Travis Kelce,TE,,7956,2,1,1.0,18.5,18.5,7509,0.9438,8371,1.0522,,hwang_adjusted_positional_adp_2020
2020,2020-09-10,DeAndre Hopkins,WR,,7881,5,4,4.06,17.5,17.5,6930,0.8793,8763,1.1119,,hwang_adjusted_positional_adp_2020
