season,pos_a,pos_b,pair_key,player_a,player_b,player_id_a,player_id_b,value_a,value_b,value_gap,hvorp_a,hvorp_b,delta
2021,QB,RB,QB_vs_RB,Dak Prescott,Dalvin Cook,3294,4029,7435,7347,88,288.8,164.1,124.7
2021,QB,RB,QB_vs_RB,Dak Prescott,Alvin Kamara,3294,4035,7435,7321,114,288.8,171.5,117.3
2021,QB,RB,QB_vs_RB,Dak Prescott,Jonathan Taylor,3294,6813,7435,7300,135,288.8,323.6,-34.8
2021,QB,RB,QB_vs_RB,Trevor Lawrence,Alvin Kamara,7523,4035,7137,7321,-184,180.4,171.5,8.9
2021,QB,RB,QB_vs_RB,Trevor Lawrence,Jonathan Taylor,7523,6813,7137,7300,-163,180.4,323.6,-143.2
2021,QB,RB,QB_vs_RB,Trevor Lawrence,Najee Harris,7523,7528,7137,7025,112,180.4,221.2,-40.8
2021,QB,RB,QB_vs_RB,Russell Wilson,Nick Chubb,1234,4988,6545,6441,104,218.8,189.3,29.5
2021,QB,RB,QB_vs_RB,Justin Fields,Nick Chubb,7591,4988,6536,6441,95,126.8,189.3,-62.5
2021,QB,RB,QB_vs_RB,Trey Lance,Nick Chubb,7610,4988,6497,6441,56,64.9,189.3,-124.4
2021,QB,RB,QB_vs_RB,Joe Burrow,Derrick Henry,6770,3198,6214,6290,-76,314.2,175.3,138.9
2021,QB,RB,QB_vs_RB,Joe Burrow,Aaron Jones,6770,4199,6214,6260,-46,314.2,177,137.2
2021,QB,RB,QB_vs_RB,Joe Burrow,D'Andre Swift,6770,6790,6214,6019,195,314.2,136.3,177.9
2021,QB,RB,QB_vs_RB,Zach Wilson,D'Andre Swift,7538,6790,5928,6019,-91,142,136.3,5.7
2021,QB,RB,QB_vs_RB,Zach Wilson,Clyde Edwards-Helaire,7538,6820,5928,5948,-20,142,98.6,43.4
2021,QB,RB,QB_vs_RB,Zach Wilson,Austin Ekeler,7538,4663,5928,5923,5,142,249.9,-107.9
2021,QB,RB,QB_vs_RB,Zach Wilson,Ezekiel Elliott,7538,3164,5928,5770,158,142,196.1,-54.1
2021,QB,RB,QB_vs_RB,Zach Wilson,Javonte Williams,7538,7588,5928,5745,183,142,155.5,-13.5
2021,QB,RB,QB_vs_RB,Aaron Rodgers,Joe Mixon,96,4018,5366,5465,-99,318.1,245.9,72.2
2021,QB,RB,QB_vs_RB,Ryan Tannehill,Joe Mixon,1049,4018,5362,5465,-103,241.1,245.9,-4.8
2021,QB,RB,QB_vs_RB,Matthew Stafford,David Montgomery,421,5892,5214,5028,186,312.2,145.1,167.1
2021,QB,RB,QB_vs_RB,Mac Jones,David Montgomery,7527,5892,5168,5028,140,214.1,145.1,69
2021,QB,RB,QB_vs_RB,Tua Tagovailoa,David Montgomery,6768,5892,5065,5028,37,168.8,145.1,23.7
2021,QB,RB,QB_vs_RB,Baker Mayfield,David Montgomery,4892,5892,4980,5028,-48,180.9,145.1,35.8
2021,QB,RB,QB_vs_RB,Jalen Hurts,Josh Jacobs,6904,5850,4760,4757,3,312.2,151.6,160.6
2021,QB,RB,QB_vs_RB,Jalen Hurts,Trey Sermon,6904,7593,4760,4664,96,312.2,25.3,286.9
2021,QB,RB,QB_vs_RB,Jalen Hurts,James Robinson,6904,6955,4760,4620,140,312.2,142.9,169.3
2021,QB,RB,QB_vs_RB,Jalen Hurts,Miles Sanders,6904,6151,4760,4583,177,312.2,91.2,221
2021,QB,RB,QB_vs_RB,Jameis Winston,AJ Dillon,2306,6828,3589,3689,-100,117.4,144.9,-27.5
2021,QB,RB,QB_vs_RB,Jameis Winston,Myles Gaskin,2306,5980,3589,3590,-1,117.4,123.6,-6.2
2021,QB,RB,QB_vs_RB,Jameis Winston,Chase Edmonds,2306,5000,3589,3404,185,117.4,100.3,17.1
2021,QB,RB,QB_vs_RB,Sam Darnold,AJ Dillon,4943,6828,3497,3689,-192,142.6,144.9,-2.3
2021,QB,RB,QB_vs_RB,Sam Darnold,Myles Gaskin,4943,5980,3497,3590,-93,142.6,123.6,19
2021,QB,RB,QB_vs_RB,Sam Darnold,Chase Edmonds,4943,5000,3497,3404,93,142.6,100.3,42.3
2021,QB,RB,QB_vs_RB,Sam Darnold,Michael Carter,4943,7607,3497,3298,199,142.6,116.5,26.1
2021,QB,RB,QB_vs_RB,Kirk Cousins,Chase Edmonds,1166,5000,3272,3404,-132,278.4,100.3,178.1
2021,QB,RB,QB_vs_RB,Kirk Cousins,Michael Carter,1166,7607,3272,3298,-26,278.4,116.5,161.9
2021,QB,RB,QB_vs_RB,Kirk Cousins,Rhamondre Stevenson,1166,7611,3272,3086,186,278.4,97.3,181.1
2021,QB,RB,QB_vs_RB,Derek Carr,Chase Edmonds,2028,5000,3261,3404,-143,241.6,100.3,141.3
2021,QB,RB,QB_vs_RB,Derek Carr,Michael Carter,2028,7607,3261,3298,-37,241.6,116.5,125.1
2021,QB,RB,QB_vs_RB,Derek Carr,Rhamondre Stevenson,2028,7611,3261,3086,175,241.6,97.3,144.3
2021,QB,RB,QB_vs_RB,Jordan Love,Michael Carter,6804,7607,3127,3298,-171,13.9,116.5,-102.6
2021,QB,RB,QB_vs_RB,Jordan Love,Rhamondre Stevenson,6804,7611,3127,3086,41,13.9,97.3,-83.4
2021,QB,RB,QB_vs_RB,Jordan Love,Raheem Mostert,6804,2749,3127,3007,120,13.9,2,11.9
2021,QB,RB,QB_vs_RB,Daniel Jones,Rhamondre Stevenson,5870,7611,3037,3086,-49,166.5,97.3,69.2
2021,QB,RB,QB_vs_RB,Daniel Jones,Raheem Mostert,5870,2749,3037,3007,30,166.5,2,164.5
2021,QB,RB,QB_vs_RB,Daniel Jones,Tony Pollard,5870,5967,3037,2864,173,166.5,123.6,42.9
2021,QB,RB,QB_vs_RB,Jared Goff,Rhamondre Stevenson,3163,7611,2945,3086,-141,177,97.3,79.7
2021,QB,RB,QB_vs_RB,Jared Goff,Raheem Mostert,3163,2749,2945,3007,-62,177,2,175
2021,QB,RB,QB_vs_RB,Jared Goff,Tony Pollard,3163,5967,2945,2864,81,177,123.6,53.4
2021,QB,RB,QB_vs_RB,Jared Goff,Zack Moss,3163,6845,2945,2833,112,177,80.8,96.2
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,James Conner,1837,4137,1763,1645,118,214.8,199.4,15.4
2021,QB,RB,QB_vs_RB,Jimmy Garoppolo,Ty Johnson,1837,6039,1763,1593,170,214.8,83.1,131.7
