year,date,name,position,sleeper_id,ktc_player_id,ktc_value
2020,2020-09-10,Christian McCaffrey,RB,4034,283,9999
2020,2020-09-10,Lamar Jackson,QB,4881,372,9999
2020,2020-09-10,Patrick Mahomes,QB,4046,272,9999
2020,2020-09-10,Saquon Barkley,RB,4866,1,9983
2020,2020-09-10,Michael Thomas,WR,3199,,9111
2020,2020-09-10,George Kittle,TE,4217,298,8944
2020,2020-09-10,Ezekiel Elliott,RB,3164,,8928
2020,2020-09-10,Deshaun Watson,QB,4017,261,8387
2020,2020-09-10,Clyde Edwards-Helaire,RB,6820,,8361
2020,2020-09-10,Alvin Kamara,RB,4035,282,8350
2020,2020-09-10,Kyler Murray,QB,5849,379,8293
2020,2020-09-10,Tyreek Hill,WR,3321,286,8291
2020,2020-09-10,Josh Jacobs,RB,5850,303,8154
2020,2020-09-10,Joe Mixon,RB,4018,273,8139
2020,2020-09-10,Dak Prescott,QB,3294,371,8103
2020,2020-09-10,Davante Adams,WR,2133,277,8092
2020,2020-09-10,Dalvin Cook,RB,4029,,8043
2020,2020-09-10,Chris Godwin,WR,4037,299,7968
2020,2020-09-10,Travis Kelce,TE,1466,264,7956
2020,2020-09-10,DeAndre Hopkins,WR,1426,,7881
2020,2020-09-10,Russell Wilson,QB,1234,,7702
2020,2020-09-10,Miles Sanders,RB,6151,,7635
2020,2020-09-10,Nick Chubb,RB,4988,,7602
2020,2020-09-10,D.J. Moore,WR,4983,304,7481
2020,2020-09-10,Jonathan Taylor,RB,6813,634,7429
2020,2020-09-10,Derrick Henry,RB,3198,296,7410
2020,2020-09-10,Mike Evans,WR,2216,275,7236
2020,2020-09-10,Mark Andrews,TE,5012,366,7197
2020,2020-09-10,A.J. Brown,WR,5859,217,7189
2020,2020-09-10,Joe Burrow,QB,6770,601,7135
2020,2020-09-10,J.K. Dobbins,RB,6806,636,6916
2020,2020-09-10,Austin Ekeler,RB,4663,,6777
2020,2020-09-10,Terry McLaurin,WR,5927,328,6666
2020,2020-09-10,JuJu Smith-Schuster,WR,4040,,6552
2020,2020-09-10,Calvin Ridley,WR,4981,293,6502
2020,2020-09-10,DK Metcalf,WR,5846,224,6491
2020,2020-09-10,Amari Cooper,WR,2309,,6427
2020,2020-09-10,D.J. Chark,WR,4951,,6403
2020,2020-09-10,CeeDee Lamb,WR,6786,546,6343
2020,2020-09-10,Courtland Sutton,WR,5045,226,6306
2020,2020-09-10,Josh Allen,QB,4984,365,6306
2020,2020-09-10,Odell Beckham,WR,2078,,6231
2020,2020-09-10,Aaron Jones,RB,4199,301,6225
2020,2020-09-10,D'Andre Swift,RB,6790,639,6184
2020,2020-09-10,Jerry Jeudy,WR,6783,545,6177
2020,2020-09-10,Cooper Kupp,WR,4039,310,6083
2020,2020-09-10,Tua Tagovailoa,QB,6768,600,6005
2020,2020-09-10,Zach Ertz,TE,1339,305,5840
2020,2020-09-10,Daniel Jones,QB,5870,87,5783
2020,2020-09-10,Robert Woods,WR,1352,,5731
2020,2020-09-10,Darren Waller,TE,2505,349,5698
2020,2020-09-10,Keenan Allen,WR,1479,265,5669
2020,2020-09-10,Cam Akers,RB,6938,,5647
2020,2020-09-10,Tyler Lockett,WR,2374,,5471
2020,2020-09-10,Marquise Brown,WR,5848,311,5450
2020,2020-09-10,Adam Thielen,WR,1689,,5439
2020,2020-09-10,Baker Mayfield,QB,4892,215,5369
2020,2020-09-10,Stefon Diggs,WR,2449,262,5350
2020,2020-09-10,Deebo Samuel,WR,5872,383,5313
2020,2020-09-10,Matthew Stafford,QB,421,356,5259
2020,2020-09-10,Michael Gallup,WR,5038,,5210
2020,2020-09-10,Jared Goff,QB,3163,388,5121
2020,2020-09-10,Evan Engram,TE,4066,229,5091
2020,2020-09-10,Drew Lock,QB,5854,33,5000
2020,2020-09-10,Justin Jefferson,WR,6794,542,4975
2020,2020-09-10,Aaron Rodgers,QB,96,235,4972
2020,2020-09-10,Noah Fant,TE,5857,243,4966
2020,2020-09-10,T.J. Hockenson,TE,5844,247,4886
2020,2020-09-10,Tyler Boyd,WR,3225,,4884
2020,2020-09-10,DeVante Parker,WR,2319,,4849
2020,2020-09-10,Kareem Hunt,RB,4098,214,4787
2020,2020-09-10,James Conner,RB,4137,268,4784
2020,2020-09-10,Hunter Henry,TE,3214,212,4716
2020,2020-09-10,David Montgomery,RB,5892,288,4649
2020,2020-09-10,Devin Singletary,RB,6130,238,4588
2020,2020-09-10,Sam Darnold,QB,4943,331,4560
2020,2020-09-10,Kirk Cousins,QB,1166,396,4448
2020,2020-09-10,Diontae Johnson,WR,5937,,4431
2020,2020-09-10,Antonio Gibson,RB,6945,,4360
2020,2020-09-10,Dallas Goedert,TE,5022,382,4344
2020,2020-09-10,Michael Pittman,WR,6819,536,4257
2020,2020-09-10,Brandon Aiyuk,WR,6803,538,4234
