metric,position,rank_higher,rank_lower,label,average_delta,day_count
overall,OVERALL,1,2,Overall1_vs_Overall2,61.72,2266
overall,OVERALL,2,3,Overall2_vs_Overall3,211.92,2266
overall,OVERALL,3,4,Overall3_vs_Overall4,327.61,2266
overall,OVERALL,4,5,Overall4_vs_Overall5,376.82,2266
overall,OVERALL,5,6,Overall5_vs_Overall6,335.51,2266
overall,OVERALL,6,7,Overall6_vs_Overall7,218.15,2266
overall,OVERALL,7,8,Overall7_vs_Overall8,333.82,2266
overall,OVERALL,8,9,Overall8_vs_Overall9,225.93,2266
overall,OVERALL,9,10,Overall9_vs_Overall10,168.7,2266
overall,OVERALL,10,11,Overall10_vs_Overall11,169.64,2266
overall,OVERALL,11,12,Overall11_vs_Overall12,109.6,2266
overall,OVERALL,12,13,Overall12_vs_Overall13,102.08,2266
overall,OVERALL,13,14,Overall13_vs_Overall14,98.77,2266
overall,OVERALL,14,15,Overall14_vs_Overall15,104.67,2266
overall,OVERALL,15,16,Overall15_vs_Overall16,149.11,2266
overall,OVERALL,16,17,Overall16_vs_Overall17,102.83,2266
overall,OVERALL,17,18,Overall17_vs_Overall18,93.5,2266
overall,OVERALL,18,19,Overall18_vs_Overall19,74.71,2266
overall,OVERALL,19,20,Overall19_vs_Overall20,77.82,2266
overall,OVERALL,20,21,Overall20_vs_Overall21,79.77,2266
overall,OVERALL,21,22,Overall21_vs_Overall22,82.35,2266
overall,OVERALL,22,23,Overall22_vs_Overall23,63.74,2266
overall,OVERALL,23,24,Overall23_vs_Overall24,68.09,2266
overall,OVERALL,24,25,Overall24_vs_Overall25,62.63,2266
overall,OVERALL,25,26,Overall25_vs_Overall26,56.69,2266
overall,OVERALL,26,27,Overall26_vs_Overall27,62.04,2266
overall,OVERALL,27,28,Overall27_vs_Overall28,68.48,2266
overall,OVERALL,28,29,Overall28_vs_Overall29,65.21,2266
overall,OVERALL,29,30,Overall29_vs_Overall30,60.6,2266
overall,OVERALL,30,31,Overall30_vs_Overall31,57.6,2266
overall,OVERALL,31,32,Overall31_vs_Overall32,63.37,2266
overall,OVERALL,32,33,Overall32_vs_Overall33,61.62,2266
overall,OVERALL,33,34,Overall33_vs_Overall34,64.06,2266
overall,OVERALL,34,35,Overall34_vs_Overall35,54.16,2266
overall,OVERALL,35,36,Overall35_vs_Overall36,47.65,2266
overall,OVERALL,36,37,Overall36_vs_Overall37,52.79,2266
overall,OVERALL,37,38,Overall37_vs_Overall38,45.42,2266
overall,OVERALL,38,39,Overall38_vs_Overall39,39.27,2266
overall,OVERALL,39,40,Overall39_vs_Overall40,45.4,2266
overall,OVERALL,40,41,Overall40_vs_Overall41,46.16,2266
overall,OVERALL,41,42,Overall41_vs_Overall42,45.43,2266
overall,OVERALL,42,43,Overall42_vs_Overall43,37.75,2266
overall,OVERALL,43,44,Overall43_vs_Overall44,38.32,2266
overall,OVERALL,44,45,Overall44_vs_Overall45,35.43,2266
overall,OVERALL,45,46,Overall45_vs_Overall46,31.72,2266
overall,OVERALL,46,47,Overall46_vs_Overall47,35.43,2266
overall,OVERALL,47,48,Overall47_vs_Overall48,41.05,2266
overall,OVERALL,48,49,Overall48_vs_Overall49,43.85,2266
overall,OVERALL,49,50,Overall49_vs_Overall50,33.7,2266
overall,OVERALL,50,51,Overall50_vs_Overall51,33.96,2266
overall,OVERALL,51,52,Overall51_vs_Overall52,32.58,2266
overall,OVERALL,52,53,Overall52_vs_Overall53,35.1,2266
overall,OVERALL,53,54,Overall53_vs_Overall54,34.28,2266
overall,OVERALL,54,55,Overall54_vs_Overall55,36.45,2266
overall,OVERALL,55,56,Overall55_vs_Overall56,38.67,2266
overall,OVERALL,56,57,Overall56_vs_Overall57,38.85,2266
overall,OVERALL,57,58,Overall57_vs_Overall58,33.05,2266
overall,OVERALL,58,59,Overall58_vs_Overall59,35.25,2266
overall,OVERALL,59,60,Overall59_vs_Overall60,38.19,2266
