metric,position,rank,label,average_value,day_count
overall,OVERALL,1,Overall1,9996.51,2266
overall,OVERALL,2,Overall2,9934.78,2266
overall,OVERALL,3,Overall3,9722.83,2266
overall,OVERALL,4,Overall4,9396.39,2266
overall,OVERALL,5,Overall5,9019.98,2266
overall,OVERALL,6,Overall6,8748.01,2266
overall,OVERALL,7,Overall7,8508.01,2266
overall,OVERALL,8,Overall8,8228.03,2266
overall,OVERALL,9,Overall9,8010.8,2266
overall,OVERALL,10,Overall10,7826.72,2266
overall,OVERALL,11,Overall11,7596.26,2266
overall,OVERALL,12,Overall12,7480.55,2266
overall,OVERALL,13,Overall13,7384.91,2266
overall,OVERALL,14,Overall14,7290.12,2266
overall,OVERALL,15,Overall15,7195.84,2266
overall,OVERALL,16,Overall16,7089.32,2266
overall,OVERALL,17,Overall17,6976.32,2266
overall,OVERALL,18,Overall18,6872.24,2266
overall,OVERALL,19,Overall19,6799.99,2266
overall,OVERALL,20,Overall20,6731.87,2266
overall,OVERALL,21,Overall21,6643.02,2266
overall,OVERALL,22,Overall22,6573.0,2266
overall,OVERALL,23,Overall23,6503.56,2266
overall,OVERALL,24,Overall24,6442.85,2266
overall,OVERALL,25,Overall25,6377.87,2266
overall,OVERALL,26,Overall26,6304.71,2266
overall,OVERALL,27,Overall27,6237.18,2266
overall,OVERALL,28,Overall28,6172.39,2266
overall,OVERALL,29,Overall29,6110.85,2266
overall,OVERALL,30,Overall30,6054.93,2266
overall,OVERALL,31,Overall31,5996.44,2266
overall,OVERALL,32,Overall32,5940.69,2266
overall,OVERALL,33,Overall33,5879.02,2266
overall,OVERALL,34,Overall34,5813.07,2266
overall,OVERALL,35,Overall35,5758.37,2266
overall,OVERALL,36,Overall36,5704.38,2266
overall,OVERALL,37,Overall37,5654.97,2266
overall,OVERALL,38,Overall38,5612.01,2266
overall,OVERALL,39,Overall39,5572.79,2266
overall,OVERALL,40,Overall40,5534.31,2266
overall,OVERALL,41,Overall41,5486.97,2266
overall,OVERALL,42,Overall42,5442.13,2266
overall,OVERALL,43,Overall43,5401.06,2266
overall,OVERALL,44,Overall44,5359.2,2266
overall,OVERALL,45,Overall45,5319.09,2266
overall,OVERALL,46,Overall46,5282.8,2266
overall,OVERALL,47,Overall47,5242.93,2266
overall,OVERALL,48,Overall48,5205.84,2266
overall,OVERALL,49,Overall49,5166.7,2266
overall,OVERALL,50,Overall50,5127.68,2266
overall,OVERALL,51,Overall51,5092.14,2266
overall,OVERALL,52,Overall52,5057.02,2266
overall,OVERALL,53,Overall53,5023.09,2266
overall,OVERALL,54,Overall54,4986.81,2266
overall,OVERALL,55,Overall55,4953.0,2266
overall,OVERALL,56,Overall56,4918.77,2266
overall,OVERALL,57,Overall57,4882.9,2266
overall,OVERALL,58,Overall58,4849.18,2266
overall,OVERALL,59,Overall59,4814.37,2266
overall,OVERALL,60,Overall60,4777.64,2266
overall,OVERALL,61,Overall61,4742.53,2266
overall,OVERALL,62,Overall62,4707.95,2266
overall,OVERALL,63,Overall63,4673.01,2266
overall,OVERALL,64,Overall64,4635.71,2266
overall,OVERALL,65,Overall65,4600.28,2266
overall,OVERALL,66,Overall66,4557.79,2266
overall,OVERALL,67,Overall67,4515.62,2266
overall,OVERALL,68,Overall68,4474.6,2266
overall,OVERALL,69,Overall69,4437.8,2266
overall,OVERALL,70,Overall70,4396.92,2266
overall,OVERALL,71,Overall71,4351.87,2266
overall,OVERALL,72,Overall72,4307.28,2266
overall,OVERALL,73,Overall73,4252.54,2266
overall,OVERALL,74,Overall74,4201.75,2266
overall,OVERALL,75,Overall75,4155.62,2266
overall,OVERALL,76,Overall76,4117.01,2266
overall,OVERALL,77,Overall77,4082.63,2266
overall,OVERALL,78,Overall78,4050.79,2266
overall,OVERALL,79,Overall79,4014.07,2266
overall,OVERALL,80,Overall80,3981.83,2266
overall,OVERALL,81,Overall81,3948.67,2266
overall,OVERALL,82,Overall82,3915.92,2266
overall,OVERALL,83,Overall83,3882.31,2266
overall,OVERALL,84,Overall84,3850.12,2266
overall,OVERALL,85,Overall85,3821.55,2266
overall,OVERALL,86,Overall86,3791.64,2266
overall,OVERALL,87,Overall87,3761.76,2266
overall,OVERALL,88,Overall88,3731.81,2266
overall,OVERALL,89,Overall89,3701.46,2266
overall,OVERALL,90,Overall90,3667.28,2266
overall,OVERALL,91,Overall91,3637.84,2266
overall,OVERALL,92,Overall92,3606.86,2266
overall,OVERALL,93,Overall93,3574.42,2266
overall,OVERALL,94,Overall94,3536.8,2266
overall,OVERALL,95,Overall95,3500.75,2266
overall,OVERALL,96,Overall96,3463.42,2266
overall,OVERALL,97,Overall97,3428.61,2266
overall,OVERALL,98,Overall98,3397.33,2266
overall,OVERALL,99,Overall99,3365.22,2266
overall,OVERALL,100,Overall100,3335.98,2266
overall,OVERALL,101,Overall101,3309.77,2266
overall,OVERALL,102,Overall102,3282.83,2266
overall,OVERALL,103,Overall103,3257.73,2266
overall,OVERALL,104,Overall104,3229.06,2266
overall,OVERALL,105,Overall105,3197.9,2266
overall,OVERALL,106,Overall106,3169.96,2266
overall,OVERALL,107,Overall107,3143.63,2266
overall,OVERALL,108,Overall108,3118.1,2266
overall,OVERALL,109,Overall109,3093.9,2266
overall,OVERALL,110,Overall110,3067.07,2266
overall,OVERALL,111,Overall111,3040.96,2266
overall,OVERALL,112,Overall112,3013.42,2266
overall,OVERALL,113,Overall113,2989.38,2266
overall,OVERALL,114,Overall114,2964.96,2266
overall,OVERALL,115,Overall115,2939.28,2266
overall,OVERALL,116,Overall116,2912.96,2266
overall,OVERALL,117,Overall117,2886.73,2266
overall,OVERALL,118,Overall118,2861.06,2266
overall,OVERALL,119,Overall119,2832.73,2266
overall,OVERALL,120,Overall120,2807.72,2266
overall,OVERALL,121,Overall121,2783.66,2266
overall,OVERALL,122,Overall122,2756.45,2266
overall,OVERALL,123,Overall123,2729.82,2266
overall,OVERALL,124,Overall124,2703.74,2266
overall,OVERALL,125,Overall125,2679.29,2266
overall,OVERALL,126,Overall126,2653.41,2266
overall,OVERALL,127,Overall127,2627.61,2266
overall,OVERALL,128,Overall128,2603.39,2266
overall,OVERALL,129,Overall129,2578.17,2266
overall,OVERALL,130,Overall130,2554.9,2266
overall,OVERALL,131,Overall131,2532.06,2266
overall,OVERALL,132,Overall132,2509.61,2266
overall,OVERALL,133,Overall133,2486.72,2266
overall,OVERALL,134,Overall134,2470.19,2260
overall,OVERALL,135,Overall135,2445.96,2260
overall,OVERALL,136,Overall136,2423.86,2260
overall,OVERALL,137,Overall137,2401.1,2260
overall,OVERALL,138,Overall138,2377.79,2260
overall,OVERALL,139,Overall139,2353.18,2260
overall,OVERALL,140,Overall140,2330.16,2260
overall,OVERALL,141,Overall141,2308.18,2260
overall,OVERALL,142,Overall142,2285.79,2260
overall,OVERALL,143,Overall143,2264.88,2260
overall,OVERALL,144,Overall144,2243.06,2260
