name,is_pick,ktc_player_id,ktc_slug,sleeper_id,sleeper_name,position,team,ktc_match,sleeper_match
2024 Early 1st,1,,,,,PI,,pick,pick
2024 Early 2nd,1,,,,,PI,,pick,pick
2024 Early 3rd,1,,,,,PI,,pick,pick
2024 Early 4th,1,,,,,PI,,pick,pick
2024 Late 1st,1,,,,,PI,,pick,pick
2024 Late 2nd,1,,,,,PI,,pick,pick
2024 Late 3rd,1,,,,,PI,,pick,pick
2024 Late 4th,1,,,,,PI,,pick,pick
2024 Mid 1st,1,,,,,PI,,pick,pick
2024 Mid 2nd,1,,,,,PI,,pick,pick
2024 Mid 3rd,1,,,,,PI,,pick,pick
2024 Mid 4th,1,,,,,PI,,pick,pick
2025 Early 1st,1,,,,,PI,,pick,pick
2025 Early 2nd,1,,,,,PI,,pick,pick
2025 Early 3rd,1,,,,,PI,,pick,pick
2025 Early 4th,1,,,,,PI,,pick,pick
2025 Late 1st,1,,,,,PI,,pick,pick
2025 Late 2nd,1,,,,,PI,,pick,pick
2025 Late 3rd,1,,,,,PI,,pick,pick
2025 Late 4th,1,,,,,PI,,pick,pick
2025 Mid 1st,1,,,,,PI,,pick,pick
2025 Mid 2nd,1,,,,,PI,,pick,pick
2025 Mid 3rd,1,,,,,PI,,pick,pick
2025 Mid 4th,1,,,,,PI,,pick,pick
2026 Early 1st,1,,,,,PI,,pick,pick
2026 Early 2nd,1,,,,,PI,,pick,pick
2026 Early 3rd,1,,,,,PI,,pick,pick
2026 Early 4th,1,,,,,PI,,pick,pick
2026 Late 1st,1,,,,,PI,,pick,pick
2026 Late 2nd,1,,,,,PI,,pick,pick
2026 Late 3rd,1,,,,,PI,,pick,pick
2026 Late 4th,1,,,,,PI,,pick,pick
2026 Mid 1st,1,,,,,PI,,pick,pick
2026 Mid 2nd,1,,,,,PI,,pick,pick
2026 Mid 3rd,1,,,,,PI,,pick,pick
2026 Mid 4th,1,,,,,PI,,pick,pick
A.J. Brown,0,217,aj-brown-217,5859,A.J. Brown,WR,NEP,exact,exact
A.T. Perry,0,,,10863,A.T. Perry,WR,,no_ktc,exact
AJ Dillon,0,631,aj-dillon-631,6828,AJ Dillon,RB,CAR,exact,exact
Aaron Jones,0,301,aaron-jones-301,4199,Aaron Jones,RB,MIN,exact,exact
Aaron Rodgers,0,235,aaron-rodgers-235,96,Aaron Rodgers,QB,PIT,exact,exact
Adam Thielen,0,,,1689,Adam Thielen,WR,,no_ktc,exact
Adam Trautman,0,,,6869,Adam Trautman,TE,DEN,no_ktc,exact
Adonai Mitchell,0,1597,adonai-mitchell-1597,11625,Adonai Mitchell,WR,NYJ,exact,exact
Aidan O'Connell,0,,,10866,Aidan O'Connell,QB,LV,no_ktc,exact
Albert Okwuegbunam,0,,,6843,Albert Okwuegbunam,TE,LV,no_ktc,exact
Alec Pierce,0,1285,alec-pierce-1285,8142,Alec Pierce,WR,IND,exact,exact
Alexander Mattison,0,326,alexander-mattison-326,5987,Alexander Mattison,RB,MIA,exact,exact
Allen Lazard,0,,,5185,Allen Lazard,WR,,no_ktc,exact
Alvin Kamara,0,282,alvin-kamara-282,4035,Alvin Kamara,RB,NOS,exact,exact
Amari Cooper,0,,,2309,Amari Cooper,WR,,no_ktc,exact
Amon-Ra St. Brown,0,1010,amon-ra-st-brown-1010,7547,Amon-Ra St. Brown,WR,DET,exact,exact
Andrei Iosivas,0,1422,andrei-iosivas-1422,10226,Andrei Iosivas,WR,CIN,exact,exact
Andrew Ogletree,0,,,8489,Drew Ogletree,TE,IND,no_ktc,alias
Anthony Richardson,0,1405,anthony-richardson-1405,9229,Anthony Richardson,QB,IND,exact,exact
Anthony Schwartz,0,,,7533,Anthony Schwartz,WR,,no_ktc,exact
Antonio Gibson,0,,,6945,Antonio Gibson,RB,,no_ktc,exact
Audric Estime,0,1566,audric-estime-1566,11579,Audric Estime,RB,NOS,exact,exact
Austin Ekeler,0,,,4663,Austin Ekeler,RB,,no_ktc,exact
Austin Hooper,0,,,3202,Austin Hooper,TE,ATL,no_ktc,exact
Bailey Zappe,0,,,8157,Bailey Zappe,QB,NYJ,no_ktc,exact
Baker Mayfield,0,215,baker-mayfield-215,4892,Baker Mayfield,QB,TBB,exact,exact
Ben Skowronek,0,,,7757,Ben Skowronek,WR,PIT,no_ktc,exact
Bijan Robinson,0,1414,bijan-robinson-1414,9509,Bijan Robinson,RB,ATL,exact,exact
Blake Corum,0,1564,blake-corum-1564,11586,Blake Corum,RB,LAR,exact,exact
Bo Melton,0,1244,bo-melton-1244,8204,Bo Melton,WR,GBP,exact,exact
Bo Nix,0,1553,bo-nix-1553,11563,Bo Nix,QB,DEN,exact,exact
Boston Scott,0,,,5122,Boston Scott,RB,,no_ktc,exact
Braelon Allen,0,1567,braelon-allen-1567,11576,Braelon Allen,RB,NYJ,exact,exact
Brandin Cooks,0,,,2197,Brandin Cooks,WR,,no_ktc,exact
Brandon Aiyuk,0,538,brandon-aiyuk-538,6803,Brandon Aiyuk,WR,SFO,exact,exact
Brandon Powell,0,,,5695,Brandon Powell,WR,,no_ktc,exact
Braxton Berrios,0,,,5121,Braxton Berrios,WR,NYG,no_ktc,exact
Breece Hall,0,1224,breece-hall-1224,8155,Breece Hall,RB,NYJ,exact,exact
Brenden Rice,0,,,11621,Brenden Rice,WR,,no_ktc,exact
Brenton Strange,0,1461,brenton-strange-1461,9480,Brenton Strange,TE,JAC,exact,exact
Brevin Jordan,0,1052,brevin-jordan-1052,7568,Brevin Jordan,TE,HOU,exact,exact
Brian Robinson,0,1232,brian-robinson-1232,8154,Brian Robinson,RB,ATL,exact,exact
Brian Thomas Jr.,0,1589,brian-thomas-jr-1589,11631,Brian Thomas,WR,JAC,exact,normalised
Brock Bowers,0,1612,brock-bowers-1612,11604,Brock Bowers,TE,LVR,exact,exact
Brock Purdy,0,1214,brock-purdy-1214,8183,Brock Purdy,QB,SFO,exact,exact
Brock Wright,0,1162,brock-wright-1162,7891,Brock Wright,TE,DET,exact,exact
Bryce Ford-Wheaton,0,,,9499,Bryce Ford-Wheaton,WR,,no_ktc,exact
Bryce Young,0,1456,bryce-young-1456,9228,Bryce Young,QB,CAR,exact,exact
Bucky Irving,0,1569,bucky-irving-1569,11584,Bucky Irving,RB,TBB,exact,exact
C.J. Stroud,0,1403,cj-stroud-1403,9758,C.J. Stroud,QB,HOU,exact,exact
Cade Otton,0,1261,cade-otton-1261,8111,Cade Otton,TE,TBB,exact,exact
Caleb Williams,0,1550,caleb-williams-1550,11560,Caleb Williams,QB,CHI,exact,exact
Calvin Austin III,0,1262,calvin-austin-iii-1262,8125,Calvin Austin,WR,NYG,exact,normalised
Calvin Ridley,0,293,calvin-ridley-293,4981,Calvin Ridley,WR,TEN,exact,exact
