position,rank,weighted_hist_avg,current_ktc_at_rank,blended_lookup_value,competitor_curve_value
QB,1,9999.0,9983,9989.4,9989.4
QB,2,9999.0,9254,9552.0,9552.0
QB,3,9999.0,7867,8719.8,8719.8
QB,4,9395.65,7620,8330.26,8330.26
QB,5,9135.39,7564,8192.56,8192.56
QB,6,8469.4,7421,7840.36,7840.36
QB,7,7968.76,7067,7427.7,7427.7
QB,8,7652.19,6366,6880.48,6880.48
QB,9,7313.88,6256,6679.15,6679.15
QB,10,7004.89,6219,6533.35,6533.35
QB,11,6801.71,6153,6412.48,6412.48
QB,12,6449.05,6005,6182.62,6182.62
QB,13,6112.05,5856,5958.42,5958.42
QB,14,5889.58,5439,5619.23,5619.23
QB,15,5781.86,5420,5564.74,5564.74
QB,16,5717.44,5220,5418.98,5418.98
QB,17,5466.18,4900,5126.47,5126.47
QB,18,5355.43,4792,5017.37,5017.37
QB,19,5098.22,4685,4850.29,4850.29
QB,20,4852.14,4683,4750.65,4750.65
QB,21,4573.42,4651,4619.97,4619.97
QB,22,4435.84,4364,4392.74,4392.74
QB,23,4328.64,3968,4112.25,4112.25
QB,24,3907.18,3967,3943.07,3943.07
QB,25,3787.51,3938,3877.81,3877.81
QB,26,3629.75,3869,3773.3,3769.28
QB,27,3489.8,3735,3636.92,3621.49
QB,28,3277.53,3450,3381.01,3349.02
QB,29,3009.36,2812,2890.94,2843.07
QB,30,2890.33,2672,2759.33,2688.81
QB,31,2792.35,2653,2708.74,2610.33
QB,32,2623.8,2649,2638.92,2510.41
QB,33,2390.0,2619,2527.4,2369.57
QB,34,2338.35,2617,2505.54,2311.05
QB,35,2094.07,2564,2376.03,2153.43
QB,36,1990.43,2220,2128.17,1893.74
QB,37,1886.97,2205,2077.79,1811.89
QB,38,1753.87,2149,1990.95,1699.91
QB,39,1726.86,2047,1918.95,1602.6
QB,40,1598.16,1975,1824.26,1489.41
QB,41,1546.11,1959,1793.84,1429.81
QB,42,1373.32,1935,1710.33,1331.07
QB,43,1344.78,1899,1677.31,1273.02
QB,44,1263.97,1857,1619.79,1199.02
QB,45,1230.8,1785,1563.32,1128.45
QB,46,1161.08,1711,1491.03,1050.02
QB,47,1128.33,1594,1407.73,967.89
QB,48,1098.97,1589,1392.99,932.85
QB,49,1068.12,1495,1324.25,866.01
QB,50,1066.25,1443,1292.3,824.14
QB,51,916.22,1284,1136.89,713.58
QB,52,885.38,1265,1113.15,682.13
QB,53,848.25,1243,1085.1,649.76
QB,54,768.49,1215,1036.4,608.22
QB,55,798.57,1183,1029.23,589.61
QB,56,755.05,1169,1003.42,562.72
QB,57,773.56,1150,999.42,547.34
QB,58,817.17,1140,999.42,534.36
QB,59,782.41,1080,960.96,504.99
QB,60,635.24,1076,899.69,467.52
QB,61,671.83,1047,896.93,456.12
QB,62,744.21,1014,896.93,446.27
