name,position,team,ktc_value,ktc_pos_rank,adp_stack_rank,adp_eff_rank,bb_avg_adp,adp_avg,competitor_adjusted_value,redraft_value_index,rebuilder_adjusted_value,rebuild_value_index,adp_synthetic,as_of,adp_source
Bijan Robinson,RB,ATL,9999,1,2,1.65,1.6,1.6,9669,0.967,10250,1.0251,,2026-08-02,hwang_adjusted_positional_adp_2026
Ja'Marr Chase,WR,CIN,9995,1,1,1.0,3.0,3.0,9962,0.9967,10020,1.0025,,2026-08-02,hwang_adjusted_positional_adp_2026
Jahmyr Gibbs,RB,DET,9992,2,1,1.0,1.4,1.4,9999,1.0007,9989,0.9997,,2026-08-02,hwang_adjusted_positional_adp_2026
Josh Allen,QB,BUF,9983,1,1,1.0,25.0,25.0,9987,1.0004,9981,0.9998,,2026-08-02,hwang_adjusted_positional_adp_2026
Jaxon Smith-Njigba,WR,SEA,9332,2,3,2.88,5.2,5.2,8913,0.9551,9652,1.0343,,2026-08-02,hwang_adjusted_positional_adp_2026
Drake Maye,QB,NEP,9254,2,4,4.02,58.0,58.0,8223,0.8886,10048,1.0858,,2026-08-02,hwang_adjusted_positional_adp_2026
Brock Bowers,TE,LVR,9039,1,1,1.0,18.2,18.2,8991,0.9947,9076,1.0041,,2026-08-02,hwang_adjusted_positional_adp_2026
Puka Nacua,WR,LAR,8827,3,2,1.96,4.0,4.0,9462,1.0719,8538,0.9673,,2026-08-02,hwang_adjusted_positional_adp_2026
Trey McBride,TE,ARI,8140,2,2,1.65,19.4,19.4,8362,1.0273,8039,0.9876,,2026-08-02,hwang_adjusted_positional_adp_2026
Amon-Ra St. Brown,WR,DET,7867,4,4,4.19,7.4,7.4,8003,1.0173,7805,0.9921,,2026-08-02,hwang_adjusted_positional_adp_2026
Caleb Williams,QB,CHI,7867,3,6,6.14,67.6,67.6,7484,0.9513,8223,1.0453,,2026-08-02,hwang_adjusted_positional_adp_2026
Lamar Jackson,QB,BAL,7620,4,2,2.21,47.0,47.0,9129,1.198,6931,0.9096,,2026-08-02,hwang_adjusted_positional_adp_2026
Ashton Jeanty,RB,LVR,7604,3,4,4.25,11.4,8.3,7329,0.9638,7815,1.0277,,2026-08-02,hwang_adjusted_positional_adp_2026
Justin Jefferson,WR,MIN,7586,5,6,6.11,10.2,14.1,7381,0.973,7745,1.021,,2026-08-02,hwang_adjusted_positional_adp_2026
Jayden Daniels,QB,WAS,7564,5,5,4.92,61.8,61.8,7984,1.0555,7373,0.9747,,2026-08-02,hwang_adjusted_positional_adp_2026
Jeremiyah Love,RB,ARI,7452,4,13,12.97,25.0,25.0,5427,0.7283,9007,1.2087,,2026-08-02,hwang_adjusted_positional_adp_2026
Joe Burrow,QB,CIN,7421,6,3,3.09,53.8,53.8,8538,1.1505,6907,0.9307,,2026-08-02,hwang_adjusted_positional_adp_2026
Malik Nabers,WR,NYG,7255,6,14,14.29,34.6,34.6,5776,0.7961,8464,1.1666,,2026-08-02,hwang_adjusted_positional_adp_2026
CeeDee Lamb,WR,DAL,7139,7,5,4.7,11.2,8.2,7869,1.1023,6804,0.9531,,2026-08-02,hwang_adjusted_positional_adp_2026
Justin Herbert,QB,LAC,7067,7,9,9.34,80.6,80.6,6503,0.9202,7512,1.063,,2026-08-02,hwang_adjusted_positional_adp_2026
Omarion Hampton,RB,LAC,7007,5,8,8.23,16.2,15.9,6104,0.8711,7697,1.0985,,2026-08-02,hwang_adjusted_positional_adp_2026
Colston Loveland,TE,CHI,6996,3,3,3.0,38.0,38.0,6913,0.9881,7059,1.009,,2026-08-02,hwang_adjusted_positional_adp_2026
Drake London,WR,ATL,6996,8,7,6.95,17.4,17.4,7283,1.041,6865,0.9813,,2026-08-02,hwang_adjusted_positional_adp_2026
De'Von Achane,RB,MIA,6848,6,9,9.4,15.0,16.3,5824,0.8505,7629,1.114,,2026-08-02,hwang_adjusted_positional_adp_2026
Tyler Warren,TE,IND,6549,4,4,3.97,56.2,56.2,6524,0.9962,6568,1.0029,,2026-08-02,hwang_adjusted_positional_adp_2026
Tetairoa McMillan,WR,CAR,6373,9,19,18.64,40.4,40.4,5375,0.8434,7279,1.1422,,2026-08-02,hwang_adjusted_positional_adp_2026
