sleeper_id,sleeper_name,sleeper_position,yahoo_id,yahoo_name,espn_id,espn_name,nffc_id,nffc_name,cbs_id,cbs_name,fftoday_id,fftoday_name,nfl_id,nfl_name,fantasypros_id,fantasypros_name,evanalytics_name,footballguys_id,footballguys_name
6,Brandon Mebane,NT,,,10529,Brandon Mebane,,,,,,,,,,,,,
17,Matt Prater,K,8565,Matt Prater,11122,Matt Prater,,,1109832,Matt Prater,3192,Matt Prater,2506677,Matt Prater,9443,Matt Prater,Matt Prater,PratMa44,Matt Prater
19,Joe Flacco,QB,8795,Joe Flacco,11252,Joe Flacco,7090,Joe Flacco,1250697,Joe Flacco,2913,Joe Flacco,,,9300,Joe Flacco,Joe Flacco,FlacJo00,Joe Flacco
23,Jason Witten,TE,,,,,,,,,,,,,,,Jason Witten,,
24,Matt Ryan,QB,,,,,,,,,,,,,9444,Matt Ryan,Matt Ryan,,
49,Robbie Gould,K,7520,Robbie Gould,9354,Robbie Gould,,,,,,,,,9534,Robbie Gould,Robbie Gould,,
59,Mason Crosby,K,8447,Mason Crosby,10636,Mason Crosby,,,,,,,,,9433,Mason Crosby,Mason Crosby,,
74,Mike Adams,FS,,,5893,Mike Adams,,,,,,,,,,,,,
88,Antoine Bethea,FS,,,9793,Antoine Bethea,,,,,,,,,,,,,
89,Chad Henne,QB,,,,,,,,,,,,,,,Chad Henne,,
95,Dominique Rodgers-Cromartie,CB,,,11250,Dominique Rodgers-Cromartie,,,,,,,,,,,,,
96,Aaron Rodgers,QB,7200,Aaron Rodgers,8439,Aaron Rodgers,5712,Aaron Rodgers,419780,Aaron Rodgers,2480,Aaron Rodgers,2506363,Aaron Rodgers,9001,Aaron Rodgers,Aaron Rodgers,RodgAa00,Aaron Rodgers
105,Brandon Carr,CB,,,11363,Brandon Carr,,,,,,,,,,,,,
110,Stephen Gostkowski,K,,,,,,,,,,,,,,,Stephen Gostkowski,,
111,Marcedes Lewis,TE,7777,Marcedes Lewis,9614,Marcedes Lewis,,,415313,Marcedes Lewis,,,,,,,Marcedes Lewis,,
120,Adam Vinatieri,K,,,,,,,,,,,,,,,Adam Vinatieri,,
125,Calais Campbell,DE,8827,Calais Campbell,11284,Calais Campbell,,,520548,Calais Campbell,,,,,10585,Calais Campbell,,CampCa99,Calais Campbell
127,Matt Bryant,K,,,,,,,,,,,,,,,Matt Bryant,,
138,Ben Roethlisberger,QB,,,,,,,,,,,,,,,Ben Roethlisberger,,
146,Tramon Williams,CB,,,5432,Tramon Williams,,,,,,,,,,,,,
147,DeSean Jackson,WR,,,,,,,,,,,1581,DeSean Jackson,,,DeSean Jackson,,
161,Wes Horton,DE,,,16431,Wes Horton,,,,,,,,,,,,,
167,Tom Brady,QB,5228,Tom Brady,,,,,,,,,,,,,Tom Brady,,
172,Johnathan Joseph,CB,,,9610,Johnathan Joseph,,,,,,,,,,,,,
178,Matt Schaub,QB,,,,,,,,,,,,,,,Matt Schaub,,
180,Aqib Talib,CB,,,11254,Aqib Talib,,,,,,,,,,,,,
181,Drew Stanton,QB,,,,,,,,,,,,,,,Drew Stanton,,
184,Adrian Peterson,RB,,,,,,,,,,,,,,,Adrian Peterson,,
187,Thomas Davis,LB,,,8429,Thomas Davis Sr.,,,,,,,,,,,,,
200,Vernon Davis,TE,,,,,,,,,,,,,,,Vernon Davis,,
208,Josh McCown,QB,,,,,,,,,,,,,,,Josh McCown,,
210,Wesley Woodyard,LB,,,11609,Wesley Woodyard,,,,,,,,,,,,,
223,Larry Fitzgerald,WR,,,,,,,,,,,,,,,Larry Fitzgerald,,
232,Frank Gore,RB,,,4429805,Frank Gore Jr.,,,,,,,,,,,Frank Gore,,
233,Matt Moore,QB,,,,,,,,,,,,,,,Matt Moore,,
236,Domata Peko,DT,,,9709,Domata Peko Sr.,,,,,,,,,,,,,
246,Darren Sproles,RB,,,,,,,,,,,,,,,Darren Sproles,,
260,Josh Johnson,QB,8937,Josh Johnson,11394,Josh Johnson,,,1325808,Josh Johnson,,,,,,,Josh Johnson,,
266,Orlando Scandrick,CB,,,11366,Orlando Scandrick,,,,,,,,,,,,,
268,Alex Smith,QB,,,,,,,,,,,,,,,Alex Smith,,
284,Delanie Walker,TE,,,,,,,,,,,,,,,Delanie Walker,,
289,Drew Brees,QB,,,,,,,,,,,,,,,Drew Brees,,
290,Eric Weddle,FS,,,10481,Eric Weddle,,,,,,,,,,,,,
296,Terrell Suggs,LB,,,4468,Terrell Suggs,,,,,,,,,,,,,
312,Matthew Slater,WR,,,11387,Matthew Slater,,,,,,,4487,Matthew Slater,,,Matthew Slater,,
331,Philip Rivers,QB,,,,,,,,,,,,,,,Philip Rivers,,
