rank,player,position,team,tier,pos_rank,pos_tier,adp,sleeper_id
1,Josh Allen,QB,BUF,1,1,1,1.8,4984
2,Jahmyr Gibbs,RB,DET,1,1,1,3,9221
3,Bijan Robinson,RB,ATL,2,2,1,3,9509
4,Lamar Jackson,QB,BAL,2,2,2,7.8,4881
5,Ja'Marr Chase,WR,CIN,2,1,1,5.6,7564
6,Puka Nacua,WR,LA,2,2,1,7.3,9493
7,Drake Maye,QB,NE,2,3,3,9.1,11564
8,Christian McCaffrey,RB,SF,2,3,2,10.5,4034
9,Jayden Daniels,QB,WAS,2,4,3,15.6,11566
10,Jaxon Smith-Njigba,WR,SEA,2,3,1,9.3,9488
11,Jalen Hurts,QB,PHI,2,5,3,21.9,6904
12,Joe Burrow,QB,CIN,2,6,3,13.5,6770
13,Amon-Ra St. Brown,WR,DET,3,4,1,13.4,7547
14,Jonathan Taylor,RB,IND,3,4,3,11.2,6813
15,Caleb Williams,QB,CHI,3,7,4,21.4,11560
16,James Cook III,RB,BUF,4,5,3,13.6,8138
17,Justin Herbert,QB,LAC,4,8,5,25.8,6797
18,Trevor Lawrence,QB,JAX,4,9,5,35.9,7523
19,Jaxson Dart,QB,NYG,5,10,6,34.9,12508
20,Dak Prescott,QB,DAL,5,11,6,35.2,3294
21,CeeDee Lamb,WR,DAL,6,5,2,17.2,6786
22,Brock Purdy,QB,SF,6,12,7,43.6,8183
23,Bo Nix,QB,DEN,6,13,7,41.8,11563
24,Chase Brown,RB,CIN,6,6,4,27.4,9224
25,Saquon Barkley,RB,PHI,6,7,4,23.2,4866
26,Justin Jefferson,WR,MIN,7,6,2,18.6,6794
27,Derrick Henry,RB,BAL,7,8,5,32,3198
28,Patrick Mahomes II,QB,KC,7,14,8,38.9,4046
29,Kenneth Walker III,RB,KC,7,9,5,24.8,8151
30,Kyler Murray,QB,MIN,7,15,8,70.2,5849
31,Omarion Hampton,RB,LAC,8,10,5,25.8,12507
32,Matthew Stafford,QB,LA,8,16,9,58.2,421
33,De'Von Achane,RB,MIA,8,11,5,21.3,9226
34,Jared Goff,QB,DET,9,17,10,53.4,3163
35,Baker Mayfield,QB,TB,10,18,11,62.8,4892
36,Malik Willis,QB,MIA,10,19,11,96.4,8161
37,Ashton Jeanty,RB,LV,10,12,6,19.6,12527
38,A.J. Brown,WR,NE,11,7,3,30.4,5859
39,Brock Bowers,TE,LV,11,1,1,26.8,11604
40,Jordan Love,QB,GB,11,20,11,57.5,6804
41,Tyler Shough,QB,NO,11,21,11,75.1,12545
42,Drake London,WR,ATL,11,8,3,27.4,8112
43,Nico Collins,WR,HOU,11,9,3,32.5,7569
44,George Pickens,WR,DAL,12,10,3,34.6,8137
45,Malik Nabers,WR,NYG,12,11,3,39.2,11632
46,Chris Olave,WR,NO,12,12,3,41.7,8144
47,Trey McBride,TE,ARI,13,2,2,25.4,8130
48,Jeremiyah Love,RB,ARI,14,13,7,35.2,13287
49,Zay Flowers,WR,BAL,14,13,4,53.3,9997
50,Devonta Smith,WR,PHI,14,14,4,53.6,7525
51,Rashee Rice,WR,KC,14,15,4,45.9,10229
52,Kyren Williams,RB,LA,14,14,7,43.2,8150
53,Javonte Williams,RB,DAL,14,15,7,49.3,7588
54,C.J. Stroud,QB,HOU,15,22,12,85,9758
55,Daniel Jones,QB,IND,15,23,12,101,5870
56,Jaylen Waddle,WR,DEN,15,16,5,59.6,7526
57,Breece Hall,RB,NYJ,15,16,7,44.6,8155
58,Tee Higgins,WR,CIN,15,17,5,49.8,6801
59,Emeka Egbuka,WR,TB,16,18,5,59.1,12514
60,Ladd McConkey,WR,LAC,16,19,5,57.1,11635
61,Sam Darnold,QB,SEA,16,24,12,76.1,4943
62,D'Andre Swift,RB,CHI,16,17,8,67.4,6790
63,Tetairoa McMillan,WR,CAR,16,20,5,50,12526
64,Garrett Wilson,WR,NYJ,16,21,5,55.6,8146
65,Travis Etienne Jr.,RB,NO,16,18,8,55.6,7543
66,Luther Burden III,WR,CHI,16,22,6,62.5,12519
67,Josh Jacobs,RB,GB,16,19,8,42.4,5850
