name,position,ktc_player_id,ktc_slug,sleeper_id,team,rank_basis,history_days,history_start,history_end
Aaron Jones,RB,301,aaron-jones-301,4199,MIN,sf,2273,2020-04-01,2026-06-21
Aaron Rodgers,QB,235,aaron-rodgers-235,96,PIT,sf,2218,2020-05-26,2026-06-21
Adam Randall,RB,2026,adam-randall-2026,,BAL,sf,54,2026-04-28,2026-06-21
Adam Trautman,TE,566,adam-trautman-566,6869,DEN,sf_tep,2267,2020-04-07,2026-06-21
Adonai Mitchell,WR,1597,adonai-mitchell-1597,11625,NYJ,sf,854,2024-02-16,2026-06-21
Aidan O'Connell,QB,1412,aidan-o-connell-1412,10866,LVR,sf,1197,2023-03-10,2026-06-21
Ainias Smith,WR,1624,ainias-smith-1624,,CAR,sf,800,2024-04-10,2026-06-21
AJ Barner,TE,1629,aj-barner-1629,,SEA,sf_tep,779,2024-05-01,2026-06-21
A.J. Brown,WR,217,aj-brown-217,5859,NEP,sf,2273,2020-04-01,2026-06-21
AJ Dillon,RB,631,aj-dillon-631,6828,CAR,sf,2267,2020-04-07,2026-06-21
Alec Pierce,WR,1285,alec-pierce-1285,8142,IND,sf,1573,2022-02-27,2026-06-21
Alexander Mattison,RB,326,alexander-mattison-326,5987,MIA,sf,2273,2020-04-01,2026-06-21
Alvin Kamara,RB,282,alvin-kamara-282,4035,NOS,sf,2273,2020-04-01,2026-06-21
Amon-Ra St. Brown,WR,1010,amon-ra-st-brown-1010,7547,DET,sf,1922,2021-03-18,2026-06-21
Andrei Iosivas,WR,1422,andrei-iosivas-1422,10226,CIN,sf,1197,2023-03-10,2026-06-21
Anthony Richardson,QB,1405,anthony-richardson-1405,9229,IND,sf,1197,2023-03-10,2026-06-21
Antonio Williams,WR,1974,antonio-williams-1974,,WAS,sf,123,2026-02-18,2026-06-21
Arian Smith,WR,1815,arian-smith-1815,,NYJ,sf,411,2025-05-04,2026-06-21
Ashton Jeanty,RB,1742,ashton-jeanty-1742,,LVR,sf,491,2025-02-13,2026-06-21
Audric Estime,RB,1566,audric-estime-1566,11579,NOS,sf,854,2024-02-16,2026-06-21
Baker Mayfield,QB,215,baker-mayfield-215,4892,TBB,sf,2218,2020-05-26,2026-06-21
Bam Knight,RB,1186,bam-knight-1186,,ARI,sf,1573,2022-02-27,2026-06-21
Barion Brown,WR,2003,barion-brown-2003,,NOS,sf,123,2026-02-18,2026-06-21
Ben Sinnott,TE,1615,ben-sinnott-1615,,WAS,sf_tep,854,2024-02-16,2026-06-21
Bhayshul Tuten,RB,1752,bhayshul-tuten-1752,,JAC,sf,491,2025-02-13,2026-06-21
Bijan Robinson,RB,1414,bijan-robinson-1414,9509,ATL,sf,1197,2023-03-10,2026-06-21
Blake Corum,RB,1564,blake-corum-1564,11586,LAR,sf,854,2024-02-16,2026-06-21
Bo Melton,WR,1244,bo-melton-1244,8204,GBP,sf,1573,2022-02-27,2026-06-21
Bo Nix,QB,1553,bo-nix-1553,11563,DEN,sf,854,2024-02-16,2026-06-21
Braelon Allen,RB,1567,braelon-allen-1567,11576,NYJ,sf,854,2024-02-16,2026-06-21
Brandon Aiyuk,WR,538,brandon-aiyuk-538,6803,SFO,sf,2267,2020-04-07,2026-06-21
Brashard Smith,RB,1749,brashard-smith-1749,,KCC,sf,491,2025-02-13,2026-06-21
Breece Hall,RB,1224,breece-hall-1224,8155,NYJ,sf,1573,2022-02-27,2026-06-21
Brenden Rice,WR,1594,brenden-rice-1594,11621,GBP,sf,854,2024-02-16,2026-06-21
Brenen Thompson,WR,1991,brenen-thompson-1991,,LAC,sf,56,2026-04-26,2026-06-21
Brenton Strange,TE,1461,brenton-strange-1461,9480,JAC,sf_tep,1146,2023-04-30,2026-06-21
Brevin Jordan,TE,1052,brevin-jordan-1052,7568,HOU,sf_tep,1922,2021-03-18,2026-06-21
