rank,player,position,team,adp,samples,sleeper_id
3.1,Bijan Robinson,RB,ATL,3.1,98,9509
3.1,Jahmyr Gibbs,RB,DET,3.1,98,9221
3.8,Ja'Marr Chase,WR,CIN,3.8,98,7564
3.9,Puka Nacua,WR,LAR,3.9,98,9493
4.3,Josh Allen,QB,BUF,4.3,98,4984
6.7,Jaxon Smith-Njigba,WR,SEA,6.7,98,9488
9.8,Christian McCaffrey,RB,SF,9.8,99,4034
10.5,Amon-Ra St. Brown,WR,DET,10.5,99,7547
12.7,Brock Bowers,TE,LV,12.7,98,11604
13.5,CeeDee Lamb,WR,DAL,13.5,98,6786
13.6,Jonathan Taylor,RB,IND,13.6,98,6813
13.6,Drake Maye,QB,NE,13.6,98,11564
13.9,Trey McBride,TE,ARI,13.9,99,8130
14.7,Lamar Jackson,QB,BAL,14.7,98,4881
15.2,Justin Jefferson,WR,MIN,15.2,98,6794
15.8,James Cook,RB,BUF,15.8,99,8138
17.9,Joe Burrow,QB,CIN,17.9,98,6770
20.5,Ashton Jeanty,RB,LV,20.5,98,12527
21.4,De'Von Achane,RB,MIA,21.4,98,9226
22.3,Drake London,WR,ATL,22.3,99,8112
24.2,A.J. Brown,WR,NE,24.2,99,5859
24.6,Jayden Daniels,QB,WAS,24.6,98,11566
26.1,Saquon Barkley,RB,PHI,26.1,98,4866
27.2,Nico Collins,WR,HOU,27.2,99,7569
27.8,Omarion Hampton,RB,LAC,27.8,99,12507
28.2,George Pickens,WR,DAL,28.2,99,8137
28.4,Colston Loveland,TE,CHI,28.4,99,12517
29.1,Kenneth Walker,RB,KC,29.1,99,8151
29.4,Caleb Williams,QB,CHI,29.4,98,11560
33,Chase Brown,RB,CIN,33,99,9224
34.1,Justin Herbert,QB,LAC,34.1,98,6797
34.2,Jalen Hurts,QB,PHI,34.2,99,6904
34.8,Tyler Warren,TE,IND,34.8,99,12518
36.5,Derrick Henry,RB,BAL,36.5,99,3198
36.5,Dak Prescott,QB,DAL,36.5,99,3294
36.9,Chris Olave,WR,NO,36.9,99,8144
37.5,Rashee Rice,WR,KC,37.5,99,10229
37.5,Malik Nabers,WR,NYG,37.5,99,11632
39.1,Jeremiyah Love,RB,ARI,39.1,99,13287
43.3,Tetairoa McMillan,WR,CAR,43.3,99,12526
44.2,DeVonta Smith,WR,PHI,44.2,99,7525
44.5,Zay Flowers,WR,BAL,44.5,99,9997
45.5,Trevor Lawrence,QB,JAX,45.5,99,7523
45.7,Tee Higgins,WR,CIN,45.7,99,6801
47.1,Garrett Wilson,WR,NYJ,47.1,99,8146
48,Emeka Egbuka,WR,TB,48,99,12514
49.9,Patrick Mahomes,QB,KC,49.9,98,4046
50.2,Breece Hall,RB,NYJ,50.2,99,8155
50.4,Jaxson Dart,QB,NYG,50.4,98,12508
51.6,Josh Jacobs,RB,GB,51.6,99,5850
52,Ladd McConkey,WR,LAC,52,99,11635
52.4,Brock Purdy,QB,SF,52.4,99,8183
53.2,Kyren Williams,RB,LAR,53.2,99,8150
54,Bo Nix,QB,DEN,54,99,11563
54,Luther Burden,WR,CHI,54,99,12519
55,Jaylen Waddle,WR,DEN,55,99,7526
55.8,Jameson Williams,WR,DET,55.8,99,8148
61.1,Jared Goff,QB,DET,61.1,99,3163
61.3,Terry McLaurin,WR,WAS,61.3,99,5927
61.7,Tucker Kraft,TE,GB,61.7,99,9484
61.8,Javonte Williams,RB,DAL,61.8,99,7588
63.5,Sam LaPorta,TE,DET,63.5,99,10859
64.3,Harold Fannin,TE,CLE,64.3,99,12506
65.5,Travis Etienne,RB,NO,65.5,99,7543
