team,bet,versus,line,max_loss
House of Hwang,to win the league,,+450,50
The Boomers,to make the playoffs,,-140,40
Sell for Sellers,to miss the playoffs,,+125,25
PUPpy Bowl,to finish better than 3.5 place,,+110,30
The Ladds,to finish worse than 7.5 place,,-105,20
Lord Pittsy Flacco Joedy,to finish better than,Team seanjcrow,+150,25
Eat It While She Sleeper,to outscore weeks 1-17,DrakeHigginsAchane ²,+130,20
The Boomers,over 1650 points weeks 1-17,,-110,35
House of Hwang,to outscore this week,The Ladds,+105,15
PUPpy Bowl,over 125 points this week,,-115,15
,Mike and Mac both miss the playoffs,,+200,10
